episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,819.9190574889012,4.099595287444506,7.925386583251486,3.0411826870940697,4.897470739503054,22.0,580.3276795925286,1121.0891349682443,3.0411826870940697,,,97.94941479006108,2.568746794874272,0.2464502216992696,200,63.03619152027619,64.06198968460178,27.328868558730743,41.54961390844624,807.0791323718088,502.58967299905845,563.7288135372414,348.16220289197054,4.897470739503054,4.897470739503054,0.0,,,,,200
2,400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,813.3590267958682,4.066795133979341,7.587618218267191,2.2399975303755886,5.350361442066875,20.0,836.616819045154,1292.5129253585867,2.2399975303755886,,,107.00722884133751,2.5543541933021827,0.24388745526317507,200,52.73071754203274,49.42780008105967,18.91446045710326,38.29315793093979,1061.85138686899,497.4088606906347,838.1767247350178,311.47428448006264,5.123916090784965,5.123916090784965,0.0,,,,,400
3,600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,740.8676113298214,3.704338056649107,8.5662280691229,3.6754582049308184,4.9207396137034065,26.0,341.87651741697033,894.9781073781587,3.6754582049308184,,,98.41479227406813,2.5794207644557936,0.25327236598939634,200,44.536206966322744,66.17406054290127,12.153372847982938,18.805660468314926,512.5609319044954,565.1923761273663,344.0211542775249,578.5598235106002,5.056190598424446,5.056190598424446,0.0,,,,,600
4,800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1133.7672931239367,5.668836465619684,8.864572009389432,2.768699696552998,6.108521576888974,21.0,357.3761596047253,867.1228572376018,2.768699696552998,,,122.17043153777948,2.590378410787211,0.24581755127990618,200,69.11639163938595,67.55253603369177,31.773623703179794,3.7309773761417926,395.65299185207226,456.2055782932289,341.5856493315615,344.7999897819752,5.319273343040578,5.319273343040578,0.0,,,,,800
5,1000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,857.16710496259,4.28583552481295,7.662116905087185,2.9817987323648616,4.704184165755432,19.0,582.5434654484277,1208.7329559212887,2.9817987323648616,,,94.08368331510864,2.56652970559652,0.25120254760753596,200,70.98471907628898,53.88045427131471,22.3248623974369,6.4919570831354,972.327958339675,568.8984385546173,571.4307381478864,654.4189598249433,5.196255507583549,5.196255507583549,0.0,,,,,1000
6,1200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.18964089453220367,-5.0,True,velocity,False,True,full,True,1491.3053140281486,7.456526570140743,8.998678650783022,0.9348840649083491,8.063794585874673,19.0,913.2973276416886,1415.0591472017936,0.9348840649083491,,,161.27589171749347,2.5658782704816856,0.2756123859153013,200,47.43411534142491,69.97000637597584,18.18870779786012,27.61049427199596,394.87271892741103,199.2186778993063,895.4350890361468,352.1580994305649,5.674178687298736,5.674178687298736,0.0,4.865067481994629,-8.10549259185791,-13.67492961883545,3.226372003555298,1200
7,1400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17939189076423645,-5.0,True,velocity,False,True,full,True,975.1559220816669,4.875779610408334,8.877477270708576,2.7094342140128607,6.172632411708431,20.0,371.3524093715231,847.607327670218,2.7094342140128607,,,123.45264823416863,3.0472840272625037,0.41297045997111126,200,49.30743346266351,135.38375466188853,23.932358282809673,110.66667888968934,371.2847723344735,622.9530665585979,374.0825739749418,638.277377995594,5.745386362214406,5.745386362214406,0.0,2.877336025238037,-12.192755699157715,-11.976421356201172,1.9714807271957397,1400
8,1600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17012998461723328,-5.0,True,velocity,False,True,full,True,1106.8658264667783,5.534329132333892,8.13242177572069,1.0175029009731216,7.114918874747565,28.0,487.42095225067095,1077.1126228842427,1.0175029009731216,,,142.2983774949513,2.8350567546537127,0.45672323322854935,200,104.68833857211189,104.48900826145122,96.40237203695264,81.94047855034741,743.5938280360577,499.8157313947673,473.8649387367498,442.5763777021609,5.916577926281052,5.916577926281052,0.0,9.058059692382812,-17.881200790405273,-11.256244659423828,1.3561217784881592,1600
9,1800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.16125720739364624,-5.0,True,velocity,False,True,full,True,912.4376095853374,4.562188047926687,8.23401629838582,2.567937016678129,5.671650984472799,19.0,498.65095490441,926.2477669483743,2.567937016678129,,,113.43301968945599,2.8080125412873205,0.4731181919015944,200,83.82413511082174,68.35371101022939,47.00187224230997,34.94224349083195,703.5398900585581,563.8370545531731,504.676504192507,810.7106224817537,5.8893638216356905,5.8893638216356905,0.0,4.993101596832275,-21.976850509643555,-12.105463027954102,1.6350194215774536,1800
10,2000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.15263734757900238,-5.0,True,velocity,False,True,full,True,1069.0503004143143,5.345251502071571,8.664809367656618,2.179610778969315,6.485198588687308,20.0,379.3288417262859,978.0062655928306,2.179610778969315,,,129.70397177374616,2.647677640386896,0.4694061437714845,200,59.35389008004763,61.55159825597225,23.458504449925304,49.435473962160565,512.322916177527,292.9801939746379,394.9513532015831,603.2504175644161,5.948947298340853,5.948947298340853,0.0,18.633277893066406,-27.437475204467773,-11.638940811157227,1.1928613185882568,2000
11,2200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.14437533915042877,-5.0,True,velocity,False,True,full,True,1044.3998808943215,5.221999404471608,7.731535502390175,1.8920640123511778,5.839471490038997,30.0,712.8371514375567,1314.9897755818317,1.8920640123511778,,,116.78942980077994,2.6944684461439476,0.47607135540805756,200,87.33388797968968,80.3211799374652,76.65490312981315,71.93343317440028,992.0278762733827,531.3309781521197,696.3909999878192,623.2667765511495,5.938994952131593,5.938994952131593,0.0,4.316359519958496,-32.916690826416016,-12.578097343444824,1.5001193284988403,2200
12,2400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.13642364740371704,-5.0,True,velocity,False,True,full,True,658.8011246018511,3.2940056230092556,9.105792511886035,5.192637974631643,3.9138278454607027,19.0,77.27616949707958,589.3033695137368,5.192637974631643,,,78.27655690921407,2.6923415519109306,0.46774698156397787,200,107.05881989004672,52.48622947999216,79.13742317453378,23.100392557572665,353.83793040502843,443.1902947427406,83.65789778781895,666.6574078217633,5.7702310265756855,5.7702310265756855,0.0,27.93354034423828,-36.69127655029297,-13.0516357421875,1.5530065298080444,2400
13,2600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.1287597417831421,-5.0,True,velocity,False,True,full,True,644.9523699361163,3.2247618496805814,7.896159182947064,4.278057346675067,3.664267099698158,19.0,335.7452282133412,657.5007359328016,4.278057346675067,,,73.28534199396317,2.6406231951319588,0.4751618722453713,200,92.3068634849176,45.682823831738055,14.765379597812215,13.468452173087481,854.9898386269522,427.3350768443608,344.6125095237262,1070.0062330721237,5.60823380143126,5.60823380143126,0.0,51.33354187011719,-38.640140533447266,-13.601731300354004,1.6365678310394287,2600
14,2800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.12150055170059204,-5.0,True,velocity,False,True,full,True,1161.6970441484457,5.808485220742228,8.5756989312459,1.8516768229348706,6.724022108311024,21.0,421.7113534886204,970.0459432690228,1.8516768229348706,,,134.48044216622048,2.835764383659894,0.4702370800101198,200,102.53677490444372,97.91022307597737,81.7574077817261,70.9939674010183,574.8670855981959,502.89564974482465,412.3848168529023,361.3897301490459,5.687932966208386,5.687932966208386,0.0,147.2400665283203,-46.35807418823242,-13.809734344482422,1.5525057315826416,2800
15,3000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.11483694612979889,-5.0,True,velocity,False,True,full,True,1905.2014765476135,9.526007382738067,10.930002904036106,1.043090914284131,9.886911989751983,19.0,301.5195813866297,773.669646350879,1.043090914284131,,,197.73823979503968,3.2098889141377582,0.467849068492651,200,192.74971946900612,75.63123254681038,188.7828301319165,64.2997821753438,174.0848456203198,205.17007264333444,292.15453254587607,183.98560118263265,5.967864901111293,5.967864901111293,0.0,8.811753273010254,-49.19158935546875,-12.552835464477539,0.8008443117141724,3000
16,3200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.1086532399058342,-5.0,True,velocity,False,True,full,True,1185.0134407796486,5.925067203898243,9.46109628872901,2.5018643698566017,6.959231918872405,17.0,377.9232541363833,859.7109726586003,2.5018643698566017,,,139.18463837744812,3.3336722724987693,0.4764525182172656,200,196.06436334784283,117.36444519350609,187.39734665239698,83.57639531010084,280.86181770571307,433.38724783475703,360.71474134863684,743.2638099117479,6.029825339721362,6.029825339721362,0.0,71.45783996582031,-54.9256706237793,-13.939534187316895,1.2810301780700684,3200
17,3400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.10268441587686539,-5.0,True,velocity,False,True,full,True,1207.4410170023577,6.037205085011789,8.253844642201818,1.8841519758391336,6.369692666362685,22.0,497.7608735815003,922.5374757716136,1.8841519758391336,,,127.3938533272537,3.0082736420507326,0.4709940242348239,200,159.99999852002313,87.64511593357112,145.36576064257207,70.20997178860847,644.9415799850611,229.954738893491,482.159805909251,346.5612923950625,6.049817535406145,6.049817535406145,0.0,7.168618202209473,-59.667808532714844,-12.913561820983887,0.6742455959320068,3400
18,3600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.09757784754037857,-5.0,True,velocity,False,True,full,True,1026.216813536831,5.131084067684156,9.041166515837068,3.380015437948003,5.661151077889071,20.0,125.81577876578186,744.2910758386716,3.380015437948003,,,113.22302155778141,4.101856074255917,0.48079264525324106,200,179.35448945755323,262.84314044496176,174.95714337710825,251.7522716134835,476.0155526702332,437.84716685777295,134.35520909803495,509.83130041743306,6.028224954432975,6.028224954432975,0.0,14.065351486206055,-64.1067123413086,-12.161913871765137,0.2267674058675766,3600
19,3800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.0925871804356575,-5.0,True,velocity,False,True,full,True,914.6888621129107,4.573444310564553,9.285620129406722,3.451873765969786,5.833746363436933,20.0,305.6740351342813,704.4144687121106,3.451873765969786,,,116.67492726873866,4.34602512978086,0.48142889205366374,200,207.18861138861064,114.95295198263267,201.48175970967839,99.90007078690182,286.22844876734234,280.6784477738184,323.2128908984452,773.4002559665018,6.0179892391173935,6.0179892391173935,0.0,10.943255424499512,-67.7977294921875,-11.394112586975098,-0.21123585104942322,3800
