episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,316.89438770759625,1.5844719385379813,7.521163058459511,5.218017198206182,2.6239709922818437,22.0,585.4366019895795,1129.315397419437,5.218017198206182,,,52.47941984563688,2.609588031355644,0.18586995449463165,200,66.63876978134496,81.47186676999584,58.6281681096434,76.60199839776102,789.8375068556472,510.90187295287404,574.5024424742833,305.3102615499407,2.6239709922818437,2.6239709922818437,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,754.5748619888732,3.772874309944366,8.626895727074775,4.1903364139298604,4.633010751342159,18.0,268.17065075528416,715.2382199854997,4.1903364139298604,,,92.66021502684319,2.5571655909032254,0.18255172866560782,200,68.07050507469746,53.95998703225213,59.41228223143149,47.441579226872776,382.7132897261504,404.4622657822112,250.70228361588525,351.764639973886,3.6284908718120015,3.6284908718120015,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,396.7653225428007,1.9838266127140034,8.833502298963856,6.964025404040524,2.256956829530244,23.0,96.1357127743888,573.0851280944988,6.964025404040524,,,45.13913659060487,2.5128617489211074,0.2056372683085226,200,52.24746322199226,47.58766578552885,38.89486306888429,36.21858434461964,348.33829261830783,155.07536966776308,89.94925652244164,288.3806094061042,3.1713128577180822,3.1713128577180822,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,560.6941787443892,2.803470893721946,8.57784220770837,5.204569139885056,3.5444090217334643,21.0,213.1399442410203,673.5350660589875,5.204569139885056,,,70.88818043466928,2.5987160754954233,0.20691465986289237,200,61.83181541014356,72.5038721247162,54.685390395459976,62.47751728188774,421.83238843673314,123.86590370229192,218.03206917135898,165.32486111462427,3.264586898721928,3.264586898721928,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,402.47070138168493,2.0123535069084246,8.024114854224157,6.03852977350123,2.3027687688140133,28.0,394.2779690306267,919.711854912943,6.03852977350123,,,46.05537537628027,2.522596245994092,0.20896621707157614,200,54.537477325325405,48.689466416950836,33.10322420810454,39.11216189244679,548.6315468177712,441.53473523184647,378.8251557651127,500.257816600815,3.072223272740345,3.072223272740345,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1019.6788353167291,5.098394176583645,9.60331185963801,3.83330145860431,5.7890911590738385,26.0,459.5395905287593,1174.9581821102445,3.83330145860431,,,115.78182318147678,6.029723167487157,0.36637475567798794,200,317.10985998053974,315.53518417903103,306.86495689782475,311.1333192579287,200.92749542074165,145.51186886709792,442.2970710040439,67.09159906254727,3.5250345871292605,3.5250345871292605,0.0,7.115843772888184,-4.989232540130615,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,282.3305086429295,1.4116525432146474,8.670210781368201,5.9948377904099095,2.839413623518383,17.0,142.83908767939602,589.8429926246237,5.9948377904099095,,,56.788272470367666,6.883295286803519,0.4665694023179013,200,380.11476520512696,291.0958943240449,379.7514127147528,192.14686641327899,155.8840013782308,206.5137597585414,129.27490658955676,612.1846680018599,3.4270887351848494,3.4270887351848494,0.0,5.297084808349609,-5.829311847686768,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,702.1786542353022,3.5108932711765113,7.527001728342647,2.803209053035268,4.784783399316814,25.0,465.69757274457976,1069.948523777919,2.803209053035268,,,95.6956679863363,6.867538083490992,0.46678964043841864,200,333.893164200946,379.5331302358151,317.7930464353093,378.93179101192203,872.4935320338608,553.6263752473268,468.46392170404727,193.85835683462392,3.5968005682013446,3.5968005682013446,0.0,6.423945426940918,-7.66700553894043,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,-26.937151591694764,-0.13468575795847382,8.453379120531473,7.814415798493525,1.317066723602672,22.0,72.06764167552429,449.4454375908722,7.814415798493525,,,26.341334472053447,6.528558367891243,0.47165007636566336,200,373.6991631278175,301.5386806044581,304.5403564154073,88.20459209327832,647.5158201921491,153.96432105385097,86.7516816393065,937.1943133958588,3.343496807690381,3.343496807690381,0.0,6.2631635665893555,-7.018304347991943,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,430.54881269698615,2.152744063484931,8.116098393797072,3.771005128286524,4.370827979165783,21.0,136.20295668331474,704.4073464732397,3.771005128286524,,,87.41655958331567,6.673561099597277,0.46386964498503547,200,302.35117417703873,224.9411825022056,126.28921264362647,195.1940017924615,496.47053044107304,521.2724688764181,119.47402221478437,490.9547044122433,3.446229924837921,3.446229924837921,0.0,8.292795181274414,-9.46429443359375,2000
11,2200,TD3PG,rayleigh,64,0.001,0.001,64,0.29931281249999997,0.2,0.5,2,velocity,False,True,full,True,503.53120106767403,2.5176560053383703,8.422436246246194,4.398382476766454,4.0942979835338145,24.0,333.6147888729853,841.0534947302833,4.398382476766454,,,81.88595967067629,6.566859667737506,0.4718431287264195,200,283.36079342639164,355.56444797542144,267.21859973930657,320.0776415620699,413.63740224062093,503.0419459715592,351.07466204152695,358.05651617408233,3.505145202901184,3.505145202901184,0.0,5.48963737487793,-11.027925491333008,2200
12,2400,TD3PG,rayleigh,64,0.001,0.001,64,0.2992503125,0.2,0.5,2,velocity,False,True,full,True,633.5785640118992,3.167892820059496,8.316103946284192,4.238906870787898,4.1219224129219425,14.0,200.28769089652528,519.6790691665653,4.238906870787898,,,82.43844825843885,6.6307665999451375,0.4719010879838204,200,355.90098680076795,365.6921801473446,287.6736730529735,315.91878138838786,466.60037464076237,504.49079114144513,185.39354774147398,220.72386159382322,3.556543303736247,3.556543303736247,0.0,9.801251411437988,-12.75326156616211,2400
13,2600,TD3PG,rayleigh,64,0.001,0.001,64,0.2991878125,0.2,0.5,2,velocity,False,True,full,True,348.1010500921159,1.7405052504605794,7.224304749894489,2.851177146121144,4.416459078153598,25.0,364.5273032765834,1000.7047477441592,2.851177146121144,,,88.32918156307197,6.7480393315708485,0.46306640637204416,200,42.79046072822068,216.61224570690086,40.337386310515704,198.74958410933036,978.7146765722988,708.8723439378913,349.0047882210209,498.1352167334581,3.6226906709991202,3.6226906709991202,0.0,9.544132232666016,-13.58757209777832,2600
14,2800,TD3PG,rayleigh,64,0.001,0.001,64,0.29912531249999996,0.2,0.5,2,velocity,False,True,full,True,129.1097072660853,0.6455485363304265,8.211952037183964,5.199110782705379,3.1336337902773583,19.0,235.04867566459598,569.9222964805007,5.199110782705379,,,62.67267580554717,6.888929299899285,0.46463391416055705,200,186.62670089254107,304.00191030089155,178.43370285402318,282.29948563883516,371.8370160889074,708.8723439378913,226.6590462737255,581.7600077986089,3.587758036661852,3.587758036661852,0.0,18.98383331298828,-14.333767890930176,2800
15,3000,TD3PG,rayleigh,64,0.001,0.001,64,0.2990628125,0.2,0.5,2,velocity,False,True,full,True,491.4636435693261,2.4573182178466304,8.654896547627441,5.413169383916566,3.3154881934235965,18.0,85.78387008283217,595.7504764338688,5.413169383916566,,,66.30976386847193,6.8676886276414795,0.47553753563374856,200,373.9410082169049,379.88432692042966,373.0339384325439,379.48228833035773,516.3191545004837,615.5294719464465,87.1355392171359,254.15970805611323,3.5696067137793013,3.5696067137793013,0.0,7.718456745147705,-16.17184066772461,3000
16,3200,TD3PG,rayleigh,64,0.001,0.001,64,0.2990003125,0.2,0.5,2,velocity,False,True,full,True,41.16197668205905,0.20580988341029524,8.337547775485843,6.1484499948203215,2.416938229112798,18.0,37.75747906564111,544.3548122096091,6.1484499948203215,,,48.33876458225596,6.4408263106120724,0.4698232280043955,200,273.18250158362815,203.53928893449074,257.83319122536784,148.46294772704874,351.57612658103363,508.315191005556,42.33636903182744,425.6927603196649,3.497564933487645,3.497564933487645,0.0,6.990285873413086,-16.84253692626953,3200
17,3400,TD3PG,rayleigh,64,0.001,0.001,64,0.2989378125,0.2,0.5,2,velocity,False,True,full,True,351.6005704159505,1.7580028520797524,8.405216962866815,4.94026734749412,3.531704750329543,15.0,167.67185501238797,737.0643831815283,4.94026734749412,,,70.63409500659085,6.801325716455713,0.4700266380699277,200,259.9543000292407,370.87927219950177,256.1672200949368,368.4969421249726,206.73474115189333,521.8114437066922,161.66631144775099,479.1194459509873,3.499573158007757,3.499573158007757,0.0,6.783843994140625,-17.923391342163086,3400
18,3600,TD3PG,rayleigh,64,0.001,0.001,64,0.2988753125,0.2,0.5,2,velocity,False,True,full,True,533.3845949102956,2.666922974551478,6.977551699843836,2.645227004203806,4.35996923375827,31.0,620.6947874871626,1251.3898976466578,2.645227004203806,,,87.1993846751654,6.8479060222255415,0.4710186880165421,200,160.44202612520687,376.3365352175598,147.97308100852476,370.2882056581972,1287.972143046345,708.8723439378913,604.6301539862649,455.6775359013669,3.5473729399938967,3.5473729399938967,0.0,11.753856658935547,-21.753461837768555,3600
19,3800,TD3PG,rayleigh,64,0.001,0.001,64,0.29881281249999997,0.2,0.5,2,velocity,False,True,full,True,856.6864626478077,4.283432313239039,8.533949385419831,3.532519298431978,5.0591381530562565,20.0,145.81524275489394,635.7937698789741,3.532519298431978,,,101.18276306112514,6.7101225686392185,0.4682087869279739,200,378.9299175086013,361.677624936985,378.5745468371952,296.17993918914146,400.66411388137533,341.06324505489084,153.374900614927,209.96549062940088,3.6269395301550733,3.6269395301550733,0.0,6.615902423858643,-21.22184181213379,3800
