episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rician,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,812.1978208589697,4.0609891042948485,7.918896691833581,3.1855122089540457,4.8802388883600285,22.0,585.4366019895795,1129.315397419437,3.1855122089540457,,,97.60477776720057,2.593794427087511,0.17746449961017918,200,59.01506844764977,80.89757265607903,49.995417398808144,76.79542135285146,783.8697175602317,496.76367209315805,574.5024424742833,302.85919056771155,4.8802388883600285,4.8802388883600285,0.0,,,200
2,400,TD3PG,rician,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,1167.8372809583136,5.839186404791568,9.070467206827827,2.3354088129656043,6.735058393862221,18.0,268.17065075528416,715.2382199854997,2.3354088129656043,,,134.70116787724442,2.5754329258634767,0.1807378015326546,200,72.62580285717196,58.69582032105038,65.61129858875583,50.91812939199957,371.9784778596901,396.03313317016386,250.70228361588525,355.9512741466532,5.8076486411111246,5.8076486411111246,0.0,,,400
3,600,TD3PG,rician,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,854.2134504347001,4.2710672521735,9.303112731668053,4.918002275452114,4.544560717470018,23.0,96.1357127743888,573.0851280944988,4.918002275452114,,,90.89121434940037,2.515510321512354,0.20036584524564538,200,46.14146195900207,55.40380646294354,31.198799589919872,43.56370238818026,335.5713438146996,156.27368299461884,89.94925652244164,279.4989269737475,5.3866193332307555,5.3866193332307555,0.0,,,600
4,800,TD3PG,rician,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,1078.057391222588,5.39028695611294,8.988263337366009,2.878511652024128,6.2190684063256345,21.0,213.1399442410203,673.5350660589875,2.878511652024128,,,124.38136812651271,2.6139380581326055,0.20485096763055505,200,61.24502227244212,75.51352837702167,52.95863160309125,66.72585761462972,426.2833404802576,111.68616095223976,218.03206917135898,163.46668388799796,5.594731601504476,5.594731601504476,0.0,,,800
5,1000,TD3PG,rician,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,904.987058004978,4.5249352900248905,8.427822051623595,3.727544052777892,4.814782774385241,28.0,394.2779690306267,919.711854912943,3.727544052777892,,,96.29565548770485,2.5083836739647385,0.20184562886221258,200,49.56408231435367,47.26839407557629,29.539557170580455,34.62066049852496,561.6141410189233,452.4301363629169,378.8251557651127,498.49001505690615,5.438741836080629,5.438741836080629,0.0,,,1000
6,1200,TD3PG,rician,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1012.0242008258564,5.060121004129282,9.909738106724319,5.727420894333119,5.7373836914645855,26.0,459.5395905287593,1174.9581821102445,5.727420894333119,,,114.7476738292917,5.909405793166064,0.18868612539292684,200,317.5846138965164,306.5479023993404,308.24815621021565,296.9252959753751,202.3001839411955,144.4573786775609,442.2970710040439,40.546271061656256,5.488515478644622,5.488515478644622,0.0,4.878293037414551,-7.172564506530762,1200
7,1400,TD3PG,rician,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,751.3872763517038,3.756936381758519,8.681654245973112,3.8410778769289555,4.859760511247093,17.0,142.83908767939602,589.8429926246237,3.8410778769289555,,,97.19521022494185,6.742747525852937,0.46656897212137766,200,350.5213562920999,368.08109462397175,293.0902168125163,294.5893845622295,476.6210936603698,523.385856162807,129.27490658955676,432.5634853155515,5.398693340444976,5.398693340444976,0.0,7.243030548095703,-9.84221076965332,1400
8,1600,TD3PG,rician,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,945.0798079950412,4.725399039975206,8.220873617278036,0.9291560788243087,7.2917175384537165,25.0,465.69757274457976,1069.948523777919,0.9291560788243087,,,145.83435076907435,6.788164620870463,0.4667867175011447,200,286.9924598000001,282.61805117733957,271.9652547543324,273.0659761789811,617.0063529642812,503.80125035482166,468.46392170404727,497.5240746254618,5.635321365196067,5.635321365196067,0.0,8.139261245727539,-12.39990234375,1600
9,1800,TD3PG,rician,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,183.7454683708622,0.918727341854311,8.991037236496952,6.424886524174703,2.583543314606263,22.0,72.06764167552429,449.4454375908722,6.424886524174703,,,51.67086629212526,6.734951095748604,0.4716499811472433,200,367.70347889745165,265.48235596802044,206.89108549895255,61.417582132443385,298.65251850296477,229.6798602177288,86.7516816393065,1028.6712853813478,5.296234915130533,5.296234915130533,0.0,5.308627128601074,-13.924878120422363,1800
10,2000,TD3PG,rician,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,1285.201803975238,6.426009019876189,9.4752364421807,2.192699749241827,7.28253669293887,21.0,136.20295668331474,704.4073464732397,2.192699749241827,,,145.65073385877741,6.863940459804706,0.4638696592156444,200,379.45821528303594,375.89322911617774,378.9595672023627,286.14561630573144,115.68498975784567,405.2321981813529,119.47402221478437,243.0884742561137,5.4948650929113665,5.4948650929113665,0.0,8.294700622558594,-17.745044708251953,2000
11,2200,TD3PG,rician,64,0.001,0.001,64,0.29931281249999997,0.2,0.5,2,velocity,False,True,full,True,935.7707315762934,4.678853657881467,8.948136297087553,2.6131836550046605,6.3349526420828886,24.0,333.6147888729853,841.0534947302833,2.6131836550046605,,,126.69905284165779,6.825595675114937,0.47184312976950077,200,286.3988455545828,372.6703709165126,270.4842369867953,319.41326601467796,414.9958549912141,503.2077054783085,351.07466204152695,592.9109133584933,5.571236688290596,5.571236688290596,0.0,6.066896438598633,-19.461950302124023,2200
