iteration,raw_objective,display_objective,average_secrecy_rate,absolute_improvement,relative_improvement,relay_update_norm,jammer_update_norm,power_update_norm,alpha_update_norm,power_accepted_step_size,relay_accepted_step_size,jammer_accepted_step_size,alpha_accepted_step_size
0,6.32976603951177,0.0,6.32976603951177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.647982901491348,11.647982901491348,11.647982901491348,5.318216861979578,0.8401916956775523,0.005459148806223935,66.15545691119179,0.6745729784986372,0.9958242635404662,0.25,0.25,0.0,0.25
2,15.489346825422944,15.489346825422944,15.489346825422944,3.8413639239315955,0.32978790889534765,0.006169280039918491,0.0,0.38145099526378096,0.5568711033203649,0.25,0.25,0.0,0.25
3,15.828292949026983,15.828292949026983,15.828292949026983,0.338946123604039,0.021882531744186952,0.008283314418981036,0.0,0.09006038592906242,0.06067761582616859,0.0,0.25,0.0,0.25
4,15.85307705854545,15.85307705854545,15.85307705854545,0.024784109518467545,0.0015658106403692198,0.00843892322698004,0.0,0.0,0.006068938255734934,0.0,0.25,0.0,0.25
5,15.85559043162152,15.85559043162152,15.85559043162152,0.0025133730760700246,0.00015854165514922637,0.008454463808538547,0.0,0.0,0.0006064865438003277,0.0,0.25,0.0,0.25
6,15.855695093078294,15.855695093078294,15.855695093078294,0.00010466145677412442,6.6009182833957e-06,0.00845605850679951,0.0,0.0,1.6846611115271574e-05,0.0,0.25,0.0,0.25
7,15.855782526618762,15.855782526618762,15.855782526618762,8.743354046814034e-05,5.514330337136018e-06,0.008455921363758239,0.0,0.0,1.263225665189172e-05,0.0,0.25,0.0,0.25
8,15.855857040173944,15.855857040173944,15.855857040173944,7.451355518206526e-05,4.699456179912379e-06,0.00845606544201112,0.0,0.0,9.472169515855437e-06,0.0,0.25,0.0,0.25
9,15.855943501410097,15.855943501410097,15.855943501410097,8.646123615285717e-05,5.452952554616919e-06,0.008457545436082637,4.226844803876862,0.0,7.10260904358736e-06,0.0,0.25,0.25,0.25
10,15.856001060650263,15.856001060650263,15.856001060650263,5.755924016526137e-05,3.6301365579501797e-06,0.008456378959607571,0.0,0.0,5.325822644791013e-06,0.0,0.25,0.0,0.25
11,15.85605316872214,15.85605316872214,15.85605316872214,5.2108071876943995e-05,3.286331255757813e-06,0.00845635861488811,0.0,0.0,3.9935178933855384e-06,0.0,0.25,0.0,0.25
12,15.856101188091936,15.856101188091936,15.856101188091936,4.801936979603738e-05,3.0284566584804993e-06,0.00845628383302012,0.0,0.0,2.9945028318182377e-06,0.0,0.25,0.0,0.25
13,15.856146147270948,15.856146147270948,15.856146147270948,4.495917901259361e-05,2.835449804417137e-06,0.008457743929013724,0.0,0.0,2.24540145425694e-06,0.0,0.25,0.0,0.25
14,15.85618879842179,15.85618879842179,15.85618879842179,4.2651150842232255e-05,2.6898812893177755e-06,0.00845580723832269,0.0,0.0,1.6836952047583973e-06,0.0,0.25,0.0,0.25
15,15.856229725615066,15.856229725615066,15.856229725615066,4.092719327530858e-05,2.5811494676061234e-06,0.008456042308352087,0.0,0.0,1.2625052517924494e-06,0.0,0.25,0.0,0.25
16,15.856269359561646,15.856269359561646,15.856269359561646,3.963394657979791e-05,2.4995820107078133e-06,0.008456169005412883,0.0,0.0,9.466799963182739e-07,0.0,0.25,0.0,0.25
17,15.856308020032905,15.856308020032905,15.856308020032905,3.866047125988814e-05,2.4381820454238885e-06,0.008455443053174595,0.0,0.0,7.098614178688792e-07,0.0,0.25,0.0,0.25
18,15.8563459550916,15.8563459550916,15.8563459550916,3.7935058694316126e-05,2.3924269537643227e-06,0.008456024557385282,0.0,0.0,5.322851978948772e-07,0.0,0.25,0.0,0.25
19,15.856383348578214,15.856383348578214,15.856383348578214,3.7393486614689664e-05,2.358266319402694e-06,0.008457065711920345,0.0,0.0,3.991312905418136e-07,0.0,0.25,0.0,0.25
20,15.856420328773112,15.856420328773112,15.856420328773112,3.698019489739579e-05,2.3321960679458268e-06,0.008456179054810787,0.0,0.0,2.99287021630744e-07,0.0,0.25,0.0,0.25
