part,label,param,param_value,U_sense_total,CRB_trace_total,U_sense_per_slot,CRB_trace_per_slot
part1,alpha=0.00,,,4.000000,7.6367e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","8.16e-09,1.12e-09,7.64e+21,3.88e-09,6.62e-09"
part1,alpha=0.25,,,4.000000,7.0722e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","8.66e-09,1.21e-09,7.07e+21,3.40e-09,4.73e-09"
part1,alpha=0.50,,,4.000000,6.5039e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.45e-09,1.33e-09,6.50e+21,3.05e-09,7.28e-09"
part1,alpha=0.75,,,4.000000,5.9421e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.98e-09,1.54e-09,5.94e+21,2.79e-09,2.65e-08"
part1,alpha=1.00,,,4.000000,5.4416e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","1.01e-08,1.83e-09,5.44e+21,2.56e-09,2.79e-08"
part2,N_ant,N_ant,2,3.999613,7.1015e+24,"0.999990,0.999999,0.000000,0.999997,0.999627","1.02e-05,1.21e-06,7.10e+24,2.92e-06,3.73e-04"
part2,N_ant,N_ant,4,3.999997,7.2322e+23,"0.999999,1.000000,0.000000,1.000000,0.999998","8.16e-07,1.24e-07,7.23e+23,2.47e-07,2.29e-06"
part2,N_ant,N_ant,8,4.000000,6.3696e+22,"1.000000,1.000000,0.000000,1.000000,1.000000","6.86e-08,1.20e-08,6.37e+22,2.28e-08,1.70e-07"
part2,N_ant,N_ant,16,4.000000,6.5039e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.45e-09,1.33e-09,6.50e+21,3.05e-09,7.28e-09"
part2,N_ant,N_ant,32,4.000000,7.6468e+20,"1.000000,1.000000,0.000000,1.000000,1.000000","1.09e-09,1.77e-10,7.65e+20,3.52e-10,6.34e-10"
part2,N_ant,N_ant,64,4.000000,1.1052e+20,"1.000000,1.000000,0.000000,1.000000,1.000000","1.69e-10,2.40e-11,1.11e+20,5.52e-11,9.98e-11"
part2,L_pilot,L_pilot,2,4.000000,1.8293e+23,"1.000000,1.000000,0.000000,1.000000,1.000000","9.82e-08,2.06e-08,1.83e+23,1.04e-07,2.03e-07"
part2,L_pilot,L_pilot,4,4.000000,7.8829e+22,"1.000000,1.000000,0.000000,1.000000,1.000000","7.88e-08,1.18e-08,7.88e+22,2.53e-08,9.54e-08"
