episode,violation
1,7.926576062189383e-15
2,9.134359935103476e-15
3,1.0166867348004871e-14
4,8.9589446972127e-15
5,8.495565362309775e-15
6,9.063305661527466e-15
7,8.533174167268953e-15
8,1.0343947920432584e-14
9,9.384437671400292e-15
10,8.99488816763494e-15
11,1.0629552793517406e-14
12,9.740402928670733e-15
13,9.098416464681236e-15
14,8.318068456247829e-15
15,8.176931354242357e-15
16,8.601591661161478e-15
17,8.674172491396348e-15
18,9.27605214862126e-15
19,7.854411565588748e-15
20,8.743006318923108e-15
21,8.247152960549897e-15
22,8.352207814255053e-15
23,8.921752225887758e-15
24,8.673062268371723e-15
25,7.785994071696222e-15
26,8.139183771405101e-15
27,8.92314000466854e-15
28,9.313660953580438e-15
29,8.10407296825133e-15
30,8.85125306382406e-15
31,7.924910727652445e-15
32,8.56564819073924e-15
33,8.104489301885565e-15
34,8.530814943341625e-15
35,8.566203302251551e-15
36,8.423262087831063e-15
37,8.461842337936787e-15
38,8.81766881732915e-15
39,8.070627499634497e-15
40,8.142653218357054e-15
41,8.355954816963163e-15
42,8.356371150597397e-15
43,7.716466354779072e-15
44,9.812012313759055e-15
45,8.568423748300801e-15
46,7.538553115082892e-15
47,8.460593337034083e-15
48,9.704598236126571e-15
49,8.070211166000263e-15
50,8.354289482426225e-15
51,9.775236176068347e-15
52,8.389261507701917e-15
53,9.030970415935258e-15
54,8.281431096435199e-15
55,8.850975508067904e-15
56,8.602424328429947e-15
57,8.81461570401143e-15
58,7.466666174238412e-15
59,8.63670246431525e-15
60,8.494455139285151e-15
61,8.957001806919606e-15
62,8.282402541581745e-15
63,8.922862448912384e-15
64,8.957973252066154e-15
65,9.633960296184797e-15
66,8.638784132486421e-15
67,8.247291738427975e-15
68,7.181755190543981e-15
69,7.678996327697974e-15
70,7.609884944415058e-15
71,7.395889456418558e-15
72,8.565370634983083e-15
73,7.820133429703446e-15
74,7.60974616653698e-15
75,8.106432192178659e-15
76,8.104628079763643e-15
77,9.207218321094502e-15
78,9.066219996967106e-15
79,7.715633687510604e-15
80,8.320844013809393e-15
81,9.918316168366915e-15
82,9.102441023145502e-15
83,7.642358967885344e-15
84,9.917622278976523e-15
85,9.526407440674234e-15
86,8.782002902663066e-15
87,9.42051991970061e-15
88,7.67774732679527e-15
89,7.821521208484228e-15
90,8.603673329332651e-15
91,8.815864704914134e-15
92,7.14373005195057e-15
93,8.318762345638219e-15
94,7.110007027577581e-15
95,8.103795412495175e-15
96,7.537720447814422e-15
97,8.103379078860939e-15
98,7.747413821590499e-15
99,9.028333636251772e-15
100,8.283096430972137e-15
