episode,violation
1,5.546396675271126e-15
2,6.969147481328264e-15
3,4.552885846109689e-15
4,6.970118926474811e-15
5,5.407063685680669e-15
6,7.535361223887094e-15
7,7.395473122784324e-15
8,8.105738302788268e-15
9,8.533729278781265e-15
10,8.816281038548368e-15
11,7.25294824199807e-15
12,8.390926842238855e-15
13,7.110007027577581e-15
14,8.673894935640192e-15
15,1.1514678099899811e-14
16,1.1943085409527044e-14
17,1.1798478860569616e-14
18,1.0804690475652023e-14
19,7.818745650922665e-15
20,9.240108678199022e-15
21,7.250589018070742e-15
22,8.423123309952985e-15
23,9.632988851038249e-15
24,8.636563686437171e-15
25,1.0236117509165866e-14
26,9.383882559887979e-15
27,9.774542286677957e-15
28,1.0096229408063095e-14
29,9.421630142725234e-15
30,1.0664663596671176e-14
31,5.725142582235776e-15
32,5.725420137991932e-15
33,1.045122322018699e-14
34,7.040756866416586e-15
35,8.958528363578466e-15
36,7.74880160037128e-15
37,6.509098815499214e-15
38,9.492129304788932e-15
39,6.4702410096373344e-15
40,7.571721027943568e-15
41,4.268807529683727e-15
42,7.962380754733545e-15
43,5.405120795387575e-15
44,4.9410475710942595e-15
45,4.872491299323656e-15
46,5.297290384120856e-15
47,5.581785034181052e-15
48,6.399325513939402e-15
49,7.355643871775896e-15
50,6.858957846134217e-15
51,6.716294187469884e-15
52,6.859929291280764e-15
53,7.0381200867331014e-15
54,7.320810624378282e-15
55,6.292327769941153e-15
56,6.5057681464253395e-15
57,8.280182095532495e-15
58,8.386485950140354e-15
59,8.460315781277927e-15
60,4.373168493998492e-15
61,8.103240300982861e-15
62,6.398076513036699e-15
63,5.297429161998935e-15
64,7.285699821224512e-15
65,4.3029468876909505e-15
66,4.8704096311524834e-15
67,5.688782778179302e-15
68,6.612904668301667e-15
69,5.794115187640614e-15
70,6.007416786246722e-15
71,6.574601973952099e-15
72,6.717543188372588e-15
73,6.57529586334249e-15
74,8.354567038182381e-15
75,5.901945598907332e-15
76,5.226513666301003e-15
77,6.184219802918278e-15
78,6.822736819955821e-15
79,4.658634589205235e-15
80,4.732603198220886e-15
81,5.7240323592111505e-15
82,6.6123495567893546e-15
83,5.973138650361421e-15
84,6.611794445277042e-15
85,6.648709360845828e-15
86,6.611378111642807e-15
87,6.610545444374338e-15
88,6.076528169529638e-15
89,7.535361223887094e-15
90,6.041556144253945e-15
91,7.10778658152833e-15
92,6.6133210019359015e-15
93,5.616895837334823e-15
94,6.93278767727179e-15
95,6.078193504066576e-15
96,8.174017018802715e-15
97,6.043915368181274e-15
98,5.793282520372145e-15
99,5.5806748111564274e-15
100,6.575573419098646e-15
