episode,violation
1,5.973693761873733e-15
2,4.694716837505553e-15
3,4.127392871922098e-15
4,5.1215975904739254e-15
5,3.984867991135843e-15
6,4.4110548547138254e-15
7,7.111394806358361e-15
8,7.678996327697974e-15
9,7.252531908363835e-15
10,9.382633558985277e-15
11,6.825928711151619e-15
12,6.5412952832133445e-15
13,6.256523077396991e-15
14,6.256939411031226e-15
15,7.677192215282958e-15
16,7.25072779594882e-15
17,6.396966290012074e-15
18,8.957695696309998e-15
19,5.404982017509497e-15
20,6.3986316245490115e-15
21,6.682432385218817e-15
22,7.1086192487968e-15
23,7.3943628997597e-15
24,6.68298749673113e-15
25,6.825512377517384e-15
26,8.102962745226705e-15
27,6.259437412836633e-15
28,6.683126274609208e-15
29,7.81832931728843e-15
30,6.823708265102368e-15
31,8.385930838628042e-15
32,6.825928711151619e-15
33,6.968037258303639e-15
34,9.238582121540163e-15
35,7.677469771039114e-15
36,7.106537580625628e-15
37,8.81239525796218e-15
38,8.528455719414296e-15
39,7.675249324989863e-15
40,6.538797281407938e-15
41,6.396688734255918e-15
42,8.387041061652667e-15
43,7.960021530806217e-15
44,7.533834667228234e-15
45,7.960021530806217e-15
46,7.106953914259862e-15
47,9.097583797412766e-15
48,6.111916528439565e-15
49,7.961270531708919e-15
50,6.537825836261391e-15
51,6.965400478620154e-15
52,6.823014375711977e-15
53,7.391587342198136e-15
54,7.107370247894096e-15
55,7.392420009466604e-15
56,6.822736819955821e-15
57,7.81763542789804e-15
58,9.949402413056418e-15
59,8.38759617316498e-15
60,6.680489494925723e-15
61,6.967759702547482e-15
62,6.5417116168475786e-15
63,7.81832931728843e-15
64,7.107647803650252e-15
65,7.391171008563902e-15
66,8.101297410689767e-15
67,7.961131753830841e-15
68,9.381245780204495e-15
69,6.681322162194192e-15
70,7.10709269213794e-15
71,6.115108419635362e-15
72,7.107231470016018e-15
73,7.53411222298439e-15
74,9.522660437966123e-15
75,6.537964614139469e-15
76,7.248923683533804e-15
77,6.538380947773703e-15
78,8.101019854933611e-15
79,9.806599976514008e-15
80,5.969114091897154e-15
81,6.254996520738132e-15
82,6.3975214015243865e-15
83,7.816386426995337e-15
84,8.66959282141977e-15
85,7.10626002486947e-15
86,5.685313331227349e-15
87,7.2476746826311e-15
88,7.105704913357158e-15
89,8.100603521299377e-15
90,7.105704913357158e-15
91,7.39047711917351e-15
92,7.816525204873415e-15
93,8.811146257059476e-15
94,1.0089984403549578e-14
95,8.100187187665141e-15
96,8.100187187665141e-15
97,7.958217418391201e-15
98,7.38978322978312e-15
99,8.242712068451397e-15
100,6.402378627257121e-15
