episode,violation
1,4.695827060530178e-15
2,6.260825191617414e-15
3,6.117745199318847e-15
4,5.687672555154677e-15
5,5.8320015483559474e-15
6,5.549449788588845e-15
7,5.407480019314903e-15
8,6.969286259206342e-15
9,4.4102221874453565e-15
10,6.5425442841160475e-15
11,5.829087212916306e-15
12,7.25142168533921e-15
13,7.252115574729601e-15
14,7.964323645026638e-15
15,6.399047958183246e-15
16,6.256245521640835e-15
17,6.256523077396991e-15
18,6.967482146791326e-15
19,7.676775881648722e-15
20,6.6843752755119116e-15
21,7.678996327697974e-15
22,5.546257897393047e-15
23,6.54087894957911e-15
24,7.251144129583054e-15
25,6.541156505335266e-15
26,5.6880888887889115e-15
27,6.826761378420088e-15
28,5.120209811693144e-15
29,4.2686687518056484e-15
30,5.1207649232054565e-15
31,6.256523077396991e-15
32,6.5417116168475786e-15
33,4.693745392359006e-15
34,5.403594238728715e-15
35,6.398076513036699e-15
36,5.4012350148013864e-15
37,4.9778237087849675e-15
38,5.261763247332851e-15
39,6.256384299518913e-15
40,4.9771298193945766e-15
41,5.40470446175334e-15
42,5.404982017509497e-15
43,3.84151044308112e-15
44,6.6852079427803805e-15
45,5.68892155605738e-15
46,5.974387651264124e-15
47,5.262318358845164e-15
48,5.2638449155040236e-15
49,5.6882276666669895e-15
50,7.251838018973444e-15
51,5.972999872483342e-15
52,6.3979377351586206e-15
53,5.261763247332851e-15
54,6.113720640854581e-15
55,6.256523077396991e-15
56,5.263428581869789e-15
57,4.413136522884997e-15
58,4.695410726895943e-15
59,4.695549504774022e-15
60,3.985423102648156e-15
61,4.553996069134314e-15
62,3.842343110349589e-15
63,3.841371665203042e-15
64,3.840400220056495e-15
65,3.981537322061967e-15
66,2.2765123119938834e-15
67,3.4151848016250597e-15
68,4.4106385210795906e-15
69,4.4093895201768876e-15
70,4.270889197854899e-15
71,4.836131495267182e-15
72,5.260791802186304e-15
73,4.548861287645422e-15
74,5.401512570557543e-15
75,4.547473508864641e-15
76,5.684341886080802e-15
77,4.40619762898109e-15
78,4.2670034172687114e-15
79,4.979211487565749e-15
80,4.83627027314526e-15
81,6.39946429181748e-15
82,6.68451405338999e-15
83,4.1223968683112845e-15
84,2.9858060468512804e-15
85,5.83033621381901e-15
86,5.404426905997184e-15
87,5.544870118612266e-15
88,6.256106743762757e-15
89,4.2665870836344766e-15
90,3.1308289294429414e-15
91,1.851852005074761e-15
92,4.265476860609852e-15
93,3.2697455853991643e-15
94,5.5432047840753286e-15
95,3.1315228188333322e-15
96,3.6989855622948656e-15
97,3.1318003745894883e-15
98,4.121702978920894e-15
99,5.400679903289074e-15
100,5.400679903289074e-15
