episode,violation
1,5.1218751462300815e-15
2,4.979905376956139e-15
3,3.55798723816747e-15
4,5.8300586580628536e-15
5,4.695410726895943e-15
6,4.4106385210795906e-15
7,1.052144482649453e-14
8,6.828287935078947e-15
9,6.968453591937873e-15
10,7.820410985459602e-15
11,6.5426830619941255e-15
12,7.3943628997597e-15
13,6.113998196610737e-15
14,5.263983693382102e-15
15,6.682709940974974e-15
16,6.115385975391519e-15
17,5.971612093702561e-15
18,5.403871794484871e-15
19,6.11455330812305e-15
20,6.257633300421617e-15
21,5.402761571460246e-15
22,6.682571163096895e-15
23,4.978517598175358e-15
24,5.972999872483342e-15
25,6.254996520738132e-15
26,5.545564008002657e-15
27,6.257633300421617e-15
28,5.971889649458717e-15
29,6.3989091803051675e-15
30,4.55052662218236e-15
31,6.683126274609208e-15
32,5.829781102306697e-15
33,5.402206459947933e-15
34,5.689893001203927e-15
35,5.6893378896916144e-15
36,5.547506898295751e-15
37,5.69044811271624e-15
38,4.9778237087849675e-15
39,5.405675906899887e-15
40,5.26259591460132e-15
41,5.546119119514969e-15
42,5.547923231929985e-15
43,6.115108419635362e-15
44,6.3975214015243865e-15
45,5.8300586580628536e-15
46,6.11302675146419e-15
47,5.972999872483342e-15
48,5.263012248235555e-15
49,5.2637061376259456e-15
50,4.837102940413729e-15
51,5.4090065759737625e-15
52,6.257216966787382e-15
53,5.686562332130052e-15
54,5.9741100955079676e-15
55,5.972999872483342e-15
56,4.125866315263238e-15
57,4.979489043321905e-15
58,5.122846591376628e-15
59,5.546951786783438e-15
60,5.404843239631418e-15
61,5.548062009808063e-15
62,5.119932255936988e-15
63,4.9778237087849675e-15
64,5.8300586580628536e-15
65,4.269362641196039e-15
66,5.405953462656044e-15
67,5.829087212916306e-15
68,5.8315852147217126e-15
69,5.5452864522465004e-15
70,6.255412854372366e-15
71,6.5426830619941255e-15
72,5.97244476097103e-15
73,5.972305983092952e-15
74,4.694855615383631e-15
75,7.537720447814422e-15
76,5.120348589571222e-15
77,6.256245521640835e-15
78,6.54309939562836e-15
79,5.689060333935458e-15
80,6.540185060188719e-15
81,6.114136974488815e-15
82,7.391864897954292e-15
83,5.971750871580639e-15
84,5.972305983092952e-15
85,5.261763247332851e-15
86,4.9765747078822645e-15
87,4.692773947212458e-15
88,4.9779624866630455e-15
89,4.835715161632947e-15
90,5.120348589571222e-15
91,5.2637061376259456e-15
92,5.261346913698617e-15
93,4.127115316165941e-15
94,5.120209811693144e-15
95,6.3986316245490115e-15
96,5.26259591460132e-15
97,6.115663531147675e-15
98,5.971750871580639e-15
99,5.688782778179302e-15
100,5.546119119514969e-15
