episode,violation
1,5.406924907802591e-15
2,5.833528105014807e-15
3,5.265371472162883e-15
4,5.1218751462300815e-15
5,5.54681300890536e-15
6,4.410083409567278e-15
7,5.547645676173829e-15
8,5.547784454051907e-15
9,5.547645676173829e-15
10,5.262179580967086e-15
11,5.54681300890536e-15
12,4.9778237087849675e-15
13,4.837102940413729e-15
14,4.5544124027685485e-15
15,5.1215975904739254e-15
16,4.268391196049492e-15
17,4.269917752708352e-15
18,4.2674197509029455e-15
19,5.405120795387575e-15
20,4.838351941316432e-15
21,5.122291479864316e-15
22,4.4103609653234345e-15
23,4.836964162535651e-15
24,4.553163401865845e-15
25,5.263567359747867e-15
26,5.8321403262340255e-15
27,4.2676973066591015e-15
28,4.83849071919451e-15
29,4.269085085439883e-15
30,4.694439281749396e-15
31,5.407202463558747e-15
32,4.41216507773845e-15
33,4.9789339318095924e-15
34,3.842481888227667e-15
35,5.1220139241081595e-15
36,4.551914400963142e-15
37,3.841649220959198e-15
38,3.984729213257765e-15
39,3.983757768111218e-15
40,4.12642142677555e-15
41,3.984729213257765e-15
42,4.835853939511025e-15
43,4.126282648897472e-15
44,3.6998182295633345e-15
45,4.980044154834218e-15
46,4.694716837505553e-15
47,4.837241718291807e-15
48,5.404426905997184e-15
49,3.6998182295633345e-15
50,4.127115316165941e-15
51,2.564060075371799e-15
52,1.5680512444049554e-15
53,4.412303855616528e-15
54,4.550665400060439e-15
55,4.837519274047963e-15
56,4.5545511806466265e-15
57,4.269640196952196e-15
58,3.559097461192095e-15
59,3.985561880526234e-15
60,4.695410726895943e-15
61,2.7045032879868813e-15
62,3.4160174688935286e-15
63,3.5574321266551575e-15
64,4.4103609653234345e-15
65,4.552608290353533e-15
66,3.985284324770078e-15
67,5.1214588125958474e-15
68,5.261346913698617e-15
69,4.979905376956139e-15
70,3.13318815337027e-15
71,4.4106385210795906e-15
72,3.274186477497665e-15
73,4.696104616286334e-15
74,4.552885846109689e-15
75,5.407202463558747e-15
76,4.4113324104699814e-15
77,4.267974862415258e-15
78,4.412303855616528e-15
79,3.983757768111218e-15
80,4.4113324104699814e-15
81,3.7005121189537246e-15
82,4.26852997392757e-15
83,6.115941086903831e-15
84,4.5542736248904705e-15
85,4.837519274047963e-15
86,1.1400602684119577e-15
87,3.843592111252292e-15
88,1.7098822358008191e-15
89,3.4151848016250597e-15
90,1.994931997373328e-15
91,2.9898306053155465e-15
92,3.273492588107274e-15
93,2.988581604412843e-15
94,2.9887203822909216e-15
95,2.1371793224034263e-15
96,2.4195923042924505e-15
97,2.9898306053155465e-15
98,1.9940993301048593e-15
99,4.297950884080137e-16
100,1.994931997373328e-15
