episode,violation
1,6.116079864781909e-15
2,4.5541348470123925e-15
3,5.832834215624416e-15
4,5.971612093702561e-15
5,3.843314555496136e-15
6,3.984312879623531e-15
7,4.268113640293336e-15
8,4.552469512475455e-15
9,4.694300503871318e-15
10,3.1320779303456447e-15
11,3.1329105976141136e-15
12,3.4153235795031377e-15
13,4.126837760409785e-15
14,4.694578059627474e-15
15,3.131384040955254e-15
16,1.5687451337953463e-15
17,2.845501612114276e-15
18,2.847166946651214e-15
19,2.7036706207184124e-15
20,2.2784552022869776e-15
21,1.9940993301048593e-15
22,3.1288860391498475e-15
23,4.4104997432015125e-15
24,4.978240042419202e-15
25,3.4161562467716066e-15
26,4.269778974830274e-15
27,4.124478536482456e-15
28,3.982369989330436e-15
29,7.535083668130938e-15
30,8.103240300982861e-15
31,1.8512968935624486e-15
32,1.851990782952839e-15
33,7.3943628997597e-15
34,6.3989091803051675e-15
35,3.411576576795028e-15
36,4.2653380827317736e-15
37,3.9798719875250295e-15
38,1.705857677336553e-15
39,3.4112990210388716e-15
40,3.841371665203042e-15
41,9.948430967909872e-15
42,1.0375034165122088e-14
43,1.0800943472943913e-14
44,1.0659528815182285e-14
45,3.2714109199361017e-15
46,2.274985755335024e-15
47,2.985250935338968e-15
48,2.702282841937631e-15
49,3.554101457581283e-15
50,2.985667268973202e-15
51,2.4169555246089657e-15
52,3.268635362374539e-15
53,2.274153088066555e-15
54,1.991740106177531e-15
55,4.9776849309068894e-15
56,5.401651348435621e-15
57,2.9866387141197493e-15
58,5.26259591460132e-15
59,2.8446689448458072e-15
60,3.269468029643008e-15
61,4.263811526072914e-15
62,3.128747261271769e-15
63,1.990074771640593e-15
64,2.4164004130966533e-15
65,4.265754416366008e-15
66,1.9914625504213745e-15
67,3.1288860391498475e-15
68,4.1233683134578315e-15
69,2.2755408668473365e-15
70,3.7003733410756466e-15
71,1.8492152253912764e-15
72,2.2748469774569456e-15
73,3.838873663397635e-15
74,2.7020052861814746e-15
75,3.2714109199361017e-15
76,2.2738755323103987e-15
77,3.5549341248497516e-15
78,2.842309720918479e-15
79,4.124756092238613e-15
80,4.2672809730248674e-15
81,4.4106385210795906e-15
82,7.110284583333737e-15
83,4.978656376053436e-15
84,2.701311396791084e-15
85,2.9849733795828116e-15
86,4.1225356461893626e-15
87,2.700339951644537e-15
88,2.4166779688528093e-15
89,2.843419943943104e-15
90,3.553823901825126e-15
91,4.406613962615324e-15
92,5.690725668472396e-15
93,3.4112990210388716e-15
94,2.5596191832732984e-15
95,3.4122704661854186e-15
96,3.2707170305457113e-15
97,3.555211680605908e-15
98,7.535361223887094e-15
99,2.7020052861814746e-15
100,2.9849733795828116e-15
