episode,violation
1,6.543238173506438e-15
2,5.404288128119106e-15
3,6.1181615329530816e-15
4,5.6882276666669895e-15
5,6.117328865684613e-15
6,5.972583538849108e-15
7,6.257772078299695e-15
8,5.690864446350474e-15
9,6.54309939562836e-15
10,5.8320015483559474e-15
11,5.120209811693144e-15
12,4.4103609653234345e-15
13,4.4103609653234345e-15
14,4.267974862415258e-15
15,4.8348824943644784e-15
16,5.6880888887889115e-15
17,4.550804177938517e-15
18,4.835437605876791e-15
19,5.970501870677936e-15
20,4.8348824943644784e-15
21,5.259820357039757e-15
22,5.119099588668519e-15
23,4.978517598175358e-15
24,4.550942955816595e-15
25,4.834466160730244e-15
26,5.830613769575166e-15
27,4.693467836602849e-15
28,3.841094109446885e-15
29,5.1204873674493005e-15
30,4.978517598175358e-15
31,4.408556852908419e-15
32,5.1207649232054565e-15
33,4.97837882029728e-15
34,4.837241718291807e-15
35,4.5542736248904705e-15
36,4.552191956719298e-15
37,5.405120795387575e-15
38,5.263428581869789e-15
39,4.693884170237084e-15
40,4.695271949017865e-15
41,5.972999872483342e-15
42,5.260653024308226e-15
43,5.686145998495818e-15
44,5.685590886983505e-15
45,6.112471639951877e-15
46,4.833355937705619e-15
47,4.975603262735717e-15
48,5.119377144424675e-15
49,6.2545801871038975e-15
50,4.974076706076858e-15
51,5.117434254131581e-15
52,4.974354261833014e-15
53,6.111083861171096e-15
54,5.5433435619534066e-15
55,5.4004023475329175e-15
56,3.9791780981346394e-15
57,5.117295476253503e-15
58,5.259404023405523e-15
59,5.4012350148013864e-15
60,3.837624662494931e-15
61,4.831968158924838e-15
62,4.6901371675289735e-15
63,5.117850587765815e-15
64,5.116601586863112e-15
65,5.826450433232821e-15
66,5.116324031106956e-15
67,5.4002635696548395e-15
68,4.831690603168682e-15
69,5.968558980384841e-15
70,5.258571356137054e-15
71,4.1212866452866596e-15
72,5.684896997593114e-15
73,5.828670879282072e-15
74,4.549693954913891e-15
75,5.969252869775232e-15
76,5.258432578258976e-15
77,4.6898596117728175e-15
78,5.259404023405523e-15
79,5.401512570557543e-15
80,4.6908310569193644e-15
81,5.54237211680686e-15
82,5.259681579161679e-15
83,4.263811526072914e-15
84,5.258155022502819e-15
85,5.116046475350799e-15
86,5.258155022502819e-15
87,4.263395192438679e-15
88,5.258016244624741e-15
89,5.542649672563016e-15
90,4.547889842498875e-15
91,5.258432578258976e-15
92,5.40095745904523e-15
93,5.116879142619268e-15
94,4.690275945407052e-15
95,5.4005411254109955e-15
96,5.11674036474119e-15
97,5.968697758262919e-15
98,4.973799150320701e-15
99,5.542649672563016e-15
100,5.4004023475329175e-15
