episode,violation
1,4.412303855616528e-15
2,5.405675906899887e-15
3,3.7002345631975685e-15
4,4.4104997432015125e-15
5,4.695410726895943e-15
6,4.695133171139787e-15
7,4.552747068231611e-15
8,3.70162234197835e-15
9,4.979905376956139e-15
10,5.9754978742887486e-15
11,5.262457136723242e-15
12,5.8321403262340255e-15
13,4.2676973066591015e-15
14,7.820827319093836e-15
15,7.254613576535007e-15
16,7.822770209386932e-15
17,6.401545959988652e-15
18,6.825651155395462e-15
19,6.8273164899324e-15
20,7.965572645929342e-15
21,7.253503353510382e-15
22,5.548062009808063e-15
23,8.530814943341625e-15
24,6.543376951384516e-15
25,5.122291479864316e-15
26,3.98361899023314e-15
27,4.9790727096876704e-15
28,5.405259573265653e-15
29,6.970674037987124e-15
30,6.259714968592789e-15
31,5.546951786783438e-15
32,4.694439281749396e-15
33,7.113337696651457e-15
34,4.696382172042491e-15
35,8.389539063458073e-15
36,5.974803984898358e-15
37,5.830474991697088e-15
38,6.260547635861258e-15
39,5.404982017509497e-15
40,4.551914400963142e-15
41,5.833111771380572e-15
42,4.979627821199983e-15
43,5.118128143521972e-15
44,4.4111936325919034e-15
45,4.269778974830274e-15
46,5.2638449155040236e-15
47,7.680661662234912e-15
48,5.2648163606505705e-15
49,4.127670427678254e-15
50,3.558958683314017e-15
51,5.547784454051907e-15
52,4.4114711883480595e-15
53,5.8320015483559474e-15
54,4.555938959427408e-15
55,4.695133171139787e-15
56,5.26259591460132e-15
57,4.836547828901416e-15
58,5.973416206117577e-15
59,4.5556614036712515e-15
60,5.973554983995655e-15
61,4.550942955816595e-15
62,5.405537129021809e-15
63,4.695271949017865e-15
64,4.128780650702879e-15
65,5.1213200347177686e-15
66,4.553996069134314e-15
67,3.2729374765949615e-15
68,4.4107772989576686e-15
69,5.547784454051907e-15
70,4.695549504774022e-15
71,4.694300503871318e-15
72,5.405537129021809e-15
73,5.1217363683520034e-15
74,5.264400027016336e-15
75,5.8308913253313225e-15
76,4.836131495267182e-15
77,4.694716837505553e-15
78,5.545008896490344e-15
79,4.839323386462979e-15
80,5.262179580967086e-15
81,4.552469512475455e-15
82,4.978795153931514e-15
83,4.837102940413729e-15
84,6.113998196610737e-15
85,4.409805853811122e-15
86,4.2676973066591015e-15
87,4.551359289450829e-15
88,3.55798723816747e-15
89,5.1204873674493005e-15
90,4.2670034172687114e-15
91,4.4106385210795906e-15
92,4.265476860609852e-15
93,3.982369989330436e-15
94,4.4102221874453565e-15
95,3.41587869101545e-15
96,2.8467506130169795e-15
97,4.126976538287863e-15
