episode,violation
1,5.1221527019862375e-15
2,4.270195308464508e-15
3,4.552469512475455e-15
4,4.125588759507081e-15
5,4.268946307561805e-15
6,3.6998182295633345e-15
7,7.252670686241913e-15
8,1.037933627934251e-14
9,9.102718578901658e-15
10,8.2484019614526e-15
11,3.985561880526234e-15
12,5.1210424789616126e-15
13,5.83325054925865e-15
14,4.9790727096876704e-15
15,5.8320015483559474e-15
16,5.263428581869789e-15
17,5.689893001203927e-15
18,5.973554983995655e-15
19,5.689060333935458e-15
20,4.2672809730248674e-15
21,5.972305983092952e-15
22,5.402761571460246e-15
23,4.55205317884122e-15
24,5.6883664445450675e-15
25,5.260791802186304e-15
26,4.835298827998713e-15
27,4.836547828901416e-15
28,3.698569228660631e-15
29,4.9768522636384205e-15
30,4.12572753738516e-15
31,5.546674231027282e-15
32,4.695133171139787e-15
33,4.12572753738516e-15
34,5.545702785880735e-15
35,4.835853939511025e-15
36,4.834466160730244e-15
37,5.971889649458717e-15
38,5.119515922302753e-15
39,5.26190202521093e-15
40,4.408973186542653e-15
41,5.261208135820539e-15
42,4.978517598175358e-15
43,5.1217363683520034e-15
44,5.6880888887889115e-15
45,5.8300586580628536e-15
46,5.405398351143731e-15
47,5.544731340734188e-15
48,4.549555177035813e-15
49,5.830613769575166e-15
50,5.262457136723242e-15
51,4.835853939511025e-15
52,4.9771298193945766e-15
53,5.404288128119106e-15
54,4.693745392359006e-15
55,4.83849071919451e-15
56,4.126143871019394e-15
57,5.8325566598682595e-15
58,4.125033647994769e-15
59,5.405814684777965e-15
60,3.1318003745894883e-15
61,4.127115316165941e-15
62,4.409111964420731e-15
63,3.2719660314484146e-15
64,4.551081733694673e-15
65,5.971889649458717e-15
66,3.4142133564785128e-15
67,3.840261442178417e-15
68,2.8466118351389014e-15
69,4.550110288548126e-15
70,1.425526363618701e-15
71,4.4107772989576686e-15
72,4.696520949920569e-15
73,4.552885846109689e-15
74,4.4093895201768876e-15
75,4.124756092238613e-15
76,4.4099446316892e-15
77,3.6994018959291e-15
78,4.549416399157735e-15
79,3.4142133564785128e-15
80,3.980288321159264e-15
81,3.130412595808707e-15
82,4.1237846470920655e-15
83,4.8337722713398535e-15
84,4.1236458692139875e-15
85,4.12198053467705e-15
86,4.124339758604378e-15
87,3.981120988427733e-15
88,3.4111602431607936e-15
89,4.692496391456302e-15
90,3.1280533718813786e-15
91,3.980982210549655e-15
92,3.26932925176493e-15
93,4.54983273279197e-15
94,3.839012441275713e-15
95,4.1228132019455186e-15
96,4.408279297152262e-15
97,3.2691904738868515e-15
98,2.418343303389747e-15
99,4.2661707500002425e-15
100,3.5565994593866886e-15
101,4.406336406859168e-15
102,4.2678360845371795e-15
103,4.406475184737246e-15
104,3.981537322061967e-15
105,3.555489236362064e-15
106,4.549000065523501e-15
107,4.124062202848222e-15
108,4.265893194244086e-15
109,3.555350458483986e-15
110,3.839289997031869e-15
111,4.551081733694673e-15
112,3.8384573297634e-15
113,4.406058851103012e-15
114,3.412686799819653e-15
115,4.976019596369952e-15
116,4.834327382852166e-15
117,3.982231211452358e-15
118,4.26561563848793e-15
119,3.697736561392162e-15
120,4.834466160730244e-15
121,3.555211680605908e-15
122,3.841094109446885e-15
123,4.1230907577016754e-15
124,4.975186929101483e-15
125,4.8330783819494626e-15
126,3.553962679703204e-15
127,4.407585407761872e-15
128,4.2663095278783205e-15
129,4.1232295355797534e-15
130,4.409111964420731e-15
131,3.4149072458689033e-15
132,3.981953655696202e-15
133,4.1223968683112845e-15
134,4.8337722713398535e-15
135,3.698014117148319e-15
136,3.554656569093595e-15
137,3.981953655696202e-15
138,4.265754416366008e-15
139,3.698291672904475e-15
140,4.691663724187833e-15
141,3.980843432671577e-15
142,3.4131031334538875e-15
143,4.4099446316892e-15
144,4.2671421951467894e-15
145,3.9794556538907955e-15
146,3.413380689210044e-15
147,4.1225356461893626e-15
148,3.4121316883073405e-15
149,4.550387844304282e-15
150,4.2661707500002425e-15
151,3.696765116245615e-15
152,3.981120988427733e-15
153,5.543621117709563e-15
154,3.696487560489459e-15
155,4.26561563848793e-15
156,4.266031972122164e-15
157,3.838596107641479e-15
158,5.119099588668519e-15
159,3.839289997031869e-15
160,4.122951979823597e-15
161,4.1236458692139875e-15
162,3.695932448977146e-15
163,4.693745392359006e-15
164,3.98209243357428e-15
165,4.976297152126108e-15
166,4.551359289450829e-15
167,3.981676099940046e-15
168,3.698014117148319e-15
169,3.697736561392162e-15
170,2.9849733795828116e-15
171,4.9767134857603425e-15
172,4.407030296249559e-15
173,3.9807046547934984e-15
174,5.262040803089008e-15
175,2.8435587218211823e-15
176,3.1290248170279255e-15
177,4.124062202848222e-15
178,3.981537322061967e-15
179,3.5557667921182205e-15
180,2.9858060468512804e-15
181,4.548583731889266e-15
182,4.406058851103012e-15
183,2.8456403899923545e-15
184,5.26037546855207e-15
185,4.834604938608322e-15
186,3.4124092440634966e-15
187,3.1305513736867853e-15
188,4.978517598175358e-15
189,4.4092507422988096e-15
190,3.698846784416787e-15
191,4.264366637585226e-15
192,4.1226744240674406e-15
193,3.128469705515613e-15
194,5.118128143521972e-15
195,5.405259573265653e-15
196,4.694300503871318e-15
197,5.259681579161679e-15
198,5.258571356137054e-15
199,4.2667258615125546e-15
200,3.2698843632772424e-15
201,4.406475184737246e-15
