episode,violation
1,6.401129626354418e-15
2,4.839600942219136e-15
3,3.132355486101801e-15
4,4.127392871922098e-15
5,4.127670427678254e-15
6,3.274325255375743e-15
7,3.6999570074414125e-15
8,5.832695437746338e-15
9,5.4062310184122e-15
10,6.683265052487286e-15
11,7.111811139992597e-15
12,5.263012248235555e-15
13,5.689199111813536e-15
14,5.4062310184122e-15
15,5.9739713176298896e-15
16,5.973832539751811e-15
17,6.826483822663931e-15
18,6.544070840774907e-15
19,6.258604745568164e-15
20,6.968592369815951e-15
21,6.257910856177773e-15
22,5.404565683875262e-15
23,3.7007896747098814e-15
24,5.406092240534122e-15
25,5.40470446175334e-15
26,5.1218751462300815e-15
27,6.114275752366893e-15
28,4.692912725090537e-15
29,5.547229342539595e-15
30,5.830613769575166e-15
31,5.546535453149204e-15
32,5.83033621381901e-15
33,5.6875337772765986e-15
34,5.263567359747867e-15
35,1.0804412919895867e-14
36,5.9739713176298896e-15
37,5.546951786783438e-15
38,5.8314464368436346e-15
39,6.115385975391519e-15
40,5.829919880184775e-15
41,5.2645388048944145e-15
42,6.683542608243443e-15
43,1.0094286517770001e-14
44,5.977163208825686e-15
45,4.980460488468452e-15
46,5.263151026113633e-15
47,4.981709489371156e-15
48,6.115941086903831e-15
49,4.837935607682198e-15
50,5.263983693382102e-15
51,5.55056001161347e-15
52,5.69044811271624e-15
53,5.1204873674493005e-15
54,4.551636845206986e-15
55,5.263012248235555e-15
56,5.122846591376628e-15
57,6.544625952287219e-15
58,5.547090564661516e-15
59,4.8340498270960095e-15
60,5.404288128119106e-15
61,5.6883664445450675e-15
62,6.825512377517384e-15
63,5.829781102306697e-15
64,6.2558291880066004e-15
65,4.125311203750925e-15
66,5.26037546855207e-15
67,6.114692086001128e-15
68,5.828393323525916e-15
69,7.676498325892566e-15
70,9.09966546558394e-15
71,4.9779624866630455e-15
72,5.120348589571222e-15
73,5.403316682972559e-15
74,8.671396933834786e-15
75,5.262873470357477e-15
76,5.971889649458717e-15
77,5.5443150070999535e-15
78,5.403455460850637e-15
79,5.6880888887889115e-15
80,5.118960810790441e-15
81,5.6878113330327554e-15
82,5.54681300890536e-15
83,4.265754416366008e-15
84,4.835437605876791e-15
85,5.6882276666669895e-15
86,5.544870118612266e-15
87,6.96789848042556e-15
88,1.3504475315784248e-14
89,1.1940448629843558e-14
90,5.6880888887889115e-15
91,5.5445925628561095e-15
92,5.403594238728715e-15
93,5.405120795387575e-15
94,5.830613769575166e-15
95,4.693329058724771e-15
