episode,violation
1,7.109868249699503e-15
2,4.129752095849426e-15
3,4.4113324104699814e-15
4,3.8438696670084485e-15
5,5.974387651264124e-15
6,5.120071033815066e-15
7,2.707695179182679e-15
8,4.836825384657572e-15
9,4.126282648897472e-15
10,4.126143871019394e-15
11,4.835715161632947e-15
12,6.116634976294222e-15
13,4.693745392359006e-15
14,4.836409051023338e-15
15,6.6853467206584585e-15
16,4.127254094044019e-15
17,5.263428581869789e-15
18,4.127809205556332e-15
19,4.83849071919451e-15
20,6.5428218398722035e-15
21,6.118439088709238e-15
22,6.401823515744809e-15
23,7.252393130485757e-15
24,5.264261249138258e-15
25,6.827177712054322e-15
26,5.832834215624416e-15
27,4.2675585287810235e-15
28,4.410083409567278e-15
29,4.9789339318095924e-15
30,5.547368120417673e-15
31,5.262734692479399e-15
32,4.409805853811122e-15
33,5.405259573265653e-15
34,4.694439281749396e-15
35,6.116496198416144e-15
36,4.552330734597376e-15
37,5.548478343442298e-15
38,5.972722316727186e-15
39,4.693329058724771e-15
40,5.1207649232054565e-15
41,4.979627821199983e-15
42,5.404426905997184e-15
43,5.1215975904739254e-15
44,4.124756092238613e-15
45,4.835160050120635e-15
46,4.552885846109689e-15
47,5.120348589571222e-15
48,5.404982017509497e-15
49,3.841787998837276e-15
50,5.1210424789616126e-15
51,5.406924907802591e-15
52,5.262457136723242e-15
53,6.399186736061324e-15
54,4.126282648897472e-15
55,5.689754223325849e-15
56,6.116079864781909e-15
57,3.983202656598905e-15
58,4.695965838408256e-15
59,5.6880888887889115e-15
60,5.688644000301224e-15
61,5.405120795387575e-15
62,4.838213163438354e-15
63,5.548617121320376e-15
64,5.1207649232054565e-15
65,6.115385975391519e-15
66,5.406092240534122e-15
67,4.552191956719298e-15
68,4.553996069134314e-15
69,5.68892155605738e-15
70,4.837658051926041e-15
71,5.546396675271126e-15
72,4.695271949017865e-15
73,4.837935607682198e-15
74,5.548755899198454e-15
75,5.119238366546597e-15
76,6.258188411933929e-15
77,5.1220139241081595e-15
78,4.126005093141316e-15
79,4.9776849309068894e-15
80,4.837241718291807e-15
81,3.416572580405841e-15
82,3.983480212355062e-15
83,4.978517598175358e-15
84,4.551914400963142e-15
85,4.978240042419202e-15
86,5.4076187971929816e-15
87,4.693329058724771e-15
88,6.115524753269597e-15
89,5.8318627704778694e-15
90,5.120348589571222e-15
91,5.123540480767019e-15
92,5.1207649232054565e-15
93,5.830474991697088e-15
94,5.2660653615532735e-15
95,5.973138650361421e-15
96,6.255967965884679e-15
97,5.404565683875262e-15
98,5.973138650361421e-15
99,4.835715161632947e-15
100,5.690170556960083e-15
101,4.693745392359006e-15
102,3.985006769013921e-15
103,4.4106385210795906e-15
104,4.55205317884122e-15
105,4.411887521982294e-15
106,5.4062310184122e-15
107,5.1220139241081595e-15
108,4.550942955816595e-15
109,4.837380496169885e-15
110,4.55205317884122e-15
111,4.978517598175358e-15
112,4.2668646393906326e-15
113,4.838213163438354e-15
114,5.12270781349855e-15
115,5.973554983995655e-15
116,7.109451916065268e-15
117,7.680384106478754e-15
118,6.257910856177773e-15
119,5.262457136723242e-15
120,5.403316682972559e-15
121,6.541156505335266e-15
122,5.263983693382102e-15
123,5.69114200210663e-15
124,5.8322791041121035e-15
125,4.979766599078061e-15
126,3.983063878720827e-15
127,5.54833956556422e-15
128,2.8467506130169795e-15
129,4.836686606779494e-15
130,5.545841563758813e-15
131,4.979350265443827e-15
132,3.841232887324964e-15
133,3.5572933487770795e-15
134,5.546119119514969e-15
135,5.545564008002657e-15
136,4.978795153931514e-15
137,5.405259573265653e-15
138,4.836825384657572e-15
139,6.257078188909304e-15
140,6.257633300421617e-15
141,7.393669010369308e-15
142,5.1215975904739254e-15
143,4.4116099662261375e-15
144,7.679135105576052e-15
145,3.983341434476983e-15
146,6.11830031083116e-15
147,3.557709682411314e-15
148,5.829919880184775e-15
149,5.546257897393047e-15
150,4.268252418171414e-15
151,4.4104997432015125e-15
152,5.54833956556422e-15
153,3.984590435379687e-15
154,5.1218751462300815e-15
155,4.979627821199983e-15
156,3.697597783514084e-15
157,6.116634976294222e-15
158,5.261763247332851e-15
159,4.691524946309755e-15
160,4.979211487565749e-15
161,4.410083409567278e-15
162,3.134159598516817e-15
163,4.126698982531707e-15
164,3.98361899023314e-15
165,4.126976538287863e-15
166,5.40470446175334e-15
167,5.1217363683520034e-15
168,5.119238366546597e-15
169,4.2670034172687114e-15
170,4.124478536482456e-15
171,4.6956882826521e-15
172,3.843453333374214e-15
173,4.835992717389104e-15
174,4.407862963518028e-15
175,4.125588759507081e-15
176,5.402622793582168e-15
177,5.8315852147217126e-15
178,4.2667258615125546e-15
179,4.979766599078061e-15
180,5.546951786783438e-15
181,3.841649220959198e-15
182,5.40317790509448e-15
183,4.4114711883480595e-15
184,2.9880264929005307e-15
185,4.694578059627474e-15
186,5.8315852147217126e-15
187,3.415739913137372e-15
188,4.83627027314526e-15
189,4.2665870836344766e-15
190,5.97244476097103e-15
191,4.981431933614999e-15
192,4.125311203750925e-15
193,5.690309334838161e-15
194,5.689615445447771e-15
195,3.6989855622948656e-15
196,5.40317790509448e-15
197,5.6880888887889115e-15
198,4.975603262735717e-15
199,5.261208135820539e-15
200,6.683542608243443e-15
201,4.409805853811122e-15
202,5.404982017509497e-15
203,5.974248873386046e-15
204,6.822459264199665e-15
205,5.262179580967086e-15
206,3.981676099940046e-15
207,5.5430660061972505e-15
208,4.693190280846693e-15
209,4.835576383754869e-15
210,4.406613962615324e-15
211,5.6880888887889115e-15
212,4.692773947212458e-15
213,4.2663095278783205e-15
214,5.117850587765815e-15
215,3.698430450782553e-15
216,4.125172425872847e-15
217,4.69416172599324e-15
218,2.845362834236198e-15
219,4.406475184737246e-15
220,2.985667268973202e-15
221,2.9869162698759054e-15
222,2.416122857340497e-15
223,3.4111602431607936e-15
224,3.552852456678579e-15
225,3.9798719875250295e-15
226,3.83776344037301e-15
227,3.840261442178417e-15
228,2.9860836026074365e-15
229,1.8493540032693544e-15
230,3.1277758161252222e-15
231,2.9874713813882182e-15
232,2.415984079462419e-15
233,4.832245714680994e-15
234,3.697597783514084e-15
235,3.981676099940046e-15
236,4.97615837424803e-15
237,4.547889842498875e-15
238,3.5564606815086106e-15
239,3.9798719875250295e-15
240,4.267974862415258e-15
241,3.981259766305811e-15
242,2.98733260351014e-15
243,3.980010765403108e-15
244,4.980321710590374e-15
245,4.691802502065911e-15
246,1.847966224488573e-15
247,1.4215018051544349e-15
248,4.54830617613311e-15
249,3.2689129181306954e-15
250,3.841232887324964e-15
