episode,violation
1,5.263151026113633e-15
2,4.55357973550008e-15
3,3.7012060083441155e-15
4,3.983341434476983e-15
5,3.8428982218619016e-15
6,4.127809205556332e-15
7,3.7013447862221935e-15
8,4.126560204653629e-15
9,3.700650896831803e-15
10,3.559375016948252e-15
11,4.12572753738516e-15
12,4.980182932712296e-15
13,5.690725668472396e-15
14,4.4106385210795906e-15
15,3.983202656598905e-15
16,5.8322791041121035e-15
17,5.264261249138258e-15
18,6.259437412836633e-15
19,5.689893001203927e-15
20,5.69114200210663e-15
21,5.546951786783438e-15
22,4.979905376956139e-15
23,6.400574514842105e-15
24,3.983896545989296e-15
25,3.2751579226442118e-15
26,4.837102940413729e-15
27,7.253225797754226e-15
28,3.983480212355062e-15
29,4.4103609653234345e-15
30,7.111256028480283e-15
31,3.7012060083441155e-15
32,3.558681127557861e-15
33,6.824957266005072e-15
34,5.2648163606505705e-15
35,4.270334086342586e-15
36,4.2674197509029455e-15
37,5.689060333935458e-15
38,6.116496198416144e-15
39,5.1207649232054565e-15
40,4.4117487441042155e-15
41,3.9870884371850936e-15
42,9.954537194545309e-15
43,3.6999570074414125e-15
44,5.549449788588845e-15
45,7.678163660429504e-15
46,6.40099084847634e-15
47,7.964739978660872e-15
48,6.542960617750282e-15
49,7.82207631999654e-15
50,5.8315852147217126e-15
51,6.544209618652985e-15
52,6.970674037987124e-15
53,6.116357420538066e-15
54,5.689615445447771e-15
55,8.673478602005957e-15
56,1.0097478408965799e-14
57,1.1232959007401177e-14
58,8.672229601103254e-15
59,8.391759509507325e-15
60,7.39575067854048e-15
61,1.0664247263036942e-14
62,9.244410792419444e-15
63,9.527517663698859e-15
64,9.101747133755112e-15
65,1.0379475057220588e-14
66,7.963629755636248e-15
67,1.151481687777789e-14
68,9.242329124248272e-15
69,1.0237921621580881e-14
70,9.669903766607035e-15
71,1.1373957331528573e-14
72,9.382633558985277e-15
73,1.237107638552004e-14
74,1.0948325579462903e-14
75,1.2083389844264048e-14
76,1.080635581018896e-14
77,1.0662165594865768e-14
78,9.526407440674234e-15
79,1.037864238995212e-14
80,1.2937984017469261e-14
81,1.2939649352006199e-14
82,1.0947909245828669e-14
83,9.811873535880977e-15
84,9.810346979222117e-15
85,1.3364170881047244e-14
86,1.2653628145287143e-14
87,1.2509715485720107e-14
88,1.2369411050983103e-14
89,1.194183640862434e-14
90,1.2085055178800986e-14
91,1.1374512443040885e-14
92,1.2228135171099552e-14
93,1.1089601459346455e-14
94,1.0379058723586354e-14
95,1.321859288694327e-14
96,1.2936457460810402e-14
97,1.2084222511532516e-14
98,1.1234624341938115e-14
99,1.2511380820257045e-14
100,1.1233791674669647e-14
101,1.3506001872443108e-14
102,1.2084361289410594e-14
103,1.691799478287237e-14
104,1.3505724316686952e-14
105,1.1374928776675119e-14
106,1.1802225863277727e-14
107,1.350433653790617e-14
108,1.0949019468853294e-14
109,1.2938400351103495e-14
110,1.1089185125712219e-14
111,1.0663414595768472e-14
112,1.322011944360213e-14
113,1.1941281297112028e-14
114,1.2937984017469261e-14
115,1.4500900480385327e-14
116,1.4925144453670214e-14
117,1.3079676230987047e-14
118,1.1940864963477792e-14
119,1.1231432450742317e-14
120,1.080635581018896e-14
121,1.1087936124809517e-14
122,1.179972786147232e-14
123,1.350655698395542e-14
124,1.1657341758564144e-14
125,1.2935347237785777e-14
126,1.0806217032310882e-14
127,1.2082557176995578e-14
128,1.2510409375110499e-14
129,1.1231848784376553e-14
130,1.2795597914561085e-14
131,1.3646861418692424e-14
132,1.3504752871540404e-14
133,1.2085193956679064e-14
134,1.3647277752326658e-14
135,1.1373679775772415e-14
136,1.2225498391416068e-14
137,1.0234452174628928e-14
138,8.67250715685941e-15
139,8.103101523104783e-15
140,1.2793655024267991e-14
141,1.2369272273105025e-14
142,1.0945411244023263e-14
143,1.3647694085960892e-14
144,1.0803857808383555e-14
145,1.2651824032872127e-14
146,1.23681620500804e-14
147,1.4639400802707316e-14
148,1.2509437929963951e-14
149,1.237107638552004e-14
150,9.951484081227591e-15
151,1.3077733340693954e-14
152,1.2794487691536461e-14
153,1.2224665724147599e-14
154,1.1515094433534045e-14
155,1.037780972268365e-14
156,1.279309991275568e-14
157,1.1089185125712219e-14
158,1.1941697630746262e-14
159,1.194114251923395e-14
160,1.3362089212876072e-14
161,1.0378919945708276e-14
162,1.3646167529302033e-14
163,1.1229350782571145e-14
164,1.4498263700701842e-14
165,9.953149415764529e-15
166,1.4358236821720992e-14
167,1.2226192280806458e-14
168,8.388151284677291e-15
169,1.180056052874079e-14
170,1.137270833062587e-14
171,9.810902090734431e-15
172,1.137270833062587e-14
173,1.1230461005595771e-14
174,1.2937706461713105e-14
175,1.1229489560449223e-14
176,8.67403371351827e-15
177,1.19433629652832e-14
178,1.1087103457541047e-14
179,1.3505446760930794e-14
180,1.123129367286424e-14
181,1.2511242042378967e-14
182,1.2510131819354343e-14
183,1.1797923749057304e-14
184,1.23681620500804e-14
185,1.1373818553650495e-14
186,9.100498132852408e-15
187,1.1373957331528573e-14
188,1.2937151350200793e-14
189,1.1087658569053361e-14
190,1.0234035840994694e-14
191,1.4214462940032035e-14
192,1.0946937800682121e-14
193,1.0666467709086192e-14
194,9.668932321460489e-15
195,1.1230738561351927e-14
196,1.0660777816084988e-14
197,1.066355337364655e-14
198,1.1656231535539518e-14
199,1.1942113964380496e-14
200,1.1231987562254631e-14
201,9.100220577096252e-15
202,1.2227718837465318e-14
203,1.464051102573194e-14
204,9.809375534075571e-15
205,1.1232126340132709e-14
206,1.3078843563718578e-14
207,1.0378226056317886e-14
208,9.241496456979802e-15
209,1.0946105133413653e-14
210,8.960054920237326e-15
211,8.814893259767586e-15
212,1.1660811205516097e-14
213,1.0806078254432804e-14
214,8.248263183574523e-15
215,1.0096923297453485e-14
216,1.1941697630746262e-14
217,1.3507944762736202e-14
218,1.1091683127517627e-14
219,9.950651413959122e-15
220,1.1941420074990106e-14
221,1.1372847108503947e-14
222,1.322081333299252e-14
223,9.812151091637133e-15
