episode,violation
1,6.967343368913248e-15
2,3.986533325672781e-15
3,6.258327189812007e-15
4,3.8438696670084485e-15
5,7.678857549819896e-15
6,3.985284324770078e-15
7,5.690864446350474e-15
8,3.2761293677907587e-15
9,3.840677775812651e-15
10,4.5555226257931734e-15
11,2.8482771696758392e-15
12,6.116357420538066e-15
13,5.832972993502494e-15
14,3.984174101745452e-15
15,5.972861094605264e-15
16,4.126282648897472e-15
17,4.126560204653629e-15
18,2.9891367159251557e-15
19,4.553718513378158e-15
20,3.6999570074414125e-15
21,4.553024623987767e-15
22,4.126698982531707e-15
23,5.123956814401254e-15
24,4.270611642098743e-15
25,3.983896545989296e-15
26,3.416572580405841e-15
27,3.2730762544730395e-15
28,3.415601135259294e-15
29,4.695271949017865e-15
30,3.274186477497665e-15
31,4.837519274047963e-15
32,4.694439281749396e-15
33,3.274186477497665e-15
34,3.4178215813085444e-15
35,4.269223863317961e-15
36,3.842204332471511e-15
37,2.9905244947059374e-15
38,4.4114711883480595e-15
39,3.5572933487770795e-15
40,3.983757768111218e-15
41,5.832695437746338e-15
42,3.273631365985352e-15
43,4.695549504774022e-15
44,2.846334279382745e-15
45,3.5570157930209234e-15
46,3.6994018959291e-15
47,3.557848460289392e-15
48,3.703287676515288e-15
49,4.835853939511025e-15
50,4.553024623987767e-15
51,3.986533325672781e-15
52,4.2672809730248674e-15
53,4.125311203750925e-15
54,3.274186477497665e-15
55,3.985700658404312e-15
56,4.41216507773845e-15
57,3.98583943628239e-15
58,4.126837760409785e-15
59,3.557848460289392e-15
60,3.7005121189537246e-15
61,2.4213964167074663e-15
62,5.263289803991711e-15
63,4.27005653058643e-15
64,4.4114711883480595e-15
65,3.415601135259294e-15
66,3.4151848016250597e-15
67,2.5647539647621898e-15
68,4.837241718291807e-15
69,3.984312879623531e-15
70,4.12642142677555e-15
71,5.1218751462300815e-15
72,3.8428982218619016e-15
73,4.27005653058643e-15
74,3.4168501361619975e-15
75,3.6999570074414125e-15
76,3.41587869101545e-15
77,4.268807529683727e-15
78,3.84151044308112e-15
79,3.841787998837276e-15
80,4.694994393261709e-15
81,3.985423102648156e-15
82,3.98583943628239e-15
83,4.694716837505553e-15
84,3.985700658404312e-15
85,4.551914400963142e-15
86,5.266898028821742e-15
87,3.7012060083441155e-15
88,4.9789339318095924e-15
89,4.552191956719298e-15
90,4.4107772989576686e-15
91,3.6998182295633345e-15
92,4.123923424970144e-15
93,4.979489043321905e-15
94,6.6856242764146145e-15
95,6.117745199318847e-15
96,5.2646775827724925e-15
97,3.414490912234669e-15
98,4.410083409567278e-15
99,7.821798764240384e-15
100,5.122291479864316e-15
