episode,violation
1,4.979211487565749e-15
2,4.553857291256236e-15
3,4.694439281749396e-15
4,3.416572580405841e-15
5,3.7038427880276e-15
6,4.553163401865845e-15
7,4.551914400963142e-15
8,5.690725668472396e-15
9,5.26412247126018e-15
10,5.6885052224231455e-15
11,6.258604745568164e-15
12,6.258188411933929e-15
13,5.832834215624416e-15
14,6.402101071500965e-15
15,4.978240042419202e-15
16,5.974526429142202e-15
17,5.264261249138258e-15
18,5.1214588125958474e-15
19,4.55357973550008e-15
20,4.55357973550008e-15
21,5.973416206117577e-15
22,6.259021079202398e-15
23,5.406092240534122e-15
24,7.11014580545566e-15
25,5.974803984898358e-15
26,4.980738044224608e-15
27,6.5418503947256566e-15
28,5.546257897393047e-15
29,5.548617121320376e-15
30,9.950373858202965e-15
31,6.1189942002215505e-15
32,5.405537129021809e-15
33,4.549971510670048e-15
34,1.1231432450742317e-14
35,5.689893001203927e-15
36,6.1181615329530816e-15
37,7.962241976855467e-15
38,5.688782778179302e-15
39,8.816558594304524e-15
40,5.689893001203927e-15
41,5.404843239631418e-15
42,9.812289869515211e-15
43,5.40470446175334e-15
44,5.406786129924513e-15
45,5.2637061376259456e-15
46,5.8315852147217126e-15
47,6.5415728389695005e-15
48,4.979489043321905e-15
49,5.405259573265653e-15
50,6.5417116168475786e-15
51,6.259159857080476e-15
52,6.258743523446242e-15
53,5.973554983995655e-15
54,5.97244476097103e-15
55,5.550698789491549e-15
56,5.972167205214873e-15
57,5.405814684777965e-15
58,5.8321403262340255e-15
59,5.547506898295751e-15
60,5.689893001203927e-15
61,4.4104997432015125e-15
62,6.5426830619941255e-15
63,5.9760529858010614e-15
64,4.694439281749396e-15
65,5.972305983092952e-15
66,7.111256028480283e-15
67,5.547368120417673e-15
68,5.261763247332851e-15
69,6.258743523446242e-15
70,5.262457136723242e-15
71,4.5545511806466265e-15
72,5.2638449155040236e-15
73,6.5424055062379694e-15
74,5.548062009808063e-15
75,5.8315852147217126e-15
76,5.404982017509497e-15
77,4.98059926634653e-15
78,6.968592369815951e-15
79,5.8317239925997914e-15
80,5.690309334838161e-15
81,5.548200787686142e-15
82,5.974248873386046e-15
83,5.69114200210663e-15
84,5.405953462656044e-15
85,5.8318627704778694e-15
86,5.406369796290278e-15
87,6.3977989572805426e-15
88,5.688782778179302e-15
89,5.69044811271624e-15
90,5.548894677076532e-15
91,5.547506898295751e-15
92,5.1220139241081595e-15
93,4.837241718291807e-15
94,7.254058465022695e-15
95,4.694716837505553e-15
96,5.1221527019862375e-15
97,5.6883664445450675e-15
98,5.263289803991711e-15
99,5.690031779082005e-15
100,5.689615445447771e-15
