episode,violation
1,6.684652831268068e-15
2,5.689754223325849e-15
3,6.257910856177773e-15
4,5.8315852147217126e-15
5,5.974526429142202e-15
6,5.1207649232054565e-15
7,8.81614226067029e-15
8,6.96942503708442e-15
9,8.959916142359248e-15
10,7.395195567028168e-15
11,8.247985627818367e-15
12,4.270334086342586e-15
13,4.551498067328908e-15
14,6.543376951384516e-15
15,6.115802309025753e-15
16,1.1090572904493001e-14
17,8.391898287385403e-15
18,9.671846656900129e-15
19,7.96487875653895e-15
20,7.536193891155562e-15
21,2.705197177377272e-15
22,6.683126274609208e-15
23,1.2850831510036186e-15
24,2.7047808437430377e-15
25,1.000310945187266e-15
26,1.567634910770721e-15
27,5.745404152435185e-16
28,1.5681900222830336e-15
29,2.4205637494389974e-15
30,3.2761293677907587e-15
31,2.7064461782799755e-15
32,2.4207025273170758e-15
33,2.7056135110115066e-15
34,3.841787998837276e-15
35,3.700650896831803e-15
36,1.0522693827397234e-14
37,6.11524719751344e-15
38,5.545147674368422e-15
39,5.830474991697088e-15
40,5.263428581869789e-15
41,6.5415728389695005e-15
42,5.547229342539595e-15
43,6.968453591937873e-15
44,7.534389778740546e-15
45,6.39946429181748e-15
46,6.82662260054201e-15
47,7.108896804552955e-15
48,6.684930387024224e-15
49,6.399325513939402e-15
50,5.1210424789616126e-15
