episode,violation
1,6.11830031083116e-15
2,4.979489043321905e-15
3,5.1217363683520034e-15
4,6.684097719755755e-15
5,5.974387651264124e-15
6,5.2648163606505705e-15
7,3.7005121189537246e-15
8,2.708111512816913e-15
9,4.696382172042491e-15
10,7.538553115082892e-15
11,7.537998003570578e-15
12,8.391481953751167e-15
13,9.241080123345568e-15
14,5.973554983995655e-15
15,6.543932062896829e-15
16,4.412858967128841e-15
17,5.690725668472396e-15
18,5.404565683875262e-15
19,5.8314464368436346e-15
20,6.116496198416144e-15
21,6.116218642659988e-15
22,5.547645676173829e-15
23,5.54986612222308e-15
24,5.1206261453273785e-15
25,6.115108419635362e-15
26,4.696243394164412e-15
27,5.261485691576695e-15
28,3.98361899023314e-15
29,3.840955331568807e-15
30,3.984590435379687e-15
31,3.557570904533236e-15
32,3.273353810229196e-15
33,2.987193825632062e-15
34,3.841649220959198e-15
35,4.8339110492179315e-15
36,4.552330734597376e-15
37,4.125588759507081e-15
38,3.840261442178417e-15
39,4.9779624866630455e-15
40,5.405953462656044e-15
41,5.548617121320376e-15
42,3.1315228188333322e-15
43,4.694578059627474e-15
44,5.2656490279190394e-15
45,4.552330734597376e-15
46,4.9779624866630455e-15
47,4.1246173143605344e-15
48,4.694439281749396e-15
49,5.404565683875262e-15
50,7.109174360309112e-15
