episode,violation
1,5.546951786783438e-15
2,4.2686687518056484e-15
3,2.8485547254319953e-15
4,5.548200787686142e-15
5,3.98209243357428e-15
6,3.986533325672781e-15
7,4.269917752708352e-15
8,5.406508574168356e-15
9,4.552191956719298e-15
10,6.115941086903831e-15
11,5.688644000301224e-15
12,6.6864569436830834e-15
13,5.548894677076532e-15
14,6.259159857080476e-15
15,6.115941086903831e-15
16,4.411887521982294e-15
17,4.837935607682198e-15
18,5.122291479864316e-15
19,4.836409051023338e-15
20,5.68892155605738e-15
21,7.111256028480283e-15
22,5.549449788588845e-15
23,6.258188411933929e-15
24,5.122430257742394e-15
25,4.836964162535651e-15
26,5.262457136723242e-15
27,5.550143677979236e-15
28,4.268391196049492e-15
29,5.262179580967086e-15
30,5.6880888887889115e-15
31,5.1204873674493005e-15
32,2.988304048656687e-15
33,4.8348824943644784e-15
34,4.4093895201768876e-15
35,5.261763247332851e-15
36,4.978656376053436e-15
37,4.978795153931514e-15
38,4.836547828901416e-15
39,4.4104997432015125e-15
40,3.841787998837276e-15
41,4.125172425872847e-15
42,5.1217363683520034e-15
43,4.979489043321905e-15
44,4.4106385210795906e-15
45,5.406369796290278e-15
46,4.5544124027685485e-15
47,5.122291479864316e-15
48,4.694716837505553e-15
49,3.842204332471511e-15
50,5.1207649232054565e-15
51,4.69416172599324e-15
52,4.270611642098743e-15
53,5.972999872483342e-15
54,5.405120795387575e-15
55,4.4104997432015125e-15
56,4.695271949017865e-15
57,3.701483564100272e-15
58,3.6994018959291e-15
59,4.551914400963142e-15
60,4.838629497072589e-15
61,6.399047958183246e-15
62,4.838074385560276e-15
63,3.7007896747098814e-15
64,4.4103609653234345e-15
65,4.838907052828745e-15
66,4.409805853811122e-15
67,5.549311010710767e-15
68,5.689615445447771e-15
69,5.547645676173829e-15
70,5.263567359747867e-15
71,4.694300503871318e-15
72,4.55357973550008e-15
73,4.12572753738516e-15
74,4.125588759507081e-15
75,5.123124147132785e-15
76,4.2674197509029455e-15
77,4.836686606779494e-15
78,4.55357973550008e-15
79,5.69044811271624e-15
80,6.257078188909304e-15
81,5.829503546550541e-15
82,4.835576383754869e-15
83,2.847028168773136e-15
84,3.415601135259294e-15
85,4.127115316165941e-15
86,5.1214588125958474e-15
87,4.836131495267182e-15
88,5.549311010710767e-15
89,4.839323386462979e-15
90,3.840538997934573e-15
91,4.552885846109689e-15
92,3.843592111252292e-15
93,4.694855615383631e-15
94,5.8308913253313225e-15
95,6.117883977196925e-15
96,6.117051309928456e-15
97,6.116634976294222e-15
98,5.405398351143731e-15
99,3.702177453490662e-15
100,3.98583943628239e-15
101,4.5534409576220016e-15
102,5.405814684777965e-15
103,4.838768274950667e-15
104,5.261208135820539e-15
105,5.830474991697088e-15
106,4.981015599980765e-15
107,6.258743523446242e-15
108,6.401545959988652e-15
109,6.5417116168475786e-15
110,6.683958941877677e-15
111,6.540601393822954e-15
112,5.264261249138258e-15
113,7.110284583333737e-15
114,5.686423554251974e-15
115,6.401129626354418e-15
116,5.263428581869789e-15
117,5.1210424789616126e-15
118,3.985284324770078e-15
119,3.559097461192095e-15
120,6.825789933273541e-15
121,4.268807529683727e-15
122,5.406786129924513e-15
123,4.4114711883480595e-15
124,4.838074385560276e-15
125,4.8350212722425564e-15
126,4.696104616286334e-15
127,4.980460488468452e-15
128,4.835992717389104e-15
129,3.841926776715354e-15
130,5.548062009808063e-15
131,4.838351941316432e-15
132,6.3996030696955584e-15
133,4.553996069134314e-15
134,3.559236239070174e-15
135,7.255446243803475e-15
136,4.268391196049492e-15
137,5.2645388048944145e-15
138,3.7000957853194905e-15
139,4.837935607682198e-15
140,4.695410726895943e-15
141,6.257633300421617e-15
142,5.8325566598682595e-15
143,6.11524719751344e-15
144,6.117745199318847e-15
145,7.964601200782794e-15
146,5.550004900101158e-15
147,6.115663531147675e-15
148,6.1188554223434725e-15
149,3.984729213257765e-15
150,4.1242009807263e-15
151,6.258743523446242e-15
152,6.400574514842105e-15
153,7.253503353510382e-15
154,6.682293607340739e-15
155,4.4116099662261375e-15
156,4.4110548547138254e-15
157,3.9869496593070156e-15
158,3.841926776715354e-15
159,4.551775623085064e-15
160,3.5563219036305326e-15
161,5.689754223325849e-15
162,6.969702592840577e-15
163,6.3997418475736364e-15
164,4.2676973066591015e-15
165,3.985561880526234e-15
166,4.2676973066591015e-15
167,3.842759443983823e-15
168,6.8273164899324e-15
169,5.689199111813536e-15
170,4.980876822102687e-15
171,4.2676973066591015e-15
172,4.4102221874453565e-15
173,4.836964162535651e-15
174,4.4092507422988096e-15
175,4.550110288548126e-15
176,5.97244476097103e-15
177,6.114969641757284e-15
178,5.406092240534122e-15
179,7.109729471821424e-15
180,6.825512377517384e-15
181,5.689476667569693e-15
182,4.409528298054966e-15
183,4.4113324104699814e-15
184,6.968869925572108e-15
185,6.400713292720184e-15
186,5.9739713176298896e-15
187,5.973832539751811e-15
188,6.25888230132432e-15
189,4.410083409567278e-15
190,5.4062310184122e-15
191,4.9789339318095924e-15
192,6.967065813157091e-15
193,6.5414340610914225e-15
194,6.115802309025753e-15
195,7.25447479865693e-15
196,7.537026558424032e-15
197,6.825789933273541e-15
198,7.964323645026638e-15
199,3.841232887324964e-15
200,4.2661707500002425e-15
201,6.5421279504818134e-15
202,7.396028234296637e-15
203,7.678579994063738e-15
204,6.400435736964027e-15
205,6.684652831268068e-15
206,7.253503353510382e-15
207,5.829919880184775e-15
208,6.258188411933929e-15
209,5.8311688810874785e-15
210,6.825234821761228e-15
211,7.251699241095366e-15
212,6.683820163999599e-15
213,7.82207631999654e-15
214,6.401823515744809e-15
215,6.683126274609208e-15
216,6.682154829462661e-15
217,4.408279297152262e-15
218,4.269917752708352e-15
219,4.694578059627474e-15
220,5.1213200347177686e-15
221,5.689060333935458e-15
222,6.260270080105102e-15
223,7.393807788247386e-15
224,6.96720459103517e-15
225,5.404426905997184e-15
226,6.258188411933929e-15
227,6.256523077396991e-15
228,7.536749002667876e-15
229,6.82356948722429e-15
230,6.257216966787382e-15
231,5.544731340734188e-15
232,6.256661855275069e-15
233,6.115802309025753e-15
234,6.824818488126993e-15
235,5.261763247332851e-15
236,5.830752547453244e-15
237,7.252115574729601e-15
238,6.6852079427803805e-15
239,6.82509604388315e-15
240,6.96789848042556e-15
241,5.973693761873733e-15
242,5.406092240534122e-15
243,6.116079864781909e-15
244,7.109451916065268e-15
245,4.9789339318095924e-15
246,6.826483822663931e-15
247,7.110423361211815e-15
248,6.825651155395462e-15
249,6.828149157200869e-15
250,7.11014580545566e-15
251,5.55056001161347e-15
252,4.124339758604378e-15
253,3.55951379482633e-15
254,3.982508767208515e-15
255,3.7002345631975685e-15
256,4.269223863317961e-15
257,3.132494263979879e-15
258,4.127531649800176e-15
259,2.4202861936828413e-15
260,3.415739913137372e-15
261,4.27005653058643e-15
262,4.126698982531707e-15
263,3.559791350582486e-15
264,4.127670427678254e-15
265,4.268252418171414e-15
266,3.2740476996195865e-15
267,3.4162950246496846e-15
268,4.551359289450829e-15
269,3.983063878720827e-15
270,2.562255962956783e-15
271,3.98361899023314e-15
272,3.4147684679908253e-15
273,4.124062202848222e-15
274,4.410083409567278e-15
275,4.268252418171414e-15
276,3.984312879623531e-15
277,5.122846591376628e-15
278,3.983480212355062e-15
279,5.405120795387575e-15
280,3.130412595808707e-15
281,3.558681127557861e-15
282,2.2803980925800714e-15
283,4.551636845206986e-15
284,2.4216739724636227e-15
285,5.11979347805891e-15
286,4.268252418171414e-15
287,3.5571545708990015e-15
288,4.836547828901416e-15
289,3.2759905899126807e-15
290,5.547645676173829e-15
291,5.546396675271126e-15
