episode,violation
1,5.547368120417673e-15
2,5.547368120417673e-15
3,5.547368120417673e-15
4,5.547368120417673e-15
5,5.547368120417673e-15
6,5.547368120417673e-15
7,5.547368120417673e-15
8,4.840156053731448e-15
9,4.840156053731448e-15
10,2.8474445024073703e-15
11,2.8474445024073703e-15
12,2.8528568396524178e-15
13,2.8528568396524178e-15
14,2.8449465006019636e-15
15,2.8449465006019636e-15
16,4.126282648897472e-15
17,4.126282648897472e-15
18,3.8445635563988386e-15
19,3.8445635563988386e-15
20,3.843314555496136e-15
21,3.843314555496136e-15
22,3.8428982218619016e-15
23,3.8428982218619016e-15
24,3.2709945863018673e-15
25,3.2709945863018673e-15
26,2.8506363936031675e-15
27,2.8506363936031675e-15
28,3.5568770151428454e-15
29,3.5568770151428454e-15
30,3.702038675612584e-15
31,3.702038675612584e-15
32,3.842204332471511e-15
33,3.842204332471511e-15
34,3.8428982218619016e-15
35,3.8428982218619016e-15
36,3.841094109446885e-15
37,3.841094109446885e-15
38,3.840955331568807e-15
39,3.840955331568807e-15
40,3.840816553690729e-15
41,3.840816553690729e-15
42,3.840261442178417e-15
43,3.840261442178417e-15
44,3.8444247785207606e-15
45,3.8444247785207606e-15
46,3.842065554593433e-15
47,3.842065554593433e-15
48,3.8444247785207606e-15
49,3.8444247785207606e-15
50,3.839845108544182e-15
51,3.839845108544182e-15
52,3.840261442178417e-15
53,3.840261442178417e-15
54,3.841787998837276e-15
55,3.841787998837276e-15
56,3.840955331568807e-15
57,3.840955331568807e-15
58,3.841926776715354e-15
59,3.841926776715354e-15
60,3.842204332471511e-15
61,3.842204332471511e-15
62,3.840955331568807e-15
63,3.840955331568807e-15
64,3.84151044308112e-15
65,3.84151044308112e-15
66,3.839567552788026e-15
67,3.839567552788026e-15
68,3.8430369997399796e-15
69,3.8430369997399796e-15
70,3.843314555496136e-15
71,3.843314555496136e-15
72,3.839567552788026e-15
73,3.839567552788026e-15
74,3.842759443983823e-15
75,3.842759443983823e-15
76,3.838596107641479e-15
77,3.838596107641479e-15
78,3.839706330666104e-15
79,3.839706330666104e-15
80,3.845535001545386e-15
81,3.845535001545386e-15
82,3.839706330666104e-15
83,3.839706330666104e-15
84,3.84595133517962e-15
85,3.84595133517962e-15
86,3.83998388642226e-15
87,3.83998388642226e-15
88,3.839845108544182e-15
89,3.839845108544182e-15
90,3.839706330666104e-15
91,3.839706330666104e-15
92,3.84969833788773e-15
93,3.84969833788773e-15
94,3.840400220056495e-15
95,3.840400220056495e-15
96,3.839567552788026e-15
97,3.839567552788026e-15
98,3.846090113057698e-15
99,3.846090113057698e-15
100,3.8430369997399796e-15
101,3.8430369997399796e-15
102,3.840816553690729e-15
103,3.840816553690729e-15
104,3.839289997031869e-15
105,3.839289997031869e-15
106,3.840677775812651e-15
107,3.840677775812651e-15
108,3.83998388642226e-15
109,3.83998388642226e-15
110,3.839706330666104e-15
111,3.839706330666104e-15
112,3.842620666105745e-15
113,3.842620666105745e-15
114,3.840261442178417e-15
115,3.840261442178417e-15
116,3.839428774909948e-15
117,3.839428774909948e-15
118,3.840538997934573e-15
119,3.840538997934573e-15
120,3.8449798900330734e-15
121,3.8449798900330734e-15
122,3.838873663397635e-15
123,3.838873663397635e-15
124,3.840400220056495e-15
125,3.840400220056495e-15
126,3.840538997934573e-15
127,3.840538997934573e-15
128,3.842065554593433e-15
129,3.842065554593433e-15
130,3.840122664300338e-15
131,3.840122664300338e-15
132,3.842204332471511e-15
133,3.842204332471511e-15
134,3.839567552788026e-15
135,3.839567552788026e-15
136,3.839289997031869e-15
137,3.839289997031869e-15
138,3.8431757776180576e-15
139,3.8431757776180576e-15
140,3.838318551885322e-15
141,3.838318551885322e-15
142,3.8445635563988386e-15
143,3.8445635563988386e-15
144,3.838040996129166e-15
145,3.838040996129166e-15
146,3.839706330666104e-15
147,3.839706330666104e-15
148,3.8384573297634e-15
149,3.8384573297634e-15
150,3.843453333374214e-15
151,3.843453333374214e-15
152,3.838734885519557e-15
153,3.838734885519557e-15
154,3.838318551885322e-15
155,3.838318551885322e-15
156,3.83776344037301e-15
157,3.83776344037301e-15
158,3.838040996129166e-15
159,3.838040996129166e-15
160,3.8442860006426825e-15
161,3.8442860006426825e-15
162,3.8440084448865265e-15
163,3.8440084448865265e-15
164,3.840816553690729e-15
165,3.840816553690729e-15
166,3.83776344037301e-15
167,3.83776344037301e-15
168,3.837902218251088e-15
169,3.837902218251088e-15
170,3.838596107641479e-15
171,3.838596107641479e-15
172,3.837902218251088e-15
173,3.837902218251088e-15
174,3.838318551885322e-15
175,3.838318551885322e-15
176,3.838596107641479e-15
177,3.838596107641479e-15
178,3.843314555496136e-15
179,3.843314555496136e-15
180,3.8528902290835276e-15
181,3.8528902290835276e-15
182,3.83776344037301e-15
183,3.83776344037301e-15
184,3.84151044308112e-15
