episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,-0.5229253881690442,-0.5229253881690442,-0.5229253881690442
2,-0.12603454330639965,-0.12603454330639965,-0.12603454330639965
3,-0.07594133804479211,-0.07594133804479211,-0.07594133804479211
4,-0.05466234256077807,-0.05466234256077807,-0.05466234256077807
5,-0.04282846013014721,-0.04282846013014721,-0.04282846013014721
6,-0.03528243516418437,-0.03528243516418437,-0.03528243516418437
7,-0.03004828038654862,-0.03004828038654862,-0.03004828038654862
8,-0.327003791928387,-0.327003791928387,-0.327003791928387
9,-0.2797036289606193,-0.2797036289606193,-0.2797036289606193
10,-0.6117422487642985,-0.6117422487642985,-0.6117422487642985
11,-0.5360299177608119,-0.5360299177608119,-0.5360299177608119
12,-0.2560552944084832,-0.2560552944084832,-0.2560552944084832
13,-0.23187380267315777,-0.23187380267315777,-0.23187380267315777
14,0.18417889838204526,0.18417889838204526,0.18417889838204526
15,0.158124197245874,0.158124197245874,0.158124197245874
16,0.6591153366839062,0.6591153366839062,0.6591153366839062
17,0.5771006278491381,0.5771006278491381,0.5771006278491381
18,0.5645117505251293,0.5645117505251293,0.5645117505251293
19,0.5122952026109915,0.5122952026109915,0.5122952026109915
20,0.5361908143489397,0.5361908143489397,0.5361908143489397
21,0.49532710097942756,0.49532710097942756,0.49532710097942756
22,0.4987416535536102,0.4987416535536102,0.4987416535536102
23,0.4675432791141258,0.4675432791141258,0.4675432791141258
24,0.4245944345998518,0.4245944345998518,0.4245944345998518
25,0.4036164823278947,0.4036164823278947,0.4036164823278947
26,0.3406520595570372,0.3406520595570372,0.3406520595570372
27,0.3273829734756851,0.3273829734756851,0.3273829734756851
28,0.1998225586925974,0.1998225586925974,0.1998225586925974
29,0.19446242711124764,0.19446242711124764,0.19446242711124764
30,-0.11134792669671267,-0.11134792669671267,-0.11134792669671267
31,-0.10824109477143612,-0.10824109477143612,-0.10824109477143612
32,-0.287055872849609,-0.287055872849609,-0.287055872849609
33,-0.27988537269373615,-0.27988537269373615,-0.27988537269373615
34,-0.36855333201253215,-0.36855333201253215,-0.36855333201253215
35,-0.3593950866880354,-0.3593950866880354,-0.3593950866880354
36,-0.6342377654472169,-0.6342377654472169,-0.6342377654472169
37,-0.6121070653646354,-0.6121070653646354,-0.6121070653646354
38,-0.656383141726585,-0.656383141726585,-0.656383141726585
39,-0.6339103734236764,-0.6339103734236764,-0.6339103734236764
40,-0.6567283750783156,-0.6567283750783156,-0.6567283750783156
41,-0.6354011851264746,-0.6354011851264746,-0.6354011851264746
42,-0.6123934845654782,-0.6123934845654782,-0.6123934845654782
43,-0.5948149144832023,-0.5948149144832023,-0.5948149144832023
44,-0.5582401476702885,-0.5582401476702885,-0.5582401476702885
45,-0.544233826668429,-0.544233826668429,-0.544233826668429
46,-0.5032704290239255,-0.5032704290239255,-0.5032704290239255
47,-0.49218113597551666,-0.49218113597551666,-0.49218113597551666
48,-0.4616170451441207,-0.4616170451441207,-0.4616170451441207
49,-0.4524410007353943,-0.4524410007353943,-0.4524410007353943
50,-0.43943358911888564,-0.43943358911888564,-0.43943358911888564
51,-0.43127336353838075,-0.43127336353838075,-0.43127336353838075
52,-0.4306991915689021,-0.4306991915689021,-0.4306991915689021
53,-0.42305848876083,-0.42305848876083,-0.42305848876083
54,-0.42010938047043295,-0.42010938047043295,-0.42010938047043295
55,-0.41301091238594695,-0.41301091238594695,-0.41301091238594695
56,-0.42550935454571137,-0.42550935454571137,-0.42550935454571137
57,-0.41851187048928706,-0.41851187048928706,-0.41851187048928706
58,-0.4030242885291194,-0.4030242885291194,-0.4030242885291194
59,-0.3968313055715096,-0.3968313055715096,-0.3968313055715096
60,-0.383374415621216,-0.383374415621216,-0.383374415621216
61,-0.37782943274387515,-0.37782943274387515,-0.37782943274387515
62,-0.3702238549108474,-0.3702238549108474,-0.3702238549108474
63,-0.36512564809448805,-0.36512564809448805,-0.36512564809448805
64,-0.359114296661287,-0.359114296661287,-0.359114296661287
65,-0.35438291053372867,-0.35438291053372867,-0.35438291053372867
66,-0.3462918606945767,-0.3462918606945767,-0.3462918606945767
67,-0.341880802651701,-0.341880802651701,-0.341880802651701
68,-0.3354519091314206,-0.3354519091314206,-0.3354519091314206
69,-0.33133135907245836,-0.33133135907245836,-0.33133135907245836
70,-0.32318610448337737,-0.32318610448337737,-0.32318610448337737
71,-0.3192704475515749,-0.3192704475515749,-0.3192704475515749
72,-0.31451901879802924,-0.31451901879802924,-0.31451901879802924
73,-0.31078608076286546,-0.31078608076286546,-0.31078608076286546
74,-0.3103996705883873,-0.3103996705883873,-0.3103996705883873
75,-0.30683919092717976,-0.30683919092717976,-0.30683919092717976
