episode,violation
1,5.689754223325849e-15
2,5.690031779082005e-15
3,5.120071033815066e-15
4,5.546535453149204e-15
5,5.830613769575166e-15
6,5.692252225131256e-15
7,6.400852070598262e-15
8,7.537304114180188e-15
9,7.537026558424032e-15
10,1.009664574169733e-14
11,7.537304114180188e-15
12,7.537026558424032e-15
13,4.9781012645411235e-15
14,6.400852070598262e-15
15,7.961270531708919e-15
16,6.396827512133996e-15
17,3.1306901515648633e-15
18,6.824818488126993e-15
19,4.69416172599324e-15
20,6.824124598736603e-15
21,4.9776849309068894e-15
22,6.825651155395462e-15
23,6.6860406100488486e-15
24,6.25735574466546e-15
25,6.25735574466546e-15
26,6.113581862976502e-15
27,6.399880625451715e-15
28,6.683820163999599e-15
29,7.112782585139143e-15
30,5.8310301032094005e-15
31,7.251838018973444e-15
32,5.8300586580628536e-15
33,6.824818488126993e-15
34,7.251838018973444e-15
35,4.9775461530288114e-15
36,4.693190280846693e-15
37,4.408140519274184e-15
38,5.545980341636891e-15
39,5.688644000301224e-15
40,3.983202656598905e-15
41,3.982786322964671e-15
42,3.840261442178417e-15
43,5.6879501109108334e-15
44,6.116079864781909e-15
45,6.114136974488815e-15
46,4.55052662218236e-15
47,4.549693954913891e-15
48,5.260930580064382e-15
49,4.834604938608322e-15
50,4.264644193341383e-15
51,4.975880818491874e-15
52,5.8300586580628536e-15
53,4.8330783819494626e-15
54,3.8384573297634e-15
55,5.970224314921779e-15
56,6.539629948676407e-15
57,3.2711333641799457e-15
58,5.403316682972559e-15
59,6.396688734255918e-15
60,6.823430709346212e-15
61,6.2544414092258195e-15
62,4.405920073224934e-15
63,4.2667258615125546e-15
64,4.976297152126108e-15
65,4.2664483057563985e-15
66,7.392975120978918e-15
67,5.5430660061972505e-15
68,5.117989365643894e-15
69,4.2664483057563985e-15
70,4.54830617613311e-15
71,4.26408908182907e-15
72,3.9807046547934984e-15
73,4.265893194244086e-15
74,4.691802502065911e-15
75,5.11826692140005e-15
76,4.6909698347974424e-15
77,4.548861287645422e-15
78,4.975325706979561e-15
79,4.548583731889266e-15
80,4.265060526975617e-15
81,5.401790126313699e-15
82,6.395300955475136e-15
83,4.831968158924838e-15
84,3.695238559586755e-15
85,5.258987689771288e-15
86,5.5433435619534066e-15
87,4.690553501163208e-15
88,4.549000065523501e-15
89,2.985528491095124e-15
90,4.690553501163208e-15
91,5.827005544745134e-15
92,5.258293800380897e-15
93,5.685729664861583e-15
94,3.553962679703204e-15
95,5.684896997593114e-15
96,5.68448066395888e-15
97,4.406475184737246e-15
98,4.6901371675289735e-15
99,5.684758219715036e-15
100,3.553130012434735e-15
