episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,-2.9523565241216176,-2.9523565241216176,-2.9523565241216176
2,-1.8516561670391745,-1.8516561670391745,-1.8516561670391745
3,-2.111012915931301,-2.111012915931301,-2.111012915931301
4,-1.944848594265542,-1.944848594265542,-1.944848594265542
5,-1.8142290395912073,-1.8142290395912073,-1.8142290395912073
6,-1.9925843009504962,-1.9925843009504962,-1.9925843009504962
7,-1.3328201827020836,-1.3328201827020836,-1.3328201827020836
8,-0.5784483579038756,-0.5784483579038756,-0.5784483579038756
9,-1.5091991723779647,-1.5091991723779647,-1.5091991723779647
10,-1.767820441131427,-1.767820441131427,-1.767820441131427
11,-1.7511783465855795,-1.7511783465855795,-1.7511783465855795
12,-1.6829657929447737,-1.6829657929447737,-1.6829657929447737
13,-1.777895798538699,-1.777895798538699,-1.777895798538699
14,-1.8120040746561734,-1.8120040746561734,-1.8120040746561734
15,-1.7264924861558761,-1.7264924861558761,-1.7264924861558761
16,-1.692629987768525,-1.692629987768525,-1.692629987768525
17,-1.6809978991397214,-1.6809978991397214,-1.6809978991397214
18,-1.6678046290088457,-1.6678046290088457,-1.6678046290088457
19,-1.5372106576254538,-1.5372106576254538,-1.5372106576254538
20,-1.4946279831730382,-1.4946279831730382,-1.4946279831730382
21,-1.574894527611857,-1.574894527611857,-1.574894527611857
22,-1.6766392713296219,-1.6766392713296219,-1.6766392713296219
23,-1.6884266718089853,-1.6884266718089853,-1.6884266718089853
24,-1.7098310130059589,-1.7098310130059589,-1.7098310130059589
25,-1.7169143452288176,-1.7169143452288176,-1.7169143452288176
26,-1.7336240981058924,-1.7336240981058924,-1.7336240981058924
27,-1.7199343807757232,-1.7199343807757232,-1.7199343807757232
28,-1.7074783089738452,-1.7074783089738452,-1.7074783089738452
29,-1.7097378696132828,-1.7097378696132828,-1.7097378696132828
30,-1.8552608725445332,-1.8552608725445332,-1.8552608725445332
31,-1.7060510057306795,-1.7060510057306795,-1.7060510057306795
32,-1.7188633545303476,-1.7188633545303476,-1.7188633545303476
33,-1.7085845909501622,-1.7085845909501622,-1.7085845909501622
34,-1.7136229354832468,-1.7136229354832468,-1.7136229354832468
35,-1.723820643438804,-1.723820643438804,-1.723820643438804
36,-1.859073123660935,-1.859073123660935,-1.859073123660935
37,-1.7115583161222114,-1.7115583161222114,-1.7115583161222114
38,-1.736348034871298,-1.736348034871298,-1.736348034871298
39,-1.7434029574190708,-1.7434029574190708,-1.7434029574190708
40,-1.860297074620206,-1.860297074620206,-1.860297074620206
41,-1.7442174437830738,-1.7442174437830738,-1.7442174437830738
42,-1.869936981508919,-1.869936981508919,-1.869936981508919
43,-1.7588968997420056,-1.7588968997420056,-1.7588968997420056
44,-1.8523471533158378,-1.8523471533158378,-1.8523471533158378
45,-1.8684190179978861,-1.8684190179978861,-1.8684190179978861
46,-1.8526233646471824,-1.8526233646471824,-1.8526233646471824
47,-1.8477849402783895,-1.8477849402783895,-1.8477849402783895
48,-1.8492714114795823,-1.8492714114795823,-1.8492714114795823
49,-1.8460581820111148,-1.8460581820111148,-1.8460581820111148
50,-1.8460017480591895,-1.8460017480591895,-1.8460017480591895
51,-1.833704687414025,-1.833704687414025,-1.833704687414025
52,-1.839828074751905,-1.839828074751905,-1.839828074751905
53,-1.8381326535263718,-1.8381326535263718,-1.8381326535263718
54,-1.837986359667461,-1.837986359667461,-1.837986359667461
55,-1.7520450978629623,-1.7520450978629623,-1.7520450978629623
56,-1.8298666582458591,-1.8298666582458591,-1.8298666582458591
57,-1.8333333003744479,-1.8333333003744479,-1.8333333003744479
58,-1.8376550687579254,-1.8376550687579254,-1.8376550687579254
59,-1.7492042826945242,-1.7492042826945242,-1.7492042826945242
60,-1.8353722157172663,-1.8353722157172663,-1.8353722157172663
61,-1.828699449363042,-1.828699449363042,-1.828699449363042
62,-1.8332181352503634,-1.8332181352503634,-1.8332181352503634
63,-1.836904692198508,-1.836904692198508,-1.836904692198508
64,-1.828318911916129,-1.828318911916129,-1.828318911916129
65,-1.8230622572541841,-1.8230622572541841,-1.8230622572541841
66,-1.8368477799336496,-1.8368477799336496,-1.8368477799336496
67,-1.8318214357902716,-1.8318214357902716,-1.8318214357902716
68,-1.7410352317183948,-1.7410352317183948,-1.7410352317183948
69,-1.82603054695211,-1.82603054695211,-1.82603054695211
70,-1.8235574561679646,-1.8235574561679646,-1.8235574561679646
71,-1.8277722607617284,-1.8277722607617284,-1.8277722607617284
72,-1.826021194911603,-1.826021194911603,-1.826021194911603
73,-1.828217423572226,-1.828217423572226,-1.828217423572226
74,-1.84034006638148,-1.84034006638148,-1.84034006638148
75,-1.8250545503878746,-1.8250545503878746,-1.8250545503878746
76,-1.8270623763840428,-1.8270623763840428,-1.8270623763840428
77,-1.821559073012731,-1.821559073012731,-1.821559073012731
78,-1.820063515798327,-1.820063515798327,-1.820063515798327
79,-1.8205311755815305,-1.8205311755815305,-1.8205311755815305
80,-1.8200371828671504,-1.8200371828671504,-1.8200371828671504
81,-1.8265989136894247,-1.8265989136894247,-1.8265989136894247
82,-1.8239295352809635,-1.8239295352809635,-1.8239295352809635
83,-1.8294590284465786,-1.8294590284465786,-1.8294590284465786
84,-1.8219641842702625,-1.8219641842702625,-1.8219641842702625
85,-1.8242290721300507,-1.8242290721300507,-1.8242290721300507
86,-1.8193756129121383,-1.8193756129121383,-1.8193756129121383
87,-1.8189577404905128,-1.8189577404905128,-1.8189577404905128
88,-1.8182909918359074,-1.8182909918359074,-1.8182909918359074
89,-1.8199809263438425,-1.8199809263438425,-1.8199809263438425
90,-1.8227486772294503,-1.8227486772294503,-1.8227486772294503
91,-1.8201787244668992,-1.8201787244668992,-1.8201787244668992
92,-1.8205876392400515,-1.8205876392400515,-1.8205876392400515
93,-1.8166563339219248,-1.8166563339219248,-1.8166563339219248
94,-1.8214463597815933,-1.8214463597815933,-1.8214463597815933
95,-1.817385008677451,-1.817385008677451,-1.817385008677451
96,-1.826625920259223,-1.826625920259223,-1.826625920259223
97,-1.8204690120666607,-1.8204690120666607,-1.8204690120666607
98,-1.8155907033716234,-1.8155907033716234,-1.8155907033716234
99,-1.8131124619082117,-1.8131124619082117,-1.8131124619082117
