episode,violation
1,6.683958941877677e-15
2,7.964462422904716e-15
3,5.69044811271624e-15
4,5.973554983995655e-15
5,5.547368120417673e-15
6,6.114830863879206e-15
7,7.823325320899244e-15
8,5.546535453149204e-15
9,6.967620924669404e-15
10,4.4116099662261375e-15
11,7.82054976333768e-15
12,9.525435995527687e-15
13,8.389677841336151e-15
14,6.6852079427803805e-15
15,8.10476685764172e-15
16,9.525297217649609e-15
17,8.247291738427975e-15
18,7.252531908363835e-15
19,9.098971576193548e-15
20,8.10559952491019e-15
21,6.685069164902302e-15
22,7.678024882551426e-15
23,7.962797088367779e-15
24,8.103517856739017e-15
25,8.957140584797684e-15
26,8.387873728921135e-15
27,7.251005351704976e-15
28,7.109590693943346e-15
29,8.10476685764172e-15
30,5.6880888887889115e-15
31,5.971750871580639e-15
32,5.548894677076532e-15
33,7.111117250602205e-15
34,6.682848718853052e-15
35,6.684652831268068e-15
36,6.115524753269597e-15
37,4.9789339318095924e-15
38,6.54087894957911e-15
39,5.404426905997184e-15
40,5.6893378896916144e-15
41,5.8300586580628536e-15
42,5.404426905997184e-15
43,6.114969641757284e-15
44,5.263983693382102e-15
45,4.408973186542653e-15
46,4.552747068231611e-15
47,4.551636845206986e-15
48,6.115663531147675e-15
49,5.6873949993985206e-15
50,5.6882276666669895e-15
51,3.982925100842749e-15
52,4.55357973550008e-15
53,5.6873949993985206e-15
54,2.9898306053155465e-15
55,4.836825384657572e-15
56,3.984174101745452e-15
57,6.683265052487286e-15
58,5.971334537946404e-15
59,7.110700916967971e-15
60,6.684791609146146e-15
61,4.835576383754869e-15
62,3.699679451685256e-15
63,7.393946566125464e-15
64,4.267974862415258e-15
65,4.550110288548126e-15
66,6.5415728389695005e-15
67,4.837102940413729e-15
68,5.972028427336795e-15
69,6.967343368913248e-15
70,5.40470446175334e-15
71,8.529704720317e-15
72,1.0091927293842674e-14
73,7.817912983654197e-15
74,8.671535711712864e-15
75,4.9781012645411235e-15
76,6.3983540687928554e-15
77,5.403871794484871e-15
78,6.54309939562836e-15
79,6.682016051584583e-15
80,9.666295541777003e-15
81,6.9645678113516854e-15
82,9.381107002326417e-15
83,8.9545038051142e-15
84,1.0803580252627399e-14
85,7.675110547111785e-15
86,1.037489538724401e-14
87,9.240386233955178e-15
88,8.814060592499118e-15
89,9.809375534075571e-15
90,1.0375034165122088e-14
91,7.674555435599473e-15
92,7.960854198074685e-15
93,1.009137218233036e-14
94,8.386624728018433e-15
95,8.244516180866413e-15
96,9.381662113838729e-15
97,7.676081992258332e-15
98,9.522105326453811e-15
99,7.959327641415825e-15
100,9.66435265148391e-15
