episode,violation
1,5.690864446350474e-15
2,6.259714968592789e-15
3,6.5418503947256566e-15
4,6.115385975391519e-15
5,6.400435736964027e-15
6,5.688782778179302e-15
7,6.968176036181717e-15
8,9.525435995527687e-15
9,6.6843752755119116e-15
10,7.110007027577581e-15
11,5.972722316727186e-15
12,5.9753590964106706e-15
13,4.980182932712296e-15
14,1.0947631690072513e-14
15,8.815309593401822e-15
16,8.959222252968858e-15
17,7.53633266903364e-15
18,8.105183191275955e-15
19,7.821521208484228e-15
20,8.107542415203284e-15
21,8.105044413397877e-15
22,9.667683320557785e-15
23,8.957695696309998e-15
24,9.669764988728957e-15
25,9.808959200441335e-15
26,1.0236395064922022e-14
27,1.2227024948074926e-14
28,1.1372291996991635e-14
29,1.151481687777789e-14
30,1.0235978731287788e-14
31,8.390510508604621e-15
32,1.2650713809847503e-14
33,1.0520057047713748e-14
34,1.2084083733654438e-14
35,1.094777046795059e-14
36,1.2368023272202323e-14
37,1.1657064202807988e-14
38,1.1088213680565673e-14
39,1.0519085602567202e-14
40,8.387318617408823e-15
41,9.241218901223646e-15
42,1.265015869833519e-14
43,1.0094564073526158e-14
44,1.1515649545046358e-14
45,1.3788831187966367e-14
46,9.66879354358241e-15
47,9.953982083032997e-15
48,9.810624534978273e-15
49,8.674450047152504e-15
50,1.0664524818793098e-14
51,9.667683320557785e-15
52,1.1373263442138181e-14
53,1.1372014441235479e-14
54,8.957140584797684e-15
55,8.387873728921135e-15
56,1.2366080381909229e-14
57,1.0093453850501532e-14
58,1.1087519791175283e-14
59,1.1655121312514894e-14
60,1.0234174618872772e-14
61,1.1373263442138181e-14
62,1.0519779491957592e-14
63,9.951067747593356e-15
64,1.0521306048616452e-14
65,1.1088768792077985e-14
66,9.099804243462018e-15
67,9.951067747593356e-15
68,1.009373140625769e-14
69,8.532619055756641e-15
70,1.1086687123906813e-14
71,1.0234590952507006e-14
72,1.0946660244925965e-14
73,1.0663692151524628e-14
74,1.1230877339230005e-14
75,1.1372014441235479e-14
76,9.949818746690653e-15
77,1.0094147739891923e-14
78,1.0946937800682121e-14
79,8.246459071159507e-15
80,1.3220535777236364e-14
81,1.2368717161592713e-14
82,1.0234035840994694e-14
83,1.1229767116205381e-14
84,1.0520195825591826e-14
85,1.0660639038206909e-14
86,9.381662113838729e-15
87,9.524464550381139e-15
88,1.066355337364655e-14
89,1.2935486015663855e-14
90,1.1086548346028735e-14
91,1.1229628338327301e-14
92,1.0946382689169809e-14
93,9.380135557179869e-15
94,1.051922438044528e-14
95,8.104905635519799e-15
96,1.0943190797974011e-14
97,1.193878329530662e-14
98,1.2081863287605188e-14
99,1.0660222704572675e-14
100,1.009067829293997e-14
