episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,-0.4109614254711103,-0.4109614254711103,-0.4109614254711103
2,-0.9658894164997824,-0.9658894164997824,-0.9658894164997824
3,-1.082223955617514,-1.082223955617514,-1.082223955617514
4,-0.7100971148752875,-0.7100971148752875,-0.7100971148752875
5,-0.2445741119917574,-0.2445741119917574,-0.2445741119917574
6,0.0038658236235028067,0.0038658236235028067,0.0038658236235028067
7,0.8402175007341077,0.8402175007341077,0.8402175007341077
8,-2.1748071188728697,-2.1748071188728697,-2.1748071188728697
9,-2.821908401982641,-2.821908401982641,-2.821908401982641
10,-2.954731698786539,-2.954731698786539,-2.954731698786539
11,-2.0918024417816987,-2.0918024417816987,-2.0918024417816987
12,0.4148472499328308,0.4148472499328308,0.4148472499328308
13,-1.426966337532282,-1.426966337532282,-1.426966337532282
14,-3.739236674492424,-3.739236674492424,-3.739236674492424
15,-3.4109592784292646,-3.4109592784292646,-3.4109592784292646
16,-3.1891592193283946,-3.1891592193283946,-3.1891592193283946
17,-3.121739326555103,-3.121739326555103,-3.121739326555103
18,-3.1415597572359646,-3.1415597572359646,-3.1415597572359646
19,-2.991282492582769,-2.991282492582769,-2.991282492582769
20,-2.8267454404991543,-2.8267454404991543,-2.8267454404991543
21,-2.6422729008865393,-2.6422729008865393,-2.6422729008865393
22,-2.5010977570476727,-2.5010977570476727,-2.5010977570476727
23,-2.4535111227540476,-2.4535111227540476,-2.4535111227540476
24,-2.444994513661249,-2.444994513661249,-2.444994513661249
25,-2.433785710751128,-2.433785710751128,-2.433785710751128
26,-2.4533156949071406,-2.4533156949071406,-2.4533156949071406
27,-2.534412005389703,-2.534412005389703,-2.534412005389703
28,-2.4557098887770326,-2.4557098887770326,-2.4557098887770326
29,-2.237887384073385,-2.237887384073385,-2.237887384073385
30,-2.221360903930668,-2.221360903930668,-2.221360903930668
31,-2.2401224501155856,-2.2401224501155856,-2.2401224501155856
32,-2.2439515769639375,-2.2439515769639375,-2.2439515769639375
33,-2.4185694007042473,-2.4185694007042473,-2.4185694007042473
34,-2.4944130726680975,-2.4944130726680975,-2.4944130726680975
35,-2.6091512547500577,-2.6091512547500577,-2.6091512547500577
36,-2.5660790052599527,-2.5660790052599527,-2.5660790052599527
37,-2.5146875745793444,-2.5146875745793444,-2.5146875745793444
38,-2.4744238149278335,-2.4744238149278335,-2.4744238149278335
