episode,violation
1,5.262734692479399e-15
2,4.408695630786497e-15
3,3.702871342881053e-15
4,3.7013447862221935e-15
5,4.127392871922098e-15
6,3.98361899023314e-15
7,5.1209037010835345e-15
8,5.8311688810874785e-15
9,1.0808159922603976e-14
10,4.694578059627474e-15
11,6.117051309928456e-15
12,6.6860406100488486e-15
13,9.384854005034526e-15
14,9.954120860911075e-15
15,1.0663969707280784e-14
16,7.679412661332208e-15
17,8.959361030846936e-15
18,1.2369272273105025e-14
19,1.3505446760930794e-14
20,1.0237644065824725e-14
21,1.2653350589530987e-14
22,1.2369549828861182e-14
23,1.038391594931909e-14
24,5.973138650361421e-15
25,5.405259573265653e-15
26,5.6893378896916144e-15
27,5.6893378896916144e-15
28,5.404982017509497e-15
29,3.842065554593433e-15
30,6.5424055062379694e-15
31,4.55357973550008e-15
32,3.984035323867374e-15
33,4.552191956719298e-15
34,4.8347437164864e-15
35,4.553718513378158e-15
36,4.5533021797439236e-15
37,8.814476926133352e-15
38,7.536610224789798e-15
39,9.666156763898925e-15
40,8.814754481889508e-15
41,5.972028427336795e-15
42,6.825928711151619e-15
43,6.826206266907775e-15
44,5.119515922302753e-15
45,6.540740171701032e-15
46,5.972722316727186e-15
47,6.400019403329793e-15
48,4.408556852908419e-15
49,7.53494489025286e-15
50,7.678302438307582e-15
51,8.105044413397877e-15
52,6.823985820858525e-15
53,6.968453591937873e-15
54,6.257633300421617e-15
55,6.683681386121521e-15
56,5.546951786783438e-15
57,6.680905828559958e-15
58,5.8325566598682595e-15
59,6.828287935078947e-15
60,6.968176036181717e-15
61,6.114830863879206e-15
62,5.119932255936988e-15
63,5.97466520702028e-15
64,6.827455267810479e-15
65,6.258188411933929e-15
66,6.11302675146419e-15
67,6.257910856177773e-15
68,6.826900156298166e-15
69,6.82509604388315e-15
70,5.689476667569693e-15
71,5.548755899198454e-15
72,6.54087894957911e-15
73,6.541017727457188e-15
74,6.541156505335266e-15
75,6.6854854985365365e-15
76,6.6843752755119116e-15
77,5.262457136723242e-15
78,6.68451405338999e-15
79,7.395195567028168e-15
80,5.835470995307901e-15
81,5.404565683875262e-15
82,7.537720447814422e-15
83,5.973138650361421e-15
84,6.399186736061324e-15
85,5.972305983092952e-15
86,6.116912532050378e-15
87,5.404149350241028e-15
88,6.684652831268068e-15
89,5.8314464368436346e-15
90,6.115663531147675e-15
91,5.403594238728715e-15
92,6.258743523446242e-15
93,5.68892155605738e-15
94,6.258327189812007e-15
95,5.830474991697088e-15
96,6.3996030696955584e-15
97,7.53563877964325e-15
98,6.683820163999599e-15
99,7.536887780545954e-15
100,6.825373599639306e-15
