episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,0.9997319027777778,2.7102586007751426,7.9015592619116015,7.366851695275511,3.7597608921876464,22.0,597.0220681428797,1135.4959638336402,7.366851695275511,,,200,3.7597608921876464,3.7597608921876464,3.7597608921876464,3.7597608921876464,0.0,0.0
2,400,rician,64,0.9994624583333334,3.657792790931273,9.33026138007939,8.245060087143582,4.095966384700905,13.0,589.4240857804631,938.682534432855,8.245060087143582,,,200,3.9278636384442756,3.9278636384442756,3.9278636384442756,3.9278636384442756,0.0,0.0
3,600,rician,64,0.9991930138888889,3.594553398002609,8.689255992437257,8.761950934570127,3.8663134946537077,28.0,246.99079596222148,713.916795631391,8.761950934570127,,,200,3.90734692384742,3.90734692384742,3.90734692384742,3.90734692384742,0.0,0.0
4,800,rician,64,0.9989235694444445,2.472611140789064,9.639841570081407,11.260288342841037,2.7541996475723565,23.0,102.84869087719447,539.1757217266478,11.260288342841037,,,200,3.619060104778654,3.619060104778654,3.619060104778654,3.619060104778654,0.0,0.0
5,1000,rician,64,0.998654125,4.412057486517966,8.421175359264552,6.0094909329932875,5.061238500021705,22.0,578.469957599771,1044.7497928207852,6.0094909329932875,,,200,3.907495783827264,3.907495783827264,3.907495783827264,3.907495783827264,0.0,0.0
6,1200,rician,64,0.9983846805555555,4.576190750014186,9.060433603470337,7.162152860801242,4.871428023498223,22.0,402.38829130373955,881.5953659496228,7.162152860801242,,,200,4.068151157105757,4.068151157105757,4.068151157105757,4.068151157105757,0.0,0.0
7,1400,rician,64,0.9981152361111111,1.4345479087434676,8.512516103720014,11.341545336116273,1.7153256362594773,20.0,113.07163090396787,445.81759056870317,11.341545336116273,,,200,3.7320332255562887,3.7320332255562887,3.7320332255562887,3.7320332255562887,0.0,0.0
8,1600,rician,64,0.9978457916666666,4.403438927604698,10.11708754943792,9.255450415557139,4.729592351572037,20.0,147.2722089098982,630.0949710251073,9.255450415557139,,,200,3.8567281163082567,3.8567281163082567,3.8567281163082567,3.8567281163082567,0.0,0.0
9,1800,rician,64,0.9975763472222222,3.904309460193901,8.1319386913379,7.550508863685927,4.240980066947277,19.0,396.66836371741533,948.3102302905714,7.550508863685927,,,200,3.8994227774903703,3.8994227774903703,3.8994227774903703,3.8994227774903703,0.0,0.0
10,2000,rician,64,0.9973069027777778,2.329700697473798,8.318801811695595,10.088712938009147,3.0677250195451697,22.0,109.50513774960555,539.0788301981671,10.088712938009147,,,200,3.8162530016958507,3.8162530016958507,3.8162530016958507,3.8162530016958507,0.0,0.0
