episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,282.301253487978,1.41150626743989,7.517957805554987,5.4241489954843605,2.4748994436931038,22.0,598.8634373117872,1133.924101022812,5.4241489954843605,,,49.49798887386208,2.5392723877833445,0.23144164943747456,200,48.3066390882478,56.23517332110209,10.793240092134152,14.316263698866578,872.0306036305884,522.9347257259349,598.8262061156564,383.62473775744417,2.4748994436931038,2.4748994436931038,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,634.2470718047343,3.1712353590236715,7.899980940494137,4.161793997029375,3.8780334229056557,20.0,216.28981598022747,764.6911309992191,4.161793997029375,,,77.56066845811311,2.5593006651677506,0.24132176690065535,200,61.24341939240993,60.15580620600536,13.16775570175324,10.607927096147453,668.1865486399188,515.0660836081847,217.94856665528002,188.2866314025645,3.17646643329938,3.17646643329938,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,880.9093328140303,4.404546664070152,8.922272178655462,3.793280527028618,5.16032111953175,17.0,282.82965990205247,706.7845323965694,3.793280527028618,,,103.20642239063501,2.5508248001150013,0.27103840984211275,200,53.74617166707801,62.65322382828106,23.923880302462912,42.613695050161695,331.3572357444194,252.7133920447199,275.53467375095016,384.78146955089005,3.8377513287101706,3.8377513287101706,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,621.4880203368859,3.1074401016844297,8.186576012340154,5.021123074357129,3.389093846428424,22.0,479.85029094519354,950.5606048742919,5.021123074357129,,,67.78187692856848,2.5840469810031697,0.25896893172568525,200,73.97100632648237,60.03550117544557,39.12467130480517,39.086685910257046,474.5109680133312,321.1455186273132,481.32897858145964,312.82882692331066,3.7255869581397336,3.7255869581397336,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,681.8831629830694,3.409415814915347,8.978132195801399,5.487395337557196,3.6832115791607243,23.0,251.49847413826373,774.5522651653151,5.487395337557196,,,73.66423158321449,2.5186412896863164,0.24033587164012715,200,55.296178684799266,46.55001538214413,14.002605969168338,25.71652025962332,246.5248146686254,322.6829074625034,253.6732314852255,174.53044953760985,3.7171118823439313,3.7171118823439313,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.18961304426193237,-5.0,True,velocity,False,True,full,True,668.1413910035864,3.340706955017932,8.700361493983747,5.161153551160586,3.621017579534209,23.0,420.45327099587746,894.6055377937661,5.161153551160586,,,72.42035159068419,2.572881388626886,0.27802077206695686,200,54.59340117114651,67.83859592747402,19.987659087384017,17.537279613618217,395.4497514177374,302.5324807806167,426.3119957610138,349.698550530028,3.701096165208978,3.701096165208978,0.0,7.888221740722656,-6.0925397872924805,-13.803474426269531,3.302976131439209,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17916135489940643,-5.0,True,velocity,False,True,full,True,462.9784452047025,2.3148922260235123,7.910139780443567,5.477333739057899,2.6934832685133023,27.0,138.86807439849252,519.396687996123,5.477333739057899,,,53.86966537026605,2.7860725931550174,0.39267496615473646,200,120.46275171795719,76.52158266914664,112.73405930395309,28.609448313096742,591.7228941753665,386.5938892095886,138.81870021913664,162.7714084194614,3.557151465681024,3.557151465681024,0.0,8.31003189086914,-8.541048049926758,-12.490676879882812,2.265425443649292,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16996508836746216,-5.0,True,velocity,False,True,full,True,868.7790652538115,4.343895326269058,8.393276405695802,3.2218310877353464,5.21404623607083,23.0,645.82004696744,1053.0331569886237,3.2218310877353464,,,104.28092472141661,3.0344245719993164,0.4582189543603454,200,154.6767382785758,66.2066127350269,145.38715502213788,9.653914440097893,467.8439695591618,502.54004462641814,643.6702772353675,145.3113265013266,3.76426331197975,3.76426331197975,0.0,11.193641662597656,-12.16554069519043,-11.182998657226562,1.3112821578979492,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1613001823425293,-5.0,True,velocity,False,True,full,True,962.326682052585,4.8116334102629255,9.00058870313528,3.7491446728606523,5.2540657588499196,21.0,628.3997347889022,1258.441289804165,3.7491446728606523,,,105.0813151769984,2.7876799319531114,0.4741996866185218,200,121.54551563897152,75.00026422293867,107.75326066206036,45.557407119820375,349.3387615408759,163.24369925645294,623.3046281011661,636.8222767328253,3.929796917187547,3.929796917187547,0.0,7.839166641235352,-16.38930892944336,-11.454020500183105,1.2788439989089966,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.15313883125782013,-5.0,True,velocity,False,True,full,True,1661.379344861517,8.306896724307585,9.977872115187617,1.313465796916303,8.664406318271318,8.0,612.6194105328009,935.0169475347356,1.313465796916303,,,173.2881263654264,3.2068649477204794,0.4729962518601678,200,95.68445023475859,191.81482639652734,72.97758590146968,187.80353003214617,120.86722728233718,180.99523355934247,614.4473684861732,99.31257432249167,4.403257857295924,4.403257857295924,0.0,15.705272674560547,-21.213563919067383,-10.77227783203125,0.7416799664497375,2000
