episode,violation
1,5.9020843767854106e-15
2,5.1934845313184044e-15
3,7.182934802507646e-15
4,9.952802471069332e-15
5,9.099943021340096e-15
6,1.300765051226449e-14
7,1.2155623729803721e-14
8,7.25218496366864e-15
9,6.96942503708442e-15
10,6.898301374569371e-15
11,6.116288031599027e-15
12,4.5534409576220016e-15
13,4.2668646393906326e-15
14,3.840955331568807e-15
15,5.8310301032094005e-15
16,5.545633396941696e-15
17,5.190708973756841e-15
18,4.4104303542624735e-15
19,5.47499545699992e-15
20,5.546466064210165e-15
21,5.333233854543096e-15
22,5.476036291085506e-15
23,6.114622697062089e-15
24,6.113581862976502e-15
25,5.687672555154677e-15
26,6.3276467399120404e-15
27,4.9767828746993815e-15
28,5.6884358334841065e-15
29,5.120348589571222e-15
30,6.400158181207871e-15
31,4.907532713538387e-15
32,4.62310745241723e-15
33,5.3328869098479e-15
34,4.62463400907609e-15
35,4.269640196952196e-15
36,5.1925130861718575e-15
37,5.333511410299252e-15
38,5.404843239631418e-15
39,5.690309334838161e-15
40,5.54757628723479e-15
41,4.837311107230846e-15
42,3.914576995889263e-15
43,3.629527234316754e-15
44,4.197128755656365e-15
45,4.764799665935015e-15
46,4.054395708052993e-15
47,3.6289721228044414e-15
48,4.767089500923305e-15
49,4.4093895201768876e-15
50,4.551498067328908e-15
51,4.124825481177652e-15
52,3.4849900742983664e-15
53,5.260999969003422e-15
54,5.119515922302753e-15
55,5.5454252301245784e-15
56,3.485614574749718e-15
57,4.409736464872083e-15
58,3.983063878720827e-15
59,4.837380496169885e-15
60,4.269293252257e-15
61,3.984590435379687e-15
62,4.197614478229639e-15
63,5.1216669794129644e-15
64,5.9040272670785044e-15
65,5.476591402597819e-15
66,5.9029864329929185e-15
67,4.198447145498107e-15
68,4.056963098797439e-15
69,4.055297764260501e-15
70,4.480513182691937e-15
71,4.553024623987767e-15
72,3.985770047343351e-15
73,4.19900225701042e-15
74,4.3388209691741506e-15
75,3.983410823416023e-15
76,4.12649081571459e-15
77,4.622274785148761e-15
78,4.480374404813859e-15
79,4.337780135088565e-15
80,3.5566688483257284e-15
81,4.197336922473482e-15
82,5.262110192028047e-15
83,3.841787998837276e-15
84,4.408556852908419e-15
85,4.126698982531707e-15
86,3.5572239598380405e-15
87,5.1204873674493005e-15
88,5.474579123365686e-15
89,7.321990236341947e-15
90,6.540948338518149e-15
91,6.327993684607236e-15
92,5.901668043151176e-15
93,2.706168622523819e-15
94,2.989483660620351e-15
95,3.2018138140799124e-15
96,3.272382365082649e-15
97,2.7043645101088033e-15
98,2.8473751134683313e-15
99,4.2675585287810235e-15
100,4.126213259958433e-15
101,3.984729213257765e-15
102,4.764869054874055e-15
103,4.054326319113954e-15
104,5.189945695427412e-15
105,4.2667952504515936e-15
106,4.622760507722035e-15
107,5.9020149878463716e-15
108,5.262873470357477e-15
109,4.1965736441440524e-15
110,5.474926068060881e-15
111,6.04495620226686e-15
112,4.764869054874055e-15
113,4.4812764610213666e-15
114,4.4813458499604056e-15
115,4.409736464872083e-15
116,7.180783745397434e-15
117,4.3381964687227995e-15
118,4.6223441740878e-15
119,3.986810881428937e-15
120,4.694994393261709e-15
121,3.4865860198962652e-15
122,4.765146610630211e-15
123,3.6283476223530896e-15
124,4.196434866265974e-15
125,4.479958071179624e-15
126,3.912703494535208e-15
127,4.4110548547138254e-15
128,4.409667075933044e-15
129,5.1205567563883395e-15
130,3.98361899023314e-15
131,4.268946307561805e-15
132,3.4858921305058744e-15
133,4.69339844766381e-15
134,4.835715161632947e-15
135,3.77121944783454e-15
136,4.4111936325919034e-15
137,4.907185768843192e-15
138,4.55128990051179e-15
139,3.1321473192846837e-15
140,3.699263118051022e-15
141,2.9882346597176477e-15
142,4.978795153931514e-15
143,4.908642936563012e-15
144,3.6277925108407775e-15
145,4.125519370568042e-15
146,4.12496425905573e-15
147,3.76969289117568e-15
148,4.3390291359912684e-15
149,3.910968771059231e-15
150,4.480443793752898e-15
