episode,violation
1,4.764938443813094e-15
2,4.764938443813094e-15
3,4.764938443813094e-15
4,4.764938443813094e-15
5,5.616895837334823e-15
6,5.616895837334823e-15
7,5.333164465604057e-15
8,5.333164465604057e-15
9,9.095502129241595e-15
10,9.095502129241595e-15
11,7.321365735890594e-15
12,7.321365735890594e-15
13,6.325009960228556e-15
14,6.325009960228556e-15
15,3.1266655931005973e-15
16,3.1266655931005973e-15
17,5.4006105143500345e-15
18,5.4006105143500345e-15
19,4.619152282892003e-15
20,4.619152282892003e-15
21,5.3292786850178684e-15
22,5.3292786850178684e-15
23,7.180089856007044e-15
24,7.180089856007044e-15
25,7.0352751402325e-15
26,7.0352751402325e-15
27,7.034720028720187e-15
28,7.034720028720187e-15
29,7.034858806598266e-15
30,7.034858806598266e-15
31,7.816317038056298e-15
32,7.816317038056298e-15
33,7.247882849448217e-15
34,7.247882849448217e-15
35,6.821626596931196e-15
36,6.821626596931196e-15
37,6.467257285258654e-15
38,6.467257285258654e-15
39,6.324316070838165e-15
40,6.324316070838165e-15
41,6.252845463627921e-15
42,6.252845463627921e-15
43,5.755604326473929e-15
44,5.755604326473929e-15
45,6.259229246019515e-15
46,6.259229246019515e-15
47,6.1817218011128716e-15
48,6.1817218011128716e-15
49,6.536993168992922e-15
50,6.536993168992922e-15
51,6.1108063054149395e-15
52,6.1108063054149395e-15
53,6.1817218011128716e-15
54,6.1817218011128716e-15
55,6.1817218011128716e-15
56,6.1817218011128716e-15
57,6.1817218011128716e-15
58,6.1817218011128716e-15
59,6.32396912614297e-15
60,6.32396912614297e-15
61,6.252984241505999e-15
62,6.252984241505999e-15
63,6.1289862074431765e-15
64,6.1289862074431765e-15
65,6.252984241505999e-15
66,6.252984241505999e-15
67,6.466008284355951e-15
68,6.466008284355951e-15
69,6.324316070838165e-15
70,6.324316070838165e-15
71,6.536993168992922e-15
72,6.536993168992922e-15
73,6.324454848716244e-15
74,6.324454848716244e-15
75,6.323830348264892e-15
76,6.323830348264892e-15
77,6.394884621840902e-15
78,6.394884621840902e-15
79,6.324177292960087e-15
80,6.324177292960087e-15
81,6.323830348264892e-15
82,6.323830348264892e-15
83,6.466147062234029e-15
84,6.466147062234029e-15
85,6.394884621840902e-15
86,6.394884621840902e-15
87,6.252845463627921e-15
88,6.252845463627921e-15
89,6.1109450832930175e-15
90,6.1109450832930175e-15
91,6.2534005751402335e-15
92,6.2534005751402335e-15
93,6.0398214207779684e-15
94,6.0398214207779684e-15
95,6.252776074688882e-15
96,6.252776074688882e-15
97,6.1817218011128716e-15
98,6.1817218011128716e-15
99,6.1817218011128716e-15
100,6.1817218011128716e-15
101,6.1109450832930175e-15
102,6.1109450832930175e-15
103,6.1817911900519106e-15
104,6.1817911900519106e-15
105,5.968558980384841e-15
106,5.968558980384841e-15
107,6.181929967929989e-15
108,6.181929967929989e-15
109,6.1817911900519106e-15
110,6.1817911900519106e-15
111,6.0396132539608514e-15
112,6.0396132539608514e-15
113,6.0397520318389294e-15
114,6.0397520318389294e-15
115,6.0398214207779684e-15
116,6.0398214207779684e-15
117,6.1106675275368615e-15
118,6.1106675275368615e-15
119,6.252776074688882e-15
120,6.252776074688882e-15
121,6.252776074688882e-15
122,6.252776074688882e-15
123,6.1106675275368615e-15
124,6.1106675275368615e-15
125,6.252776074688882e-15
126,6.252776074688882e-15
127,6.395092788658019e-15
128,6.395092788658019e-15
129,5.756020660108163e-15
130,5.756020660108163e-15
131,5.968558980384841e-15
132,5.968558980384841e-15
133,6.750364156538069e-15
134,6.750364156538069e-15
135,6.465938895416912e-15
136,6.465938895416912e-15
137,6.608047442568932e-15
138,6.608047442568932e-15
139,7.460698725481052e-15
140,7.460698725481052e-15
141,7.105427357601002e-15
142,7.105427357601002e-15
143,6.537131946871e-15
144,6.537131946871e-15
145,6.608047442568932e-15
146,6.608047442568932e-15
147,6.892264536872972e-15
148,6.892264536872972e-15
149,7.034442472964031e-15
150,7.034442472964031e-15
151,7.318590178329032e-15
152,7.318590178329032e-15
153,6.8212102632969615e-15
154,6.8212102632969615e-15
155,7.176481631177012e-15
156,7.176481631177012e-15
157,6.8212102632969615e-15
158,6.8212102632969615e-15
159,6.395162177597058e-15
160,6.395162177597058e-15
161,6.892264536872972e-15
162,6.892264536872972e-15
163,6.8212102632969615e-15
164,6.8212102632969615e-15
165,6.396480567438801e-15
166,6.396480567438801e-15
167,6.892333925812011e-15
168,6.892333925812011e-15
169,6.7501559897209515e-15
170,6.7501559897209515e-15
171,6.8212102632969615e-15
172,6.8212102632969615e-15
173,6.394884621840902e-15
174,6.394884621840902e-15
175,6.679171105083981e-15
176,6.679171105083981e-15
177,6.7501559897209515e-15
178,6.7501559897209515e-15
179,6.608047442568932e-15
180,6.608047442568932e-15
181,6.8212796522360005e-15
182,6.8212796522360005e-15
183,6.7501559897209515e-15
184,6.7501559897209515e-15
185,6.394884621840902e-15
186,6.394884621840902e-15
187,7.105427357601002e-15
188,7.105427357601002e-15
189,6.8212102632969615e-15
190,6.8212102632969615e-15
191,7.318590178329032e-15
192,7.318590178329032e-15
193,6.323830348264892e-15
194,6.323830348264892e-15
195,6.394884621840902e-15
196,6.394884621840902e-15
197,6.821418430114079e-15
198,6.821418430114079e-15
199,6.8212102632969615e-15
200,6.8212102632969615e-15
201,3.268496584496461e-15
202,3.268496584496461e-15
203,2.771255447342469e-15
204,2.771255447342469e-15
205,3.7718439482858915e-15
206,3.7718439482858915e-15
207,3.76594588846757e-15
208,3.76594588846757e-15
209,3.2685659734355e-15
210,3.2685659734355e-15
211,3.126596204161558e-15
212,3.126596204161558e-15
213,2.9132252166164106e-15
214,2.9132252166164106e-15
215,3.83700016204358e-15
216,3.83700016204358e-15
217,3.552713678800501e-15
218,3.552713678800501e-15
219,3.0554031527074698e-15
220,3.0554031527074698e-15
221,2.5580232376753996e-15
222,2.5580232376753996e-15
223,3.62383734131555e-15
224,3.62383734131555e-15
225,3.552921845617618e-15
226,3.552921845617618e-15
227,3.765876499528531e-15
228,3.765876499528531e-15
229,3.126388037344441e-15
230,3.126388037344441e-15
231,3.126388037344441e-15
232,3.126388037344441e-15
233,2.842170943040401e-15
234,2.842170943040401e-15
235,3.33962024701151e-15
236,3.33962024701151e-15
237,3.3395508580724707e-15
238,3.3395508580724707e-15
239,3.3395508580724707e-15
240,3.3395508580724707e-15
241,3.410813298465598e-15
242,3.410813298465598e-15
