episode,violation
1,5.9751509295935535e-15
2,5.760947274779937e-15
3,6.0461358142305246e-15
4,6.115802309025753e-15
5,6.543932062896829e-15
6,8.106848525812893e-15
7,7.679412661332208e-15
8,6.969286259206342e-15
9,6.39946429181748e-15
10,6.471420621600998e-15
11,6.186995360479841e-15
12,2.847028168773136e-15
13,3.2740476996195865e-15
14,9.952594304252215e-15
15,1.1231432450742317e-14
16,1.5992068780334988e-14
17,1.350503042729656e-14
18,1.3078566007962422e-14
19,1.2936179905054246e-14
20,1.0378503612074042e-14
21,9.311787452226383e-15
22,8.602701884186103e-15
23,9.383327448375667e-15
24,6.327993684607236e-15
25,7.963144033062974e-15
26,9.455214389220146e-15
27,8.458858613558106e-15
28,9.169470738257246e-15
29,1.0449072163076777e-14
30,1.1159059787324566e-14
31,1.0164161179382347e-14
32,9.667405764801629e-15
33,9.881470641737166e-15
34,1.059027865402129e-14
35,9.597114769555048e-15
36,1.1089046347834141e-14
37,9.811110257551548e-15
38,1.10188247415266e-14
39,1.109147496070051e-14
40,9.527170719003664e-15
41,1.0237644065824725e-14
42,9.59780865894544e-15
43,9.454936833463989e-15
44,1.0166659181187754e-14
45,8.957765085249037e-15
46,1.0805870087615687e-14
47,8.886641422733988e-15
48,8.816558594304524e-15
49,1.0521652993311647e-14
50,9.811595980124821e-15
51,1.0025313912365163e-14
52,1.045184772063834e-14
53,8.817113705816837e-15
54,1.158739770801276e-14
55,8.388914563006722e-15
56,9.740472317609772e-15
57,8.958667141456544e-15
58,1.0166242847553519e-14
59,9.243369958333857e-15
60,9.812983758905603e-15
61,9.881123697041971e-15
62,1.0237574676885686e-14
63,1.0235076675080279e-14
64,9.95155347016663e-15
65,1.2012682515383233e-14
66,9.596420880164658e-15
67,9.881748197493322e-15
68,9.384229504583175e-15
69,1.1159198565202644e-14
70,1.0875814138167072e-14
71,1.0095188573977509e-14
72,1.0732595367990427e-14
73,1.1870851523987369e-14
74,1.1373610386833376e-14
75,1.2296760831809195e-14
76,1.30069566228741e-14
77,1.2863946019514572e-14
78,1.3859885461542377e-14
79,1.3362713713327423e-14
80,1.2155346174047565e-14
81,1.3220327610419247e-14
82,1.421557316305666e-14
83,1.3789039354783484e-14
84,1.4499720868421662e-14
85,1.1798756416325774e-14
86,1.2367953883263284e-14
87,5.9043048228346605e-15
88,5.475897513207428e-15
89,5.830544380636127e-15
90,6.186509637906568e-15
91,6.115594142208636e-15
92,5.617797893542331e-15
93,6.185954526394255e-15
94,6.4717675662961934e-15
95,5.830474991697088e-15
96,5.119515922302753e-15
97,5.405051406448536e-15
98,5.405398351143731e-15
99,5.973416206117577e-15
100,5.9739713176298896e-15
101,5.403663627667754e-15
102,5.83033621381901e-15
103,5.617797893542331e-15
104,5.973416206117577e-15
105,5.617936671420409e-15
106,6.256314910579874e-15
107,5.1206261453273785e-15
108,5.120001644876027e-15
109,5.334552244384838e-15
110,5.191125307391076e-15
111,5.404843239631418e-15
112,5.546466064210165e-15
113,5.972167205214873e-15
114,1.4285447824669006e-14
115,1.5493925586973488e-14
116,6.330214130656486e-15
117,4.90656126839184e-15
118,5.119862866997949e-15
119,4.835992717389104e-15
120,4.837241718291807e-15
121,4.480651960570015e-15
122,5.6173121709690574e-15
123,6.044331701815509e-15
124,4.4102915763843955e-15
125,4.907671491416465e-15
126,5.6894072786306534e-15
127,4.551359289450829e-15
128,4.480305015874819e-15
129,3.982786322964671e-15
130,6.043845979242235e-15
131,5.972930483544303e-15
132,5.8314464368436346e-15
133,6.257286355726421e-15
134,5.262179580967086e-15
135,5.33365018817733e-15
136,5.474509734426647e-15
137,5.0494330938732904e-15
138,5.050404539019837e-15
139,4.978795153931514e-15
140,5.690101168021044e-15
141,5.8324872709292205e-15
142,4.693953559176123e-15
143,5.547437509356712e-15
144,5.405537129021809e-15
145,4.553024623987767e-15
146,4.695549504774022e-15
147,4.908434769745895e-15
148,4.980668655285569e-15
149,4.269432030135078e-15
150,4.766811945167149e-15
151,4.979280876504788e-15
152,5.050751483715032e-15
153,5.1211118679006516e-15
154,4.9774767640897724e-15
155,5.545980341636891e-15
156,5.1941090317697555e-15
157,4.979766599078061e-15
158,5.1927906419280135e-15
159,5.050265761141759e-15
160,6.043082700912805e-15
161,5.1219445351691205e-15
162,5.6186305608108e-15
163,5.050473927958876e-15
164,5.334135910750604e-15
165,4.836339662084299e-15
166,5.617728504603292e-15
167,4.696243394164412e-15
168,5.1925824751108965e-15
169,5.834291383344236e-15
170,4.623385008173386e-15
171,4.6956882826521e-15
172,4.90954499277052e-15
173,4.838629497072589e-15
174,4.766395611532914e-15
175,4.98059926634653e-15
176,4.979974765895179e-15
177,5.550213066918275e-15
178,4.980391099529413e-15
179,5.547784454051907e-15
180,5.691003224228552e-15
181,5.334691022262916e-15
182,5.122569035620472e-15
183,5.76219627568264e-15
184,5.9034027666271526e-15
185,4.552885846109689e-15
186,5.405398351143731e-15
187,5.193345753440326e-15
188,5.475481179573194e-15
189,5.618769338688878e-15
190,5.050404539019837e-15
191,4.481900961472718e-15
192,5.477840403500523e-15
193,5.619116283384073e-15
194,4.481137683143288e-15
195,5.476799569414936e-15
196,5.974318262325085e-15
197,4.268807529683727e-15
198,5.477562847744366e-15
199,5.2655102500409614e-15
200,4.696659727798647e-15
201,5.122777202437589e-15
202,5.052486207191009e-15
203,5.335315522714268e-15
204,5.0496412606904074e-15
205,5.33594002316562e-15
206,4.483011184497343e-15
207,5.26335919293075e-15
208,4.980738044224608e-15
209,5.335107355897151e-15
210,5.1219445351691205e-15
211,4.55281645717065e-15
212,5.122360868803355e-15
213,4.552400123536416e-15
214,4.4107079100186296e-15
215,4.4813458499604056e-15
216,4.907949047172621e-15
217,4.4814152388994446e-15
218,5.477077125171093e-15
219,5.336078801043698e-15
220,4.980460488468452e-15
221,5.620920395799089e-15
222,4.481207072082327e-15
223,5.9043742117736995e-15
224,5.1932763645012866e-15
225,5.689893001203927e-15
226,5.548617121320376e-15
227,5.406161629473161e-15
228,5.620295895347738e-15
229,4.41292835606788e-15
230,4.4111936325919034e-15
231,5.762057497804562e-15
232,5.406577963107395e-15
233,5.7599758296333904e-15
234,5.477215903049171e-15
235,5.334274688628682e-15
236,4.90732454672127e-15
237,5.475897513207428e-15
238,5.547021175722477e-15
239,5.548062009808063e-15
240,5.405120795387575e-15
241,5.333372632421174e-15
242,5.192235530415701e-15
243,5.406924907802591e-15
244,5.548686510259415e-15
245,6.044817424388782e-15
246,5.76295955401207e-15
247,5.0509596505321494e-15
248,5.9036109334442696e-15
249,4.695410726895943e-15
250,5.2637061376259456e-15
251,4.836964162535651e-15
252,6.188105583504466e-15
253,6.115732920086714e-15
254,5.9748733738373975e-15
255,5.050612705836954e-15
256,6.045511313779173e-15
257,5.7594207181210776e-15
258,5.123124147132785e-15
259,4.766811945167149e-15
260,5.1204873674493005e-15
261,4.4832193513144604e-15
262,6.400852070598262e-15
263,5.050612705836954e-15
264,5.1208343121444955e-15
265,5.050404539019837e-15
266,5.1211118679006516e-15
267,5.689893001203927e-15
268,6.188521917138701e-15
269,5.475828124268389e-15
270,5.8316546036607516e-15
271,5.8333199381976894e-15
272,5.972652927788147e-15
273,5.974803984898358e-15
274,5.974248873386046e-15
275,5.971403926885444e-15
276,5.973624372934694e-15
277,5.97390192869085e-15
278,5.973485595056616e-15
279,5.9754284853497096e-15
280,5.9756366521668266e-15
281,5.973832539751811e-15
282,5.974526429142202e-15
283,5.9752897074716315e-15
284,5.9748733738373975e-15
285,5.974318262325085e-15
286,5.973624372934694e-15
287,5.972097816275834e-15
288,5.973277428239499e-15
289,5.973069261422381e-15
290,6.04495620226686e-15
291,6.115455364330558e-15
292,6.258257800872968e-15
293,5.6879501109108334e-15
294,5.47652201365878e-15
295,5.6883664445450675e-15
296,5.972028427336795e-15
297,5.476244457902624e-15
298,6.043776590303196e-15
299,6.043568423486079e-15
300,5.260999969003422e-15
301,5.0499188164465635e-15
302,4.83627027314526e-15
303,5.5453558411855394e-15
304,5.190986529512998e-15
305,5.404010572362949e-15
306,5.475550568512233e-15
307,5.406716740985474e-15
308,5.264400027016336e-15
309,5.335107355897151e-15
310,5.547021175722477e-15
311,4.694994393261709e-15
312,5.689823612264888e-15
313,5.1218057572910425e-15
314,5.761779942048406e-15
315,5.1213200347177686e-15
316,5.405814684777965e-15
317,5.2638449155040236e-15
318,5.335037966958112e-15
319,5.8313770479045956e-15
320,5.7601146075114685e-15
321,5.832903604563455e-15
322,5.973624372934694e-15
323,6.116912532050378e-15
324,6.1901872516756386e-15
325,6.0461358142305246e-15
326,5.761918719926484e-15
327,6.044539868632626e-15
328,5.9739713176298896e-15
329,5.97390192869085e-15
330,5.9741100955079676e-15
331,5.9750815406545145e-15
332,5.972097816275834e-15
333,5.972999872483342e-15
334,5.97320803930046e-15
335,5.972722316727186e-15
336,5.972167205214873e-15
337,5.97390192869085e-15
338,5.974734595959319e-15
339,5.972375372031991e-15
340,5.971889649458717e-15
341,5.973485595056616e-15
