episode,violation
1,5.4722198994383575e-15
2,5.4722198994383575e-15
3,5.4722198994383575e-15
4,5.4722198994383575e-15
5,6.257910856177773e-15
6,6.257910856177773e-15
7,5.9756366521668266e-15
8,5.9756366521668266e-15
9,6.412440023417787e-15
10,6.412440023417787e-15
11,6.3987010134880505e-15
12,6.3987010134880505e-15
13,6.055364543122721e-15
14,6.055364543122721e-15
15,5.62015711746966e-15
16,5.62015711746966e-15
17,5.762126886743601e-15
18,5.762126886743601e-15
19,6.259576190714711e-15
20,6.259576190714711e-15
21,6.401407182110574e-15
22,6.401407182110574e-15
23,6.117259476745574e-15
24,6.117259476745574e-15
25,5.9040272670785044e-15
26,5.9040272670785044e-15
27,6.330422297473603e-15
28,6.330422297473603e-15
29,6.259368023897594e-15
30,6.259368023897594e-15
31,6.54386267395779e-15
32,6.54386267395779e-15
33,5.833181160319611e-15
34,5.833181160319611e-15
35,5.620018339591581e-15
36,5.620018339591581e-15
37,5.54910284389365e-15
38,5.54910284389365e-15
39,4.696382172042491e-15
40,4.696382172042491e-15
41,3.2754354784003682e-15
42,3.2754354784003682e-15
43,3.1274288714300268e-15
44,3.1274288714300268e-15
45,3.203201592860694e-15
46,3.203201592860694e-15
47,3.3402447474628616e-15
48,3.3402447474628616e-15
49,2.7717411699157423e-15
50,2.7717411699157423e-15
51,3.558819905435939e-15
52,3.558819905435939e-15
53,3.0563052089149777e-15
54,3.0563052089149777e-15
55,3.553407568190892e-15
56,3.553407568190892e-15
57,3.127567649308105e-15
58,3.127567649308105e-15
59,4.7620241083734525e-15
60,4.7620241083734525e-15
61,3.908956491827098e-15
62,3.908956491827098e-15
63,4.192826641435943e-15
64,4.192826641435943e-15
65,4.0507874832229616e-15
66,4.0507874832229616e-15
67,3.625433286913449e-15
68,3.625433286913449e-15
69,3.430172812457499e-15
70,3.430172812457499e-15
71,6.3437449737691055e-15
72,6.3437449737691055e-15
73,6.2718580329246265e-15
74,6.2718580329246265e-15
75,9.036382753180305e-15
76,9.036382753180305e-15
77,9.604747552849347e-15
78,9.604747552849347e-15
79,1.0807674200030703e-14
80,1.0807674200030703e-14
81,8.676254159567521e-15
82,8.676254159567521e-15
83,9.457989946781708e-15
84,9.457989946781708e-15
85,9.95599436226513e-15
86,9.95599436226513e-15
87,1.0950615414451193e-14
88,1.0950615414451193e-14
89,9.529876887626188e-15
90,9.529876887626188e-15
91,1.0950892970207349e-14
92,1.0950892970207349e-14
