episode,violation
1,1.0091719127025555e-14
2,1.0091719127025555e-14
3,1.0091719127025555e-14
4,1.0091719127025555e-14
5,1.074813849033518e-14
6,1.074813849033518e-14
7,1.053428178021676e-14
8,1.053428178021676e-14
9,1.2595272047555284e-14
10,1.2595272047555284e-14
11,1.2949571970288787e-14
12,1.2949571970288787e-14
13,9.254541577519149e-15
14,9.254541577519149e-15
15,9.893960650764199e-15
16,9.893960650764199e-15
17,7.904579768513998e-15
18,7.904579768513998e-15
19,8.330836021031018e-15
20,8.330836021031018e-15
21,9.112710586123285e-15
22,9.112710586123285e-15
23,9.183487303943139e-15
24,9.183487303943139e-15
25,9.822559432492994e-15
26,9.822559432492994e-15
27,1.1385614673287136e-14
28,1.1385614673287136e-14
29,1.3507667206980046e-14
30,1.3507667206980046e-14
31,1.4786852298165344e-14
32,1.4786852298165344e-14
33,1.3720760638769035e-14
34,1.3720760638769035e-14
35,1.3364864770437634e-14
36,1.3364864770437634e-14
37,1.4075268728319657e-14
38,1.4075268728319657e-14
39,1.1588646708915461e-14
40,1.1588646708915461e-14
41,1.0807257866396469e-14
42,1.0807257866396469e-14
43,1.0096715130636368e-14
44,1.0096715130636368e-14
45,1.3080578287194555e-14
46,1.3080578287194555e-14
47,1.0664732985610215e-14
48,1.0664732985610215e-14
49,9.599404604543338e-15
50,9.599404604543338e-15
51,1.0807049699579352e-14
52,1.0807049699579352e-14
53,1.0877895806338245e-14
54,1.0877895806338245e-14
55,1.0877965195277284e-14
56,1.0877965195277284e-14
57,1.0593748100973244e-14
58,1.0593748100973244e-14
59,1.087831213997248e-14
60,1.087831213997248e-14
61,1.1517731213217531e-14
62,1.1517731213217531e-14
63,1.2654322034677535e-14
64,1.2654322034677535e-14
65,1.2014833572493444e-14
66,1.2014833572493444e-14
67,1.222827394897763e-14
68,1.222827394897763e-14
69,1.3151840727587683e-14
70,1.3151840727587683e-14
71,1.087824275103344e-14
72,1.087824275103344e-14
73,1.1660047927186668e-14
74,1.1660047927186668e-14
75,1.1162321067459403e-14
76,1.1162321067459403e-14
77,1.2015041739310561e-14
78,1.2015041739310561e-14
79,1.1446676939641521e-14
80,1.1446676939641521e-14
81,1.3151840727587683e-14
82,1.3151840727587683e-14
83,1.0593886878851322e-14
84,1.0593886878851322e-14
85,1.2512629821159749e-14
86,1.2512629821159749e-14
87,1.1375622666065511e-14
88,1.1375622666065511e-14
89,1.2299189444675562e-14
90,1.2299189444675562e-14
91,1.2015388684005756e-14
92,1.2015388684005756e-14
93,1.173089403394556e-14
94,1.173089403394556e-14
95,1.187300258109758e-14
96,1.187300258109758e-14
97,1.3222964390102732e-14
98,1.3222964390102732e-14
99,1.2299536389370757e-14
100,1.2299536389370757e-14
