episode,violation
1,5.264400027016336e-15
2,3.3457958625859874e-15
3,4.197961422924834e-15
4,3.771288836773579e-15
5,3.982925100842749e-15
6,4.127323482983058e-15
7,4.4117487441042155e-15
8,3.7721908929810865e-15
9,4.4827336287411866e-15
10,3.984451657501609e-15
11,4.765840500020602e-15
12,3.7719133372249305e-15
13,4.126352037836511e-15
14,4.90954499277052e-15
15,5.262873470357477e-15
16,3.7717745593468525e-15
17,5.1221527019862375e-15
18,4.341596526735714e-15
19,4.697076061432881e-15
20,4.484052018582929e-15
21,4.055852875772814e-15
22,4.198447145498107e-15
23,4.055089597443384e-15
24,4.907532713538387e-15
25,4.554065458073353e-15
26,5.0498494275075245e-15
27,4.057171265614557e-15
28,5.406786129924513e-15
29,4.056407987285127e-15
30,4.125866315263238e-15
31,4.412789578189802e-15
32,5.0500575943246415e-15
33,3.4890146327626325e-15
34,5.406439185229317e-15
35,5.33517674483619e-15
36,3.6280006776578945e-15
37,5.9029864329929185e-15
38,4.268738140744688e-15
39,4.552191956719298e-15
40,4.766326222593875e-15
41,4.835368216937752e-15
42,5.336286967860815e-15
43,4.695271949017865e-15
44,4.765077221691172e-15
45,5.547506898295751e-15
46,4.624495231198012e-15
47,5.2645388048944145e-15
48,4.268321807110453e-15
49,4.553024623987767e-15
50,4.907810269294543e-15
51,4.623801341807621e-15
52,5.1213894236568084e-15
53,5.051445373105423e-15
54,5.2648163606505705e-15
55,5.477979181378601e-15
56,6.259437412836633e-15
57,5.405120795387575e-15
58,6.4716981773571544e-15
59,5.974734595959319e-15
60,5.9750815406545145e-15
61,4.9781706534801625e-15
62,4.910377660038989e-15
63,5.618838727627917e-15
64,6.258535356629125e-15
65,6.471004287966764e-15
66,7.394918011272012e-15
67,6.114900252818245e-15
68,5.8317933815388304e-15
69,7.607664498365808e-15
70,6.756678549990625e-15
71,6.969771981779616e-15
72,8.461564782180631e-15
73,7.680106550722598e-15
74,7.324071904513119e-15
75,7.609329832902744e-15
76,7.749356711883592e-15
77,7.60974616653698e-15
78,7.468053953019194e-15
79,7.96418486714856e-15
80,8.389608452397112e-15
81,8.53123127697586e-15
82,7.395889456418558e-15
83,7.965642034868381e-15
84,8.958736530395583e-15
85,7.323794348756963e-15
86,7.750466934908218e-15
87,7.111533584236441e-15
88,6.6865957215611615e-15
89,7.253156408815186e-15
90,6.258396578751046e-15
91,5.0509596505321494e-15
92,6.399880625451715e-15
93,5.6186305608108e-15
94,5.761086052658015e-15
95,6.755151993331765e-15
96,5.476799569414936e-15
97,6.684791609146146e-15
98,6.258188411933929e-15
99,6.117120698867496e-15
100,5.8314464368436346e-15
