episode,violation
1,1.0875814138167072e-14
2,1.0875814138167072e-14
3,1.0875814138167072e-14
4,1.0875814138167072e-14
5,1.0522138715884922e-14
6,1.0522138715884922e-14
7,1.01647856798337e-14
8,1.01647856798337e-14
9,1.3717221802878043e-14
10,1.3717221802878043e-14
11,1.3578027591165664e-14
12,1.3578027591165664e-14
13,1.3435849655074605e-14
14,1.3435849655074605e-14
15,1.3222201111773302e-14
16,1.3222201111773302e-14
17,1.3433143486452082e-14
18,1.3433143486452082e-14
19,1.3434114931598628e-14
20,1.3434114931598628e-14
21,1.336666888285265e-14
22,1.336666888285265e-14
23,1.343633537764788e-14
24,1.343633537764788e-14
25,1.3505932483504069e-14
26,1.3505932483504069e-14
27,1.3291243106117179e-14
28,1.3291243106117179e-14
29,1.3079606842048008e-14
30,1.3079606842048008e-14
31,1.3219772498906935e-14
32,1.3219772498906935e-14
33,1.3434531265232862e-14
34,1.3434531265232862e-14
35,1.3576709201323921e-14
36,1.3576709201323921e-14
37,1.3290687994604867e-14
38,1.3290687994604867e-14
39,1.364644508505819e-14
40,1.364644508505819e-14
41,1.3578860258434134e-14
42,1.3578860258434134e-14
43,1.3150452948806902e-14
44,1.3150452948806902e-14
45,1.2581949371259782e-14
46,1.2581949371259782e-14
47,1.3152534616978073e-14
48,1.3152534616978073e-14
49,1.343182509661034e-14
50,1.343182509661034e-14
51,1.3940099075071544e-14
52,1.3940099075071544e-14
53,1.3573794865884281e-14
54,1.3573794865884281e-14
55,1.357539081148218e-14
56,1.357539081148218e-14
57,1.3574003032701398e-14
58,1.3574003032701398e-14
59,2.706307400401897e-15
60,2.706307400401897e-15
61,2.34631758466719e-15
62,2.34631758466719e-15
63,2.5594804053952204e-15
64,2.5594804053952204e-15
65,2.559896739029455e-15
66,2.559896739029455e-15
67,2.559064071760986e-15
68,2.559064071760986e-15
69,2.5586477381267515e-15
70,2.5586477381267515e-15
71,2.5650315205183462e-15
72,2.5650315205183462e-15
73,2.5588559049438685e-15
74,2.5588559049438685e-15
75,2.5596885722123374e-15
76,2.5596885722123374e-15
77,2.558439571309634e-15
78,2.558439571309634e-15
79,2.558231404492517e-15
80,2.558231404492517e-15
81,2.562047796139666e-15
82,2.562047796139666e-15
83,2.566141743542971e-15
84,2.566141743542971e-15
85,2.5585089602486734e-15
86,2.5585089602486734e-15
87,2.558994682821947e-15
88,2.558994682821947e-15
89,2.5752316945570896e-15
90,2.5752316945570896e-15
91,2.5721785812393705e-15
92,2.5721785812393705e-15
93,2.559064071760986e-15
94,2.559064071760986e-15
95,2.5587865160048295e-15
96,2.5587865160048295e-15
97,2.5758561950084415e-15
98,2.5758561950084415e-15
99,2.5644070200669943e-15
100,2.5644070200669943e-15
