iteration,raw_objective,display_objective,average_secrecy_rate,absolute_improvement,relative_improvement,relay_update_norm,jammer_update_norm,power_update_norm,alpha_update_norm,power_accepted_step_size,relay_accepted_step_size,jammer_accepted_step_size,alpha_accepted_step_size
0,8.279955550814512,0.0,8.279955550814512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.737351641121215,14.737351641121215,14.737351641121215,6.457396090306704,0.7798829414816701,0.0060832125603339825,66.15545691119179,0.6985578059602199,0.9996294622374012,0.25,0.25,0.0,0.25
2,19.177136872768177,19.177136872768177,19.177136872768177,4.439785231646962,0.30126072443428403,0.00882564983315405,0.0,0.34710417469910226,0.5117612879699408,0.0,0.25,0.0,0.25
3,19.484995855972855,19.484995855972855,19.484995855972855,0.3078589832046781,0.01605343828159471,0.010650460960733358,0.0,0.0,0.053818926298424184,0.0,0.25,0.0,0.25
4,19.515869768168777,19.515869768168777,19.515869768168777,0.03087391219592206,0.001584496728874494,0.010843677134228067,0.0,0.0,0.005390644886080095,0.0,0.25,0.0,0.25
5,19.519013750662456,19.519013750662456,19.519013750662456,0.003143982493678976,0.00016109876377669557,0.010863076583604761,0.0,0.0,0.0005380435013252716,0.0,0.25,0.0,0.25
6,19.51915857615372,19.51915857615372,19.51915857615372,0.00014482549126526578,7.419713573404832e-06,0.010865038509799738,0.0,0.0,1.492877505533224e-05,0.0,0.25,0.0,0.25
7,19.519281952466205,19.519281952466205,19.519281952466205,0.00012337631248371395,6.320780273512457e-06,0.010865122763267517,0.0,0.0,1.119223556910893e-05,0.0,0.25,0.0,0.25
8,19.519389242029444,19.519389242029444,19.519389242029444,0.00010728956323902139,5.496593752797636e-06,0.010865207937618275,0.0,0.0,8.390953633068872e-06,0.0,0.25,0.0,0.25
9,19.519484466173733,19.519484466173733,19.519484466173733,9.52241442888635e-05,4.878438721014151e-06,0.010865201428762582,0.0,0.0,6.29082469296496e-06,0.0,0.25,0.0,0.25
10,19.51957064172623,19.51957064172623,19.51957064172623,8.617555249657016e-05,4.414847771513023e-06,0.010865277419867024,0.0,0.0,4.716345451009868e-06,0.0,0.25,0.0,0.25
11,19.519650030817015,19.519650030817015,19.519650030817015,7.938909078575307e-05,4.067153537488478e-06,0.010865324032831199,0.0,0.0,3.5359439952985934e-06,0.0,0.25,0.0,0.25
12,19.519724330151906,19.519724330151906,19.519724330151906,7.429933489078167e-05,3.8063866295492075e-06,0.010865367734769878,0.0,0.0,2.6509826570214187e-06,0.0,0.25,0.0,0.25
13,19.519794812318498,19.519794812318498,19.519794812318498,7.04821665920008e-05,3.6108177246708223e-06,0.010865419454504349,0.0,0.0,1.9875136621170547e-06,0.0,0.25,0.0,0.25
14,19.51986243174028,19.51986243174028,19.51986243174028,6.761942178101776e-05,3.4641461363284765e-06,0.010865473542221263,0.0,0.0,1.4900989155876834e-06,0.0,0.25,0.0,0.25
15,19.51992790399979,19.51992790399979,19.51992790399979,6.547225951081259e-05,3.3541352937176137e-06,0.010865485887429095,0.0,0.0,1.1171765626814395e-06,0.0,0.25,0.0,0.25
16,19.519991765945417,19.519991765945417,19.519991765945417,6.386194562679748e-05,3.271628150517485e-06,0.010865496387353527,0.0,0.0,8.375877110439924e-07,0.0,0.25,0.0,0.25
17,19.520054421139374,19.520054421139374,19.520054421139374,6.265519395753927e-05,3.2097961263922015e-06,0.010865675807982596,0.0,0.0,6.279724274883633e-07,0.0,0.25,0.0,0.25
18,19.52011617048361,19.52011617048361,19.52011617048361,6.174934423697209e-05,3.1633797173280534e-06,0.010865656054386148,0.0,0.0,4.708176182360298e-07,0.0,0.25,0.0,0.25
19,19.520177241285467,19.520177241285467,19.520177241285467,6.107080185557834e-05,3.1286085247752554e-06,0.010865787046126382,0.0,0.0,3.5299353198387174e-07,0.0,0.25,0.0,0.25
20,19.52023780304229,19.52023780304229,19.52023780304229,6.056175682189746e-05,3.1025208466759433e-06,0.010865850081124867,0.0,0.0,2.646566536999413e-07,0.0,0.25,0.0,0.25
