episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,0.249204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1087.914809208225,5.439574046041125,9.920104928482006,4.524466078880234,5.947268606489406,118.94537212978811,4.003432094033722,0.23492565171793103,200,203.76809197058535,213.78953485882892,148.23922076017024,192.95354209630898,0,211.77233478734098,134.77853203479847,235.35173450521734,857.5484414078763,5.947268606489406,5.947268606489406,0.0
2,400,rician,0.248404,ou,velocity,False,False,False,full,True,False,False,False,500.0,515.9984402574024,2.5799922012870122,9.414026739370794,7.392398365283177,2.9491726992306853,58.98345398461371,3.24588227790442,0.17532667099498211,200,123.10144966913339,165.290011931617,51.14106481310801,124.43936956151708,0,305.6673948926209,172.6848843646363,19.84590758268788,75.79625877252391,4.448220652860045,4.448220652860045,0.0
3,600,rician,0.247604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1027.3912942137624,5.136956471068812,8.323212425408068,3.516514015577681,5.833468112372419,116.66936224744839,3.58221452033898,0.16257799044251442,200,149.5750413084481,170.76410543337695,63.57296451069869,135.60726108933434,0,667.5786858176333,449.45884994541575,796.2000063806325,830.6121375663118,4.909969806030836,4.909969806030836,0.0
4,800,rician,0.246804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1383.1242712342257,6.915621356171129,9.835888069256608,2.97255396123955,7.291797244531398,145.83594489062796,3.366491496290594,0.22764940834604203,200,117.0960257680825,190.39438767913566,74.5221386709321,156.19961975091462,0,159.62986713556094,206.42155817406177,232.5672805592268,330.47528482188113,5.5054266656559765,5.5054266656559765,0.0
5,1000,rician,0.246004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1428.6731646336957,7.1433658231684785,9.037669862674463,1.709229284251357,7.5233772464229425,150.46754492845886,3.253170809595903,0.20233722592703998,200,134.4776717253742,162.7522725485204,95.56882773934734,74.93689177893782,0,430.3237347048733,294.8047593405611,610.0036129199158,670.4498092807138,5.9090167818093695,5.9090167818093695,0.0
6,1200,rician,0.245204,ou,velocity,False,False,False,full,True,False,False,False,500.0,852.2549642088935,4.261274821044467,7.863216545100784,5.163005732322513,5.273702344927839,105.47404689855678,5.993424316229809,0.2691225455701351,200,317.3667044736287,321.6753306413318,271.1573202563818,82.31997940752717,0,962.0659895757583,502.5685766769404,743.1690044203472,214.35224088240108,5.803131042329114,5.803131042329114,0.0
7,1400,rician,0.244404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1490.8465344187946,7.454232672093973,8.2655966636528,0.05404145135432493,8.211555212298475,164.23110424596953,6.508924670076361,0.4794792024046183,200,351.7363313023816,367.8696889010788,300.47779868441876,362.25168606481674,0,611.3007528487334,252.10535085718945,673.3774774878026,292.4206602065455,6.147191638039023,6.147191638039023,0.0
8,1600,rician,0.243604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1148.9053456117756,5.744526728058878,8.090733835814545,0.9230261327265745,7.167707703087976,143.35415406175954,5.759499221646361,0.43020542778074744,200,271.3277913151349,324.4001889804905,168.60211167201942,205.672543162628,0,760.3814499470918,505.65019374929693,722.2388361094027,1043.3378143277007,6.274756146170143,6.274756146170143,0.0
9,1800,rician,0.242804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1587.1842292555853,7.935921146277926,9.06382268963961,0.3689371132192769,8.694885576420331,173.89771152840663,6.578219998011625,0.46157214015722275,200,354.8579679149086,371.0605829056566,303.7533687847696,366.52551586789946,0,244.11621642532089,265.43895075047976,511.7249298124075,406.81150887976565,6.543659416197942,6.543659416197942,0.0
10,2000,rician,0.242004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1532.117359978347,7.6605867998917345,8.8704721210649,0.43648674095407175,8.433985380110823,168.6797076022165,6.714082235734966,0.46287974461913106,200,376.7671288575533,364.89178325285843,372.07647177720355,361.5375036994607,0,459.56282197380733,237.47020882644563,796.3959545126337,644.966388157635,6.73269201258923,6.73269201258923,0.0
11,2200,rician,0.241204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1083.3400767483367,5.416700383741683,8.037922536961203,0.5108240270262393,7.52709850993497,150.5419701986994,6.75209615620994,0.4319641713798046,200,281.4506925569966,313.9792131133493,264.7065324986296,293.1564922698041,0,679.9166761271706,528.4040562363351,171.30048033661186,121.09407153999096,6.804910785075207,6.804910785075207,0.0
12,2400,rician,0.240404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1199.8116803474493,5.999058401737247,8.069604289532482,0.780969942017023,7.28863434751546,145.7726869503092,6.734783609700913,0.4531536936759949,200,369.4918613967577,349.7548702536541,358.206389146607,219.91747753926492,0,857.503317216878,550.8283696694413,384.6384470838767,522.8205640532296,6.845221081945227,6.845221081945227,0.0
13,2600,rician,0.239604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1024.9363952598826,5.124681976299413,8.049934609356296,1.683353274415423,6.366581334940883,127.33162669881767,6.493267546590715,0.41527139462530616,200,344.2679361293521,335.3733305549729,336.945653868351,314.11651155662156,0,785.910945299597,465.00244777385865,394.5532364076397,939.7392374398567,6.80840263986797,6.80840263986797,0.0
14,2800,rician,0.238804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1438.02475690154,7.1901237845077,8.102437152144603,0.12189552423378652,7.980541627910822,159.61083255821643,6.858539334771689,0.4648303996771574,200,378.10048122934313,376.7031102306869,371.27399317678413,369.67252852401367,0,938.2313101138227,397.08077452660154,1183.090818161053,487.2598236916653,6.892126853299603,6.892126853299603,0.0
15,3000,rician,0.238004,ou,velocity,False,False,False,full,True,False,False,False,500.0,700.6251506802867,3.503125753401433,8.134455340160018,2.4833429860247835,5.652842576580265,113.0568515316053,6.800300845910333,0.47933001942932607,200,176.53412561129358,231.74698465001543,162.70791128393782,207.92213412840078,0,769.676858736223,708.8723439378913,402.7089709310457,1293.3978005117524,6.809507901518314,6.809507901518314,0.0
16,3200,rician,0.237204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1495.4922661368362,7.477461330684181,8.766992228861813,0.5234436278584818,8.243548601003333,164.8709720200667,6.539639380320685,0.4679299480468035,200,349.508090513334,373.18586949219264,339.2490239017797,365.38398734919775,0,327.3956972703638,237.55134986408748,716.2307212370365,821.4813253189851,6.899135445236126,6.899135445236126,0.0
17,3400,rician,0.236404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1599.8950679166994,7.999475339583497,9.863181279423113,1.0892842632492115,8.773897016173903,175.47794032347807,6.602083826579393,0.4766402644664049,200,364.00066632952803,365.937589118733,362.0278947807491,360.58398467485756,0,223.48607942420102,224.17786818467687,355.54261542124226,432.9154249559966,7.009415537644231,7.009415537644231,0.0
18,3600,rician,0.235604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1071.3367984388317,5.356683992194158,7.921346463993332,0.552807304322375,7.368539159670967,147.37078319341936,6.780358584791623,0.4338844146579504,200,295.0295763550779,372.03280526444314,294.67856899103,356.9369070323902,0,954.938766951292,696.0684831228976,732.8265365118618,770.0071754264668,7.02936684997905,7.02936684997905,0.0
