episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,epsilon,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,velocity,False,False,full,True,False,False,False,500.0,0.99527375,932.6019999828604,4.663009999914302,10.075389300839472,8.338098843343971,4.938914597874973,98.77829195749946,2.5364130520965786,0.25375,200,51.7681837050186,53.16062500153151,29.094534044844373,31.577710350152937,156.72708133887346,269.7466931212524,235.35173450521734,697.5567475491839,4.938914597874973,4.938914597874973,0.0
2,400,rician,velocity,False,False,full,True,False,False,False,500.0,0.99052375,686.4026126354283,3.4320130631771417,8.084627296281552,6.905738147983215,4.335045584809596,86.70091169619194,2.515110537948046,0.2275,200,46.524911289941635,51.43782753618159,3.0628872429547838,27.939275793132808,729.377444736155,540.1226290285063,739.8375384229203,824.3051120953976,4.636980091342284,4.636980091342284,0.0
3,600,rician,velocity,False,False,full,True,False,False,False,500.0,0.98577375,904.769811988093,4.523849059940465,7.8495402024651,5.872256264645688,4.842064713897902,96.84129427795806,2.5005015627556886,0.26,200,50.18692819413714,34.90225494806972,25.743286357068314,17.471526154454587,904.9719324761326,443.4541986830324,587.8378424257713,576.2655731937007,4.705341632194156,4.705341632194156,0.0
4,800,rician,velocity,False,False,full,True,False,False,False,500.0,0.98102375,409.09109560686557,2.0454554780343277,7.752455346722722,9.701585536846851,2.328274336240381,46.56548672480762,2.5443115954074784,0.25125,200,61.06355773066312,50.740353752974436,31.498300044686186,15.600407369672887,989.8587644781495,364.96441560549283,140.36356628025038,822.3650865468811,4.1110748082057125,4.1110748082057125,0.0
5,1000,rician,velocity,False,False,full,True,False,False,False,500.0,0.97627375,918.1974491875399,4.5909872459377,9.20268110903755,7.233596978722462,4.865747090691665,97.3149418138333,2.5268949665785185,0.25875,200,51.29980285528547,51.03940207663241,29.614199166475807,10.733048247056773,351.7765838110966,135.62943704421141,257.3069598889387,611.9004617411451,4.262009264702902,4.262009264702902,0.0
6,1200,rician,velocity,False,False,full,True,False,False,False,500.0,0.97152375,419.3555976686036,2.096777988343018,7.946605339893114,9.451711120384497,2.878803174910083,57.57606349820166,2.509994186729652,0.25875,200,49.464218817418406,42.424881344676656,30.527623139142214,14.12226771856089,831.8941419895085,550.0169229689325,125.82304994917767,557.2588255303535,4.0314749164040995,4.0314749164040995,0.0
7,1400,rician,velocity,False,False,full,True,False,False,False,500.0,0.96677375,1006.075102196484,5.03037551098242,8.929114795491204,5.583491358166806,5.55356732340121,111.0713464680242,2.5179304624067003,0.26875,200,56.97672672460401,41.747047469626814,7.520670272914048,9.889118357486582,374.66559504564003,465.9418921003606,666.2804804674081,857.2066775389734,4.248916688832258,4.248916688832258,0.0
8,1600,rician,velocity,False,False,full,True,False,False,False,500.0,0.96202375,892.8567962990029,4.464283981495014,7.879130582272147,5.70409617831629,4.903743744488005,98.0748748897601,2.495906412998478,0.2475,200,41.84879107801468,43.008581827392,22.975490136672196,12.528401345310298,869.3548558899361,491.2990760883115,894.4733863026638,477.1721238323834,4.330770070789226,4.330770070789226,0.0
9,1800,rician,velocity,False,False,full,True,False,False,False,500.0,0.95727375,1114.4193744341565,5.572096872170782,9.647950100857141,6.255701953085589,5.847543965540907,116.95087931081814,2.534031121132127,0.265,200,36.54438626008575,64.21323924285113,14.415809387606581,15.980519537239852,221.57059033968227,300.8367272484086,414.37044031617836,631.8907127971282,4.499300503539413,4.499300503539413,0.0
10,2000,rician,velocity,False,False,full,True,False,False,False,500.0,0.95252375,911.2466299589626,4.556233149794813,8.721178244010781,5.875338509868023,5.411293041359085,108.22586082718169,2.550592064825577,0.2525,200,58.19950365657402,51.13277439017846,19.737826475072318,28.186399894239102,472.44639739186783,300.6151980887039,567.4015717990146,629.6049828552841,4.59049975732138,4.59049975732138,0.0
