episode,global_step_relay,global_step_jammer,fading_model,control_mode,user_mobile,use_los_model,observation_mode,agent_obs_mode,normalize_observations,enable_ntn,satellite_altitude_km,relay_epsilon,jammer_epsilon,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,relay_q_entropy,jammer_q_entropy,relay_loss,jammer_loss
1,200,200,rician,velocity,False,False,full,shared,True,False,500.0,0.99527375,0.99527375,908.5978993816727,4.542989496908364,10.022254693311305,8.63063149224071,4.816157796290007,96.32315592580014,2.5142391397263126,0.24,200,49.328217483013674,48.47276324578899,27.558055880653406,16.185933492435403,192.8477657117404,265.49961716174124,235.35173450521734,671.7644822661224,4.816157796290007,4.816157796290007,0.0,2.7965325129032137,3.8932195150852205,0.0,0.0
2,400,400,rician,velocity,False,False,full,shared,True,False,500.0,0.99052375,0.99052375,704.2122625345253,3.5210613126726265,8.06421858812429,7.0855993133432476,4.223291631634378,84.46583263268757,2.5158106552418587,0.2325,200,49.84102605596811,46.95898223713471,14.300460313773918,2.3437421158119585,742.0223250052954,546.5708071780587,739.8375384229203,847.097626168454,4.5197247139621926,4.5197247139621926,0.0,2.79276681303978,3.895267482995987,0.0,0.0
3,600,600,rician,velocity,False,False,full,shared,True,False,500.0,0.98577375,0.98577375,814.4921301240803,4.0724606506204015,7.853209874735084,6.8048270720069794,4.3787832949578895,87.5756658991578,2.497062773096106,0.22375,200,43.84883010683857,42.2883858226303,9.69815075342087,1.6693296701033251,898.0026636274333,420.9056160517652,587.8378424257713,594.145961514105,4.4727442409607585,4.4727442409607585,0.0,2.7962070298194885,3.895002774000168,0.0,0.0
4,800,800,rician,velocity,False,False,full,shared,True,False,500.0,0.98102375,0.98102375,420.3836199555541,2.1019180997777704,7.776163920310248,9.29390841392995,2.379120763833452,47.58241527666904,2.535247046666476,0.26625,200,60.39323938873144,46.61013556384783,12.134457828869799,24.400520572447544,959.959815152282,335.30830315464783,140.36356628025038,794.9363912428774,3.9493383716789316,3.9493383716789316,0.0,2.7966907048225402,3.8941824615001677,0.0,0.0
5,1000,1000,rician,velocity,False,False,full,shared,True,False,500.0,0.97627375,0.97627375,865.3187889050203,4.326593944525102,9.274678808205332,8.285984236954755,4.604103701265968,92.08207402531939,2.549533855689731,0.24125,200,50.41316005593873,66.19480481261037,19.91948154916123,29.279212351317604,323.24986259639087,124.48371530347237,257.3069598889387,577.016373872365,4.080291437596339,4.080291437596339,0.0,2.797293882369995,3.893201425075531,0.11710309982299805,0.1287239170074463
6,1200,1200,rician,velocity,False,False,full,shared,True,False,500.0,0.97152375,0.97152375,429.3438010840215,2.1467190054201075,7.956520692986887,9.947615512221331,2.723231112392677,54.46462224785355,2.566357557703889,0.24125,200,43.51688339842527,76.1030022804161,20.114671497268148,57.14838798096836,817.6368571626003,538.9388664645807,125.82304994917767,623.7083490589741,3.8541147167290624,3.8541147167290624,0.0,2.6811710035800935,3.3734406554698944,10.650649924278259,4.434351016581059
7,1400,1400,rician,velocity,False,False,full,shared,True,False,500.0,0.96677375,0.96677375,916.3556589179449,4.581778294589724,8.91741711513309,6.460388777958247,5.086736152619797,101.73472305239594,2.5317744608584896,0.24,200,47.07321658292863,57.183534352800926,26.2365122899056,30.269324950535225,394.5940660624561,474.8278812018402,666.2804804674081,835.8561916643544,4.030203493284882,4.030203493284882,0.0,2.6173822700977327,3.214495787620544,9.489754550457,3.6120611160993574
8,1600,1600,rician,velocity,False,False,full,shared,True,False,500.0,0.96202375,0.96202375,920.3531828590297,4.601765914295148,7.871999592459908,5.342286534383473,5.049764619493153,100.99529238986305,2.556017357467612,0.255,200,58.57291096566954,56.163289650852555,30.761870623239123,22.283297067702023,884.9024871759784,517.9354488766186,894.4733863026638,485.63544732009484,4.157648634060915,4.157648634060915,0.0,2.496131104230881,3.020015403032303,12.490338525772096,4.576793295741081
9,1800,1800,rician,velocity,False,False,full,shared,True,False,500.0,0.95727375,0.95727375,1152.2659671724168,5.761329835862084,9.677857052821723,5.901855654970004,6.035182347650146,120.70364695300293,2.5197067585260315,0.275,200,44.56258988470562,52.625527679156704,20.25488826779903,15.735634225240645,217.15559449879942,300.5160299117508,414.37044031617836,638.2288931399169,4.366263491126385,4.366263491126385,0.0,2.549887191057205,2.9676814112067222,9.86779105424881,6.593660220503807
10,2000,2000,rician,velocity,False,False,full,shared,True,False,500.0,0.95252375,0.95252375,889.9912146535777,4.449956073267888,8.70175398988279,5.912650586005423,5.380238625588208,107.60477251176417,2.5334763099920856,0.26,200,42.305019184201875,60.5618872837281,15.777144084215728,32.682177426404536,485.4772842415592,314.3466069701537,567.4015717990146,630.7748827238734,4.467661004572567,4.467661004572567,0.0,2.5141070711612703,2.898396670818329,15.40817475795746,9.282360674142838
