episode,global_step_relay,global_step_jammer,fading_model,control_mode,user_mobile,use_los_model,observation_mode,agent_obs_mode,normalize_observations,enable_ntn,satellite_altitude_km,relay_epsilon,jammer_epsilon,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,relay_q_entropy,jammer_q_entropy,relay_loss,jammer_loss
1,200,200,rician,velocity,False,False,full,split,True,False,500.0,0.99527375,0.99527375,908.5978993816727,4.542989496908364,10.022254693311305,8.63063149224071,4.816157796290007,96.32315592580014,2.5142391397263126,0.24,200,49.328217483013674,48.47276324578899,27.558055880653406,16.185933492435403,192.8477657117404,265.49961716174124,235.35173450521734,671.7644822661224,4.816157796290007,4.816157796290007,0.0,2.771612936258316,3.8975989735126495,0.0,0.0
2,400,400,rician,velocity,False,False,full,split,True,False,500.0,0.99052375,0.99052375,689.3230124075967,3.4466150620379836,8.058840862281263,7.236050142860342,4.14250781073812,82.85015621476242,2.530006843102264,0.2275,200,56.05702729059118,47.672301201207034,23.48249171088107,1.2299843170431317,748.9404967783669,549.3927512249533,739.8375384229203,845.9956567994523,4.479332803514064,4.479332803514064,0.0,2.773312131166458,3.893880379199982,0.0,0.0
3,600,600,rician,velocity,False,False,full,split,True,False,500.0,0.98577375,0.98577375,799.1708305104075,3.9958541525520377,7.8480850322139295,6.967210501803812,4.306189701519182,86.12379403038365,2.492304917195626,0.22,200,43.32856574560688,39.595151111486146,3.8582190027660728,3.021619778107625,902.9721336334198,426.7203262687938,587.8378424257713,592.174094982458,4.421618436182436,4.421618436182436,0.0,2.77413002371788,3.895265976190567,0.0,0.0
4,800,800,rician,velocity,False,False,full,split,True,False,500.0,0.98102375,0.98102375,412.9325918033262,2.064662959016631,7.773033936407979,9.546042312902463,2.340984407262709,46.81968814525419,2.527824446638967,0.25875,200,53.65566243809695,48.57185383363449,5.439022822450914,25.92939757576389,963.9252657910349,339.295929995349,140.36356628025038,792.1550513970398,3.9014599289525047,3.9014599289525047,0.0,2.777144538164139,3.8978948938846587,0.0,0.0
5,1000,1000,rician,velocity,False,False,full,split,True,False,500.0,0.97627375,0.97627375,863.6374773835769,4.318187386917884,9.26745753019358,8.290597012699882,4.594837827265787,91.89675654531574,2.5424197987492594,0.24125,200,53.95744906150039,61.897253074702135,22.68496463669804,17.635992929315414,327.72747552130767,119.0801099782049,257.3069598889387,587.761306196984,4.040135508615161,4.040135508615161,0.0,2.777272243499756,3.8972957170009614,0.13162430763244629,0.13086663246154784
6,1200,1200,rician,velocity,False,False,full,split,True,False,500.0,0.97152375,0.97152375,428.27760499362984,2.1413880249681494,7.956059098769261,9.953747820335876,2.7167609622788276,54.33521924557655,2.5843898596551567,0.24125,200,46.71068280988474,79.93098199358319,22.92531061546394,61.354028875466255,816.8331354390135,538.6167358406776,125.82304994917767,627.9846076710417,3.819573084225772,3.819573084225772,0.0,2.6773212504386903,3.3973865258693694,11.060268802642822,4.480605984330177
7,1400,1400,rician,velocity,False,False,full,split,True,False,500.0,0.96677375,0.96677375,920.8132149862478,4.6040660749312385,8.92237650193441,6.460028800637727,5.090169319293794,101.80338638587588,2.5317551687999713,0.24,200,48.628435991366224,56.13159949534038,27.81339309982178,29.11711851688508,393.1775771314411,471.6935037103106,666.2804804674081,835.9520728272097,4.001086832092632,4.001086832092632,0.0,2.6177854907512663,3.1837952589988707,10.088484659194947,3.6656307330727578
8,1600,1600,rician,velocity,False,False,full,split,True,False,500.0,0.96202375,0.96202375,920.5925104667652,4.6029625523338265,7.872984370353409,5.342703563460715,5.0499856830382335,100.99971366076468,2.549364160955386,0.25375,200,56.542233397964445,56.06328965085253,29.037565396844844,22.378320441161147,883.6129383677822,516.206243483983,894.4733863026638,485.73479068770195,4.132199188460833,4.132199188460833,0.0,2.5169722950458526,3.0517291378974916,12.261528663635254,4.214145143330097
9,1800,1800,rician,velocity,False,False,full,split,True,False,500.0,0.95727375,0.95727375,1153.7359867275525,5.768679933637762,9.677269158443947,5.894274889967774,6.04209646594768,120.84192931895362,2.516044941920145,0.2775,200,43.48177139746045,51.51730771997783,18.847167945545998,15.752322092793127,214.99770207206103,303.5266376348708,414.37044031617836,637.230846946539,4.344409997070482,4.344409997070482,0.0,2.552870651483536,3.069781133532524,9.754601836204529,6.0469213321805
10,2000,2000,rician,velocity,False,False,full,split,True,False,500.0,0.95252375,0.95252375,895.9742743305737,4.479871371652869,8.697764166645529,5.902232113191885,5.388149375620722,107.76298751241445,2.5213311573549335,0.2625,200,39.224553985284466,57.04933894735042,14.465638719278838,24.740995509395276,488.0466460806484,317.5971986094375,567.4015717990146,623.1795979762375,4.4487839349255065,4.4487839349255065,0.0,2.5218285870552064,3.046207592487335,15.026198616027832,8.026038170456886
