episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,1.1606004303659325,8.144426771921419,10.377325227251077,2.0339912214037734,,,200,2.0339912214037734,2.0339912214037734,2.0339912214037734,2.0339912214037734,0.0,0.0
2,400,rayleigh,2.9088317049853782,9.621779151598759,11.016892423742398,3.193139234616211,,,200,2.613565228009992,2.613565228009992,2.613565228009992,2.613565228009992,0.0,0.0
3,600,rayleigh,2.7919825999666803,7.458274745934784,7.753610876049858,3.097872470433859,,,200,2.7750009754846143,2.7750009754846143,2.7750009754846143,2.7750009754846143,0.0,0.0
4,800,rayleigh,1.662660444495542,8.482628912689094,8.835862944377311,2.685383445412468,,,200,2.7525965929665777,2.7525965929665777,2.7525965929665777,2.7525965929665777,0.0,0.0
5,1000,rayleigh,2.8772415993572134,8.500489826679049,8.53654045906595,3.337523400965702,,,200,2.8695819545664025,2.8695819545664025,2.8695819545664025,2.8695819545664025,0.0,0.0
6,1200,rayleigh,1.6539551669750097,8.73320856988223,10.593937119498309,2.04024986664479,,,200,2.731359939912801,2.731359939912801,2.731359939912801,2.731359939912801,0.0,0.0
7,1400,rayleigh,1.9465051464588385,8.652689518844646,8.67861757268087,2.6558836567966697,,,200,2.720577613753353,2.720577613753353,2.720577613753353,2.720577613753353,0.0,0.0
8,1600,rayleigh,2.639765638644987,8.474784428250917,9.186713231110462,2.9218562855668813,,,200,2.7457374477300442,2.7457374477300442,2.7457374477300442,2.7457374477300442,0.0,0.0
9,1800,rayleigh,2.1555785102744824,7.838706673695987,8.396042865893724,2.4557775665266126,,,200,2.713519683151885,2.713519683151885,2.713519683151885,2.713519683151885,0.0,0.0
10,2000,rayleigh,3.296624797938411,8.613681287960624,8.644185471051275,3.686441607598614,,,200,2.810811875596558,2.810811875596558,2.810811875596558,2.810811875596558,0.0,0.0
11,2200,rayleigh,4.211426225935206,8.898444717486873,7.571720754001891,4.502804422628818,,,200,2.964629379872218,2.964629379872218,2.964629379872218,2.964629379872218,0.0,0.0
12,2400,rayleigh,1.8427746880305287,8.913030539132233,10.232036052364299,2.138146134960421,,,200,2.8957557761295685,2.8957557761295685,2.8957557761295685,2.8957557761295685,0.0,0.0
13,2600,rayleigh,1.1746719587807655,7.669733888629073,10.322911942843547,1.4566563173618474,,,200,2.7850558177628204,2.7850558177628204,2.7850558177628204,2.7850558177628204,0.0,0.0
14,2800,rayleigh,4.017997536642783,9.539052760400175,7.492349106549557,4.299642479157932,,,200,2.8932405792910427,2.8932405792910427,2.8932405792910427,2.8932405792910427,0.0,0.0
15,3000,rayleigh,1.526628430709603,8.509696513027448,9.995177840996641,1.8300953141464869,,,200,2.822364228281406,2.822364228281406,2.822364228281406,2.822364228281406,0.0,0.0
16,3200,rayleigh,1.113758210365883,7.973474176626864,10.539491484171922,1.4011735357509552,,,200,2.733539809998253,2.733539809998253,2.733539809998253,2.733539809998253,0.0,0.0
17,3400,rayleigh,1.4120232462393125,8.002972544392287,9.76761600018382,1.8885178403748282,,,200,2.683832635314522,2.683832635314522,2.683832635314522,2.683832635314522,0.0,0.0
18,3600,rayleigh,3.5861191603833675,8.536384940090565,7.177880405852122,3.8786609032446937,,,200,2.750211983532865,2.750211983532865,2.750211983532865,2.750211983532865,0.0,0.0
19,3800,rayleigh,1.6767269022805902,8.502722183209553,9.645541940442348,1.9644517089262392,,,200,2.7088561796062005,2.7088561796062005,2.7088561796062005,2.7088561796062005,0.0,0.0
20,4000,rayleigh,3.994180942098035,10.69537882606509,9.196340370175,4.283408956539801,,,200,2.7875838184528807,2.7875838184528807,2.7875838184528807,2.7875838184528807,0.0,0.0
21,4200,rayleigh,3.382922692415376,9.021122746291615,7.672198340567123,3.953951595057268,,,200,2.883581837135555,2.883581837135555,2.843125141148328,2.843125141148328,0.04045669598722723,0.04045669598722723
22,4400,rayleigh,2.9447915414751895,8.716501109451,8.118424522594452,3.2403320986784143,,,200,2.885941480338665,2.885941480338665,2.861180002854241,2.861180002854241,0.024761477484424255,0.024761477484424255
23,4600,rayleigh,4.039802328254291,8.44761808654743,6.497569019876306,4.32539958851278,,,200,2.947317836242611,2.947317836242611,2.924841723969829,2.924841723969829,0.0224761122727819,0.0224761122727819
24,4800,rayleigh,3.028021805945915,8.313952810999366,7.003240820600781,3.8060884184843267,,,200,3.003353084896204,3.003353084896204,2.9615603362412664,2.9615603362412664,0.04179274865493765,0.04179274865493765
25,5000,rayleigh,3.6765143317321285,8.843010488728172,6.922326123553918,3.9712662064286293,,,200,3.0350402251693507,3.0350402251693507,3.001948571048761,3.001948571048761,0.0330916541205899,0.0330916541205899
26,5200,rayleigh,2.521752077564394,8.046985259777333,7.558168635444993,2.8310002068096862,,,200,3.074577742177595,3.074577742177595,2.9953736339626427,2.9953736339626427,0.07920410821495238,0.07920410821495238
27,5400,rayleigh,3.6213313938880924,8.341337376007395,6.756540638147346,3.931785245812533,,,200,3.1383728216283884,3.1383728216283884,3.0300555455126386,3.0300555455126386,0.10831727611574982,0.10831727611574982
28,5600,rayleigh,2.4899482894423164,8.341610335804424,6.71549332801162,3.3017433782373673,,,200,3.157367176261913,3.157367176261913,3.0397586823956644,3.0397586823956644,0.1176084938662485,0.1176084938662485
29,5800,rayleigh,2.4465205653367206,7.529391667111285,6.95657257873556,2.990591792789426,,,200,3.1841078875750535,3.1841078875750535,3.0380632724092425,3.0380632724092425,0.14604461516581102,0.14604461516581102
30,6000,rayleigh,2.8240822985241976,8.383396685572274,7.072820959689272,3.238399135567227,,,200,3.161705763973484,3.161705763973484,3.0447411345145086,3.0447411345145086,0.11696462945897546,0.11696462945897546
31,6200,rayleigh,2.178205967438087,8.446771754599464,7.3538098367265,3.4189203590600505,,,200,3.1075115607950456,3.1075115607950456,3.0568114320804938,3.0568114320804938,0.05070012871455187,0.05070012871455187
32,6400,rayleigh,2.4454846780064945,7.632383528363037,6.5755269283173,2.784651498124318,,,200,3.1398368289532406,3.1398368289532406,3.0483064341443633,3.0483064341443633,0.09153039480887726,0.09153039480887726
33,6600,rayleigh,0.9144430381108871,8.21386127680811,8.96653615850267,1.6285333083228903,,,200,3.148430678501293,3.148430678501293,3.005283006089167,3.005283006089167,0.14314767241212634,0.14314767241212634
34,6800,rayleigh,3.8289990973504358,8.389930368626203,5.8863163218086925,4.149788331155467,,,200,3.1409379711011702,3.1409379711011702,3.0389449274146463,3.0389449274146463,0.10199304368652395,0.10199304368652395
35,7000,rayleigh,2.7358971077753838,8.573936044575772,7.702103006422472,3.088459803778546,,,200,3.2038561955827722,3.2038561955827722,3.040359638167901,3.040359638167901,0.16349655741487146,0.16349655741487146
36,7200,rayleigh,3.8832531559630405,9.794791359962746,6.804037630878075,4.224191189663611,,,200,3.345007078278406,3.345007078278406,3.0732438479316704,3.0732438479316704,0.27176323034673544,0.27176323034673544
37,7400,rayleigh,2.096329379599634,7.926775960142796,6.835843417426574,2.7815106169580046,,,200,3.389656717107564,3.389656717107564,3.0653591660134634,3.0653591660134634,0.32429755109410063,0.32429755109410063
38,7600,rayleigh,4.531737680300504,8.322717630439643,5.213240917629386,4.870652935103516,,,200,3.4392563187005054,3.4392563187005054,3.112866896778991,3.112866896778991,0.32638942192151443,0.32638942192151443
39,7800,rayleigh,2.6174535813707633,7.810907630444037,5.801872841767992,3.443502193859468,,,200,3.5132088429471673,3.5132088429471673,3.12134472490926,3.12134472490926,0.39186411803790744,0.39186411803790744
