episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,2.8668327528703297,8.634895949130504,8.841719422442626,3.740223543908171,,,200,3.740223543908171,3.740223543908171,3.740223543908171,3.740223543908171,0.0,0.0
2,400,rician,4.540012807303446,9.965965110332235,9.567045266639763,4.825142425126973,,,200,4.282682984517572,4.282682984517572,4.282682984517572,4.282682984517572,0.0,0.0
3,600,rician,4.011821730879353,7.752566896677895,6.6410004771574025,4.317358469733336,,,200,4.294241479589494,4.294241479589494,4.294241479589494,4.294241479589494,0.0,0.0
4,800,rician,3.652399867253413,8.938655497884888,7.029721325984626,4.6751228681703365,,,200,4.3894618267347045,4.3894618267347045,4.3894618267347045,4.3894618267347045,0.0,0.0
5,1000,rician,4.0832251550929834,8.997904167865272,7.684942926771258,4.543506956701476,,,200,4.420270852728059,4.420270852728059,4.420270852728059,4.420270852728059,0.0,0.0
6,1200,rician,3.1200851840496466,9.175832252047954,9.179800651727206,3.5097502690605866,,,200,4.268517422116814,4.268517422116814,4.268517422116814,4.268517422116814,0.0,0.0
7,1400,rician,3.8502043541023125,9.068922985031655,6.7918941937867885,4.583599949062535,,,200,4.313529211680488,4.313529211680488,4.313529211680488,4.313529211680488,0.0,0.0
8,1600,rician,4.025961298819141,8.702011817376924,7.787323069293089,4.309643797838972,,,200,4.313043534950299,4.313043534950299,4.313043534950299,4.313043534950299,0.0,0.0
9,1800,rician,3.9243224014590568,8.222530841326765,6.7265450583224125,4.230599965961175,,,200,4.3038831383959515,4.3038831383959515,4.3038831383959515,4.3038831383959515,0.0,0.0
10,2000,rician,4.585711061367395,9.105538911868363,7.382380379388664,4.99591196087415,,,200,4.373086020643771,4.373086020643771,4.373086020643771,4.373086020643771,0.0,0.0
11,2200,rician,5.4448899035199325,9.556647808382667,6.5890406524792136,5.737209738114434,,,200,4.497097267686558,4.497097267686558,4.497097267686558,4.497097267686558,0.0,0.0
12,2400,rician,3.4454221281148336,9.163796251870133,8.629150344915127,3.7233716693455094,,,200,4.432620134491471,4.432620134491471,4.432620134491471,4.432620134491471,0.0,0.0
13,2600,rician,2.128684065576677,7.968053381809082,9.354667054029761,2.426300197553323,,,200,4.278287831650075,4.278287831650075,4.278287831650075,4.278287831650075,0.0,0.0
14,2800,rician,5.750217990217409,10.114299544506336,6.159410578305409,6.024599340670905,,,200,4.403024368008706,4.403024368008706,4.403024368008706,4.403024368008706,0.0,0.0
15,3000,rician,3.0932020707467736,8.941166577351757,8.547411520753242,3.3848696254883768,,,200,4.335147385174016,4.335147385174016,4.335147385174016,4.335147385174016,0.0,0.0
