episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,1.0097062055013903,8.142022663784239,7.107428745192707,2.188354660955327,,,200,2.188354660955327,2.188354660955327,2.188354660955327,2.188354660955327,0.0,0.0
2,400,rayleigh,1.7186937516421725,7.651824111033305,6.448194987575534,2.117828275497309,,,200,2.153091468226318,2.153091468226318,2.153091468226318,2.153091468226318,0.0,0.0
3,600,rayleigh,3.6103778854497284,9.388275508007109,5.956789952126596,3.9555524204437944,,,200,2.7539117856321433,2.7539117856321433,2.7539117856321433,2.7539117856321433,0.0,0.0
4,800,rayleigh,2.4810450967660684,8.581585988424294,5.690753927316691,3.140440180829879,,,200,2.8505438844315774,2.8505438844315774,2.8505438844315774,2.8505438844315774,0.0,0.0
5,1000,rayleigh,0.9938498163838838,8.24217834793396,7.912584118214195,1.3946408531228272,,,200,2.559363278169827,2.559363278169827,2.559363278169827,2.559363278169827,0.0,0.0
6,1200,rayleigh,2.7620122468374033,7.572677969256265,5.291088547460239,3.480101324686744,,,200,2.71281961925598,2.71281961925598,2.71281961925598,2.71281961925598,0.0,0.0
7,1400,rayleigh,2.0682902432498493,8.0048458048122,4.871603444959878,3.288012424951281,,,200,2.7949900200695943,2.7949900200695943,2.7949900200695943,2.7949900200695943,0.0,0.0
8,1600,rayleigh,1.5188020152903092,8.053513118528999,5.42760341886677,2.8727220406544607,,,200,2.804706522642703,2.804706522642703,2.804706522642703,2.804706522642703,0.0,0.0
9,1800,rayleigh,2.726599196209692,7.475854417794615,3.5041634256617744,3.99958880513158,,,200,2.9374712206970224,2.9374712206970224,2.9374712206970224,2.9374712206970224,0.0,0.0
10,2000,rayleigh,1.8024512393543421,8.147850441333354,4.694677795487689,3.5284327632459087,,,200,2.996567374951911,2.996567374951911,2.996567374951911,2.996567374951911,0.0,0.0
