episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,3.372987384857723,8.596150237366642,4.720001000289267,4.449579875811595,,,200,4.449579875811595,4.449579875811595,4.449579875811595,4.449579875811595,0.0,0.0
2,400,rician,4.196608168913914,7.930932045106312,3.7616374011000286,4.582056002723855,,,200,4.515817939267725,4.515817939267725,4.515817939267725,4.515817939267725,0.0,0.0
3,600,rician,6.217830335134288,9.759569799556642,3.7127671593266935,6.561995127834992,,,200,5.197877002123481,5.197877002123481,5.197877002123481,5.197877002123481,0.0,0.0
4,800,rician,4.964733967555606,9.057914216987488,3.468299615500397,5.58961460148708,,,200,5.2958114019643805,5.2958114019643805,5.2958114019643805,5.2958114019643805,0.0,0.0
5,1000,rician,2.0864963941839796,8.485017163387145,6.337000532722573,2.4932228220561083,,,200,4.735293685982726,4.735293685982726,4.735293685982726,4.735293685982726,0.0,0.0
6,1200,rician,3.2319816963147163,7.784111982162577,6.474360255320974,3.961469798851511,,,200,4.606323038127523,4.606323038127523,4.606323038127523,4.606323038127523,0.0,0.0
7,1400,rician,4.270102248671487,9.138202037410274,4.089473373404065,5.048728664006212,,,200,4.669523841824479,4.669523841824479,4.669523841824479,4.669523841824479,0.0,0.0
8,1600,rician,3.1830527487974325,8.526802103210294,4.054969236255492,4.4916430963862,,,200,4.647288748644694,4.647288748644694,4.647288748644694,4.647288748644694,0.0,0.0
9,1800,rician,5.742140264484865,8.324925360306569,1.7968096017559683,6.528115758550605,,,200,4.8562695275231285,4.8562695275231285,4.8562695275231285,4.8562695275231285,0.0,0.0
10,2000,rician,4.488002546787719,8.89145040355516,2.697020545865391,6.201768344335662,,,200,4.9908194092043825,4.9908194092043825,4.9908194092043825,4.9908194092043825,0.0,0.0
11,2200,rician,5.275838534745077,7.985125850191541,1.5855640570765126,6.425358535767697,,,200,5.121232057073775,5.121232057073775,5.121232057073775,5.121232057073775,0.0,0.0
12,2400,rician,1.6216491336089383,8.559773538752703,4.7501892428627555,3.814015094427917,,,200,5.01229731018662,5.01229731018662,5.01229731018662,5.01229731018662,0.0,0.0
13,2600,rician,4.244841236145943,7.995878368950797,1.9577694230253886,6.038108945925409,,,200,5.091205897551142,5.091205897551142,5.091205897551142,5.091205897551142,0.0,0.0
14,2800,rician,4.276342955996644,8.05159443001172,2.337417750230522,5.7166754643722655,,,200,5.135882295181223,5.135882295181223,5.135882295181223,5.135882295181223,0.0,0.0
15,3000,rician,5.551535336695395,8.6766329773336,1.644822575756348,7.0318104015772525,,,200,5.262277502274291,5.262277502274291,5.262277502274291,5.262277502274291,0.0,0.0
16,3200,rician,4.097442418718362,8.697368259323069,2.9521152013223824,5.745253058000687,,,200,5.292463474507191,5.292463474507191,5.292463474507191,5.292463474507191,0.0,0.0
17,3400,rician,4.5664354238224725,8.913789491415388,3.5767961338232306,5.336993357592153,,,200,5.295082879394541,5.295082879394541,5.295082879394541,5.295082879394541,0.0,0.0
18,3600,rician,6.021825463280128,8.404309547683805,1.5796200688285889,6.824689478855223,,,200,5.380061023809024,5.380061023809024,5.380061023809024,5.380061023809024,0.0,0.0
19,3800,rician,5.724263930215594,8.11592196555877,1.5922181112881817,6.526020638935793,,,200,5.440374687763064,5.440374687763064,5.440374687763064,5.440374687763064,0.0,0.0
20,4000,rician,4.882252764100728,7.99130586893733,2.316713276833125,5.67459259210421,,,200,5.4520855829801205,5.4520855829801205,5.4520855829801205,5.4520855829801205,0.0,0.0
21,4200,rician,1.3033335235630465,7.989458818783433,4.636554773186596,3.3622117296420013,,,200,5.397717175671641,5.397717175671641,5.35256778044021,5.35256778044021,0.04514939523143102,0.04514939523143102
22,4400,rician,4.863535178119241,7.647506349603657,1.8686225125307518,5.779301013982402,,,200,5.4575794262345685,5.4575794262345685,5.371964745601219,5.371964745601219,0.08561468063334932,0.08561468063334932
23,4600,rician,1.9972102772662597,8.140403453710737,5.214504836261489,3.064801680081003,,,200,5.2827197538468695,5.2827197538468695,5.271653307969905,5.271653307969905,0.01106644587696426,0.01106644587696426
24,4800,rician,6.588507076534123,10.169174402291052,2.791601620590116,7.377572781700936,,,200,5.372117662857562,5.372117662857562,5.359399952708699,5.359399952708699,0.012717710148862693,0.012717710148862693
25,5000,rician,6.05879607340332,9.029132741482455,1.425809482235934,7.603323259246521,,,200,5.627622684717084,5.627622684717084,5.449156884970211,5.449156884970211,0.17846579974687238,0.17846579974687238
26,5200,rician,2.7172682809241633,8.319465047544448,3.7171732884483677,4.613111843024828,,,200,5.660204786925749,5.660204786925749,5.417001306433851,5.417001306433851,0.2432034804918981,0.2432034804918981
27,5400,rician,6.869239687054292,8.960458233282292,1.2338670056703693,7.72659122761192,,,200,5.794097915106034,5.794097915106034,5.50254167388489,5.50254167388489,0.2915562412211443,0.2915562412211443
28,5600,rician,6.210265336529897,9.9908571973673,2.1533037522030436,7.837553445164254,,,200,5.961393432544936,5.961393432544936,5.585934951430581,5.585934951430581,0.37545848111435465,0.37545848111435465
