episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,1.140601817515444,8.148533756472546,10.76007667006933,1.9690112750661233,,,200,1.9690112750661233,1.9690112750661233,1.9690112750661233,1.9690112750661233,0.0,0.0
2,400,rayleigh,2.863457608473051,9.660162083321381,11.33136806761021,3.147043156995812,,,200,2.5580272160309674,2.5580272160309674,2.5580272160309674,2.5580272160309674,0.0,0.0
3,600,rayleigh,2.488054830877766,7.454464670078722,8.646881867862623,2.796354009765365,,,200,2.6374694806091,2.6374694806091,2.6374694806091,2.6374694806091,0.0,0.0
4,800,rayleigh,2.0087330180407705,8.530759450800932,9.11423110609993,2.711201710169497,,,200,2.655902537999199,2.655902537999199,2.655902537999199,2.655902537999199,0.0,0.0
5,1000,rayleigh,3.088264447281686,8.491623150308293,8.379327216760206,3.499006452918357,,,200,2.8245233209830305,2.8245233209830305,2.8245233209830305,2.8245233209830305,0.0,0.0
6,1200,rayleigh,1.471068439627385,8.685425903642418,10.20303885145206,1.9937361156466857,,,200,2.6860587867603063,2.6860587867603063,2.6860587867603063,2.6860587867603063,0.0,0.0
7,1400,rayleigh,1.7483293869481416,8.59870927097026,9.548489990116607,2.293950747736238,,,200,2.6300433526140106,2.6300433526140106,2.6300433526140106,2.6300433526140106,0.0,0.0
8,1600,rayleigh,2.7980053179840887,8.470638477033694,8.782676121378271,3.0686669665224984,,,200,2.684871304352572,2.684871304352572,2.684871304352572,2.684871304352572,0.0,0.0
9,1800,rayleigh,2.1383897726584866,7.835829009363455,8.416205944135777,2.4552603400506996,,,200,2.659358974985697,2.659358974985697,2.659358974985697,2.659358974985697,0.0,0.0
10,2000,rayleigh,3.7522879364229,8.524202282510497,7.355026782961529,4.202248535401425,,,200,2.81364793102727,2.81364793102727,2.81364793102727,2.81364793102727,0.0,0.0
11,2200,rayleigh,4.345066314816617,8.840133656221974,7.040095183743712,4.6447546092814544,,,200,2.980112174504923,2.980112174504923,2.980112174504923,2.980112174504923,0.0,0.0
12,2400,rayleigh,1.6468078147961485,8.752768240162274,10.55051371418632,1.9382311947107185,,,200,2.8932887595220724,2.8932887595220724,2.8932887595220724,2.8932887595220724,0.0,0.0
13,2600,rayleigh,1.0161875833143994,7.672499564169976,11.504579620698424,1.2949092911993374,,,200,2.770336492728016,2.770336492728016,2.770336492728016,2.770336492728016,0.0,0.0
14,2800,rayleigh,3.89169683590226,9.572786452336423,7.903847571317712,4.162982857760864,,,200,2.8698112330875056,2.8698112330875056,2.8698112330875056,2.8698112330875056,0.0,0.0
15,3000,rayleigh,1.391010647152835,8.524824581719367,10.671065951721591,1.6743134277533307,,,200,2.7901113793985606,2.7901113793985606,2.7901113793985606,2.7901113793985606,0.0,0.0
16,3200,rayleigh,1.0944403940682614,7.957112260813188,11.455311244872398,1.3795218776749778,,,200,2.7019495355408365,2.7019495355408365,2.7019495355408365,2.7019495355408365,0.0,0.0
