episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,2.752481201452656,8.638110613323065,9.281390550863687,3.5822780996146757,,,200,3.5822780996146757,3.5822780996146757,3.5822780996146757,3.5822780996146757,0.0,0.0
2,400,rician,4.445934142725458,10.023357092668476,9.874318823109736,4.730457063424717,,,200,4.156367581519697,4.156367581519697,4.156367581519697,4.156367581519697,0.0,0.0
3,600,rician,3.5957537792539314,7.748751618404649,7.675470121504578,3.9035683920479656,,,200,4.07210118502912,4.07210118502912,4.07210118502912,4.07210118502912,0.0,0.0
4,800,rician,3.8114671304438783,8.985775292977417,7.447592324544984,4.515820065204004,,,200,4.18303090507284,4.18303090507284,4.18303090507284,4.18303090507284,0.0,0.0
5,1000,rician,4.204223423611352,8.973797961687037,7.407014953526194,4.670924207799311,,,200,4.280609565618134,4.280609565618134,4.280609565618134,4.280609565618134,0.0,0.0
6,1200,rician,3.0136864578574922,9.129684039030483,8.815636999675462,3.5624500960542766,,,200,4.160916320690824,4.160916320690824,4.160916320690824,4.160916320690824,0.0,0.0
7,1400,rician,3.579148173041354,9.015426890128284,7.908385734845672,4.117173932663021,,,200,4.154667408115424,4.154667408115424,4.154667408115424,4.154667408115424,0.0,0.0
8,1600,rician,4.20659267138746,8.695614848783405,7.371301428329442,4.476541821229864,,,200,4.194901709754729,4.194901709754729,4.194901709754729,4.194901709754729,0.0,0.0
9,1800,rician,3.972955533588887,8.222791006611176,6.714865888084387,4.282624312909614,,,200,4.2046486656608275,4.2046486656608275,4.2046486656608275,4.2046486656608275,0.0,0.0
10,2000,rician,5.051519725203285,9.018316484455632,6.138173864453166,5.547414997511971,,,200,4.3389252988459415,4.3389252988459415,4.3389252988459415,4.3389252988459415,0.0,0.0
11,2200,rician,5.827111008687626,9.508763291253645,5.808953849777044,6.120395475004503,,,200,4.500877133042175,4.500877133042175,4.500877133042175,4.500877133042175,0.0,0.0
12,2400,rician,3.246624541120478,9.186206943452241,9.054586324380708,3.5292006631923347,,,200,4.419904093888021,4.419904093888021,4.419904093888021,4.419904093888021,0.0,0.0
13,2600,rician,1.9810187186140233,7.999329790759024,10.933529452080512,2.259003116984044,,,200,4.253680941818485,4.253680941818485,4.253680941818485,4.253680941818485,0.0,0.0
14,2800,rician,5.632397565956244,10.136571329119404,6.502554088222316,5.904900190661994,,,200,4.371625173878735,4.371625173878735,4.371625173878735,4.371625173878735,0.0,0.0
15,3000,rician,2.9531813869816155,8.935714115278984,9.042648167719234,3.2389694524436203,,,200,4.296114792449728,4.296114792449728,4.296114792449728,4.296114792449728,0.0,0.0
16,3200,rician,1.8955232676082616,8.324893400316002,10.93589257699749,2.1834560553669053,,,200,4.164073621382052,4.164073621382052,4.164073621382052,4.164073621382052,0.0,0.0
17,3400,rician,2.812183491458538,8.418901822848946,9.421550387067072,3.198900986016148,,,200,4.107298760478175,4.107298760478175,4.107298760478175,4.107298760478175,0.0,0.0
18,3600,rician,5.204432370314844,8.876320747616452,5.5922502778633545,5.486796623490912,,,200,4.183937530645549,4.183937530645549,4.183937530645549,4.183937530645549,0.0,0.0
19,3800,rician,3.3052347423693877,9.009159269461938,8.924730601385106,3.577424260317491,,,200,4.152015779575652,4.152015779575652,4.152015779575652,4.152015779575652,0.0,0.0
20,4000,rician,5.554189988945174,11.259901962299766,8.307164258858277,5.836647177129308,,,200,4.236247349453334,4.236247349453334,4.236247349453334,4.236247349453334,0.0,0.0
21,4200,rician,4.055165579870943,9.522054997294445,8.388789359951346,4.690364605830905,,,200,4.291651674764146,4.291651674764146,4.2578719807094085,4.2578719807094085,0.03377969405473724,0.03377969405473724
22,4400,rician,3.975227647171377,9.20122649693731,8.39461337272373,4.261964210306219,,,200,4.26822703210822,4.26822703210822,4.258057991145628,4.258057991145628,0.010169040962591858,0.010169040962591858
23,4600,rician,5.333682181616308,8.807818664361147,5.586269504728235,5.614755430971435,,,200,4.353786384054393,4.353786384054393,4.317044836355445,4.317044836355445,0.03674154769894855,0.03674154769894855
24,4800,rician,4.2589179661292045,8.854933929951706,6.371004868128277,5.177094722979144,,,200,4.386850116943151,4.386850116943151,4.352880248298099,4.352880248298099,0.033969868645051804,0.033969868645051804
25,5000,rician,4.790343197680707,9.459637552420267,6.848547413628501,5.07425675366146,,,200,4.407016744236258,4.407016744236258,4.381735308512634,4.381735308512634,0.025281435723623957,0.025281435723623957
26,5200,rician,4.049118026277461,8.355825615273583,6.5224811759573385,4.341854147299301,,,200,4.445986946798509,4.445986946798509,4.380201417696736,4.380201417696736,0.06578552910177304,0.06578552910177304
27,5400,rician,4.936652691068445,8.935859157790425,6.420064610530543,5.225806588158842,,,200,4.5014185795733015,4.5014185795733015,4.411520127713851,4.411520127713851,0.08989845185945011,0.08989845185945011
28,5600,rician,4.2213222630816825,8.894639146043282,7.030451864843445,4.6475254118623,,,200,4.5099677591049225,4.5099677591049225,4.41994888786201,4.41994888786201,0.09001887124291219,0.09001887124291219
29,5800,rician,4.321379173006586,7.943857902593064,5.012083338232812,4.856195720715417,,,200,4.538646329495213,4.538646329495213,4.434991882098334,4.434991882098334,0.10365444739687923,0.10365444739687923
30,6000,rician,4.10776859655222,8.955921707874245,7.1149862572422355,4.413553621069742,,,200,4.481953260673102,4.481953260673102,4.434277273397382,4.434277273397382,0.047675987275719756,0.047675987275719756
31,6200,rician,3.371876138581251,8.889989117304212,8.295059663120751,4.436195613263086,,,200,4.397743267586031,4.397743267586031,4.434339155328534,4.434339155328534,0.036595887742502775,0.036595887742502775
32,6400,rician,3.5038114891454715,7.985178958502227,7.125291847927523,3.7914753068557006,,,200,4.410856999769199,4.410856999769199,4.414249660063756,4.414249660063756,0.003392660294557537,0.003392660294557537
33,6600,rician,2.641216387223446,8.625630951196113,8.82109344234778,2.977406435496111,,,200,4.446777165694802,4.446777165694802,4.370708956288979,4.370708956288979,0.0760682094058227,0.0760682094058227
34,6800,rician,4.924324951697949,8.69493111413117,5.627932370127768,5.2167970081032164,,,200,4.412372006566863,4.412372006566863,4.3955938989893975,4.3955938989893975,0.016778107577465562,0.016778107577465562
35,7000,rician,4.172536697315589,9.028968598871355,7.205443257534165,4.4535547943963865,,,200,4.4731012736645015,4.4731012736645015,4.397249924572455,4.397249924572455,0.07585134909204694,0.07585134909204694
36,7200,rician,4.719804474244537,9.870710932133777,8.040527968147737,5.01586134341051,,,200,4.61472153806668,4.61472153806668,4.4144335750957335,4.4144335750957335,0.20028796297094686,0.20028796297094686
37,7400,rician,3.0360126788068844,8.198612302071673,7.106164343306394,3.903702765529343,,,200,4.649961627042341,4.649961627042341,4.4006300397020475,4.4006300397020475,0.24933158734029348,0.24933158734029348
38,7600,rician,4.648028719084753,8.782502185345061,7.025484956028053,4.94355142343722,,,200,4.622799367039656,4.622799367039656,4.414917444537184,4.414917444537184,0.20788192250247217,0.20788192250247217
39,7800,rician,3.2128904151027826,8.069437275298652,6.083193798795508,4.5009271530347394,,,200,4.668974511675519,4.668974511675519,4.417122821678147,4.417122821678147,0.2518516899973724,0.2518516899973724
40,8000,rician,3.0939260305499854,7.861330604297786,7.944762387482687,3.5281349758906657,,,200,4.553548901613587,4.553548901613587,4.3948981255334605,4.3948981255334605,0.15865077608012612,0.15865077608012612
41,8200,rician,3.2887472458505274,7.85944549405289,6.880698853412788,3.823531514658089,,,200,4.510207247054946,4.510207247054946,4.380962354536501,4.380962354536501,0.12924489251844484,0.12924489251844484
42,8400,rician,4.273515115305994,8.863857171747597,7.507753334740387,4.5710614556315265,,,200,4.525662109321212,4.525662109321212,4.385488523610192,4.385488523610192,0.14017358571102,0.14017358571102
43,8600,rician,3.5426972035872564,8.460364729455728,8.729186733634556,3.8738760282846894,,,200,4.4386181391868735,4.4386181391868735,4.373590558602622,4.373590558602622,0.06502758058425151,0.06502758058425151
44,8800,rician,1.0692514306341423,7.750091168448573,9.574336419067444,1.4153924034005636,,,200,4.250533023207945,4.250533023207945,4.30635878234803,4.30635878234803,0.055825759140085474,0.055825759140085474
45,9000,rician,5.53225122977813,9.231838970686274,5.684136519907752,5.8829324981291045,,,200,4.290966810431327,4.290966810431327,4.3413937538098315,4.3413937538098315,0.05042694337850406,0.05042694337850406
46,9200,rician,2.1024735227933347,8.541213339535107,8.454064550477776,3.389403612354745,,,200,4.2433442836841,4.2433442836841,4.320698315952113,4.320698315952113,0.07735403226801285,0.07735403226801285
47,9400,rician,2.544496676440334,8.737602728184033,7.955401194088279,4.11060742377275,,,200,4.187584325464795,4.187584325464795,4.316228296969573,4.316228296969573,0.12864397150477824,0.12864397150477824
48,9600,rician,4.509913944988511,9.360783129985046,7.530321190531078,4.856994430392462,,,200,4.198057776391304,4.198057776391304,4.327494258082549,4.327494258082549,0.12943648169124522,0.12943648169124522
49,9800,rician,3.657800902572618,8.080168184381952,7.104562678895923,4.1424961650799945,,,200,4.162372798609532,4.162372798609532,4.323718786796782,4.323718786796782,0.1613459881872501,0.1613459881872501
50,10000,rician,2.7657508650922584,7.930583096705462,8.26029229083315,3.209620021148531,,,200,4.102176118613471,4.102176118613471,4.301436811483818,4.301436811483818,0.19926069287034665,0.19926069287034665
51,10200,rician,3.481351106310608,7.8662727956937815,7.0608230337515785,4.152463678065871,,,200,4.087989521853611,4.087989521853611,4.298515769652092,4.298515769652092,0.21052624779848106,0.21052624779848106
52,10400,rician,3.2396111671299,9.043856374227015,9.414272078658714,3.563327634976778,,,200,4.076582138259664,4.076582138259664,4.284377536292952,4.284377536292952,0.20779539803328806,0.20779539803328806
53,10600,rician,4.4491852918360575,8.85379175250659,6.695570156340429,4.847556755266456,,,200,4.170089654248182,4.170089654248182,4.295003559292452,4.295003559292452,0.12491390504427002,0.12491390504427002
54,10800,rician,4.990285848090537,8.635454831427756,5.640679564528021,5.304611525982199,,,200,4.17448038014213,4.17448038014213,4.31370000312004,4.31370000312004,0.1392196229779099,0.1392196229779099
55,11000,rician,6.0237976825680235,9.064043097390986,4.094657733102001,6.345963983945349,,,200,4.269100839619579,4.269100839619579,4.350650257316865,4.350650257316865,0.08154941769728552,0.08154941769728552
56,11200,rician,3.409211385900136,8.325918174786082,7.203580785353685,3.8773012516285097,,,200,4.212172835030479,4.212172835030479,4.342197596501,4.342197596501,0.130024761470521,0.130024761470521
57,11400,rician,2.200141240072443,9.04659054651271,11.921832974603173,2.98101122154971,,,200,4.166038257831497,4.166038257831497,4.318317133782557,4.318317133782557,0.15227887595106004,0.15227887595106004
58,11600,rician,3.609728160550889,8.562901118023142,7.715746234699123,4.25034184249549,,,200,4.131377778784411,4.131377778784411,4.317145146001746,4.317145146001746,0.185767367217335,0.185767367217335
59,11800,rician,4.582438390424281,9.322141971103974,6.148913661052228,4.986058410568515,,,200,4.1556343416611,4.1556343416611,4.328482658960504,4.328482658960504,0.17284831729940375,0.17284831729940375
60,12000,rician,3.5932251644464936,8.495280142199965,8.39098939262852,4.03112819474091,,,200,4.1807840026036125,4.1807840026036125,4.323526751223511,4.323526751223511,0.14274274861989866,0.14274274861989866
61,12200,rician,3.0052572257507713,8.971877773790624,9.614783798139808,3.510915201496408,,,200,4.1651531869455285,4.1651531869455285,4.310205250408313,4.310205250408313,0.1450520634627841,0.1450520634627841
62,12400,rician,2.1475655929739905,8.332930775119115,10.053137844649774,2.4628159001345504,,,200,4.059740909170679,4.059740909170679,4.280408647984542,4.280408647984542,0.22066773881386315,0.22066773881386315
63,12600,rician,3.651873717107591,8.545385550179335,7.36440959689877,3.9920739503678275,,,200,4.065650805274836,4.065650805274836,4.275831906752532,4.275831906752532,0.21018110147769598,0.21018110147769598
64,12800,rician,4.7432401843015,8.905269756560106,6.485451242792224,5.143225917902887,,,200,4.252042480999951,4.252042480999951,4.289384938176755,4.289384938176755,0.037342457176803734,0.037342457176803734
65,13000,rician,4.73093366091885,7.90422464055677,5.547955840178243,5.1147796451680865,,,200,4.213634838351901,4.213634838351901,4.302083318284314,4.302083318284314,0.08844847993241345,0.08844847993241345
66,13200,rician,1.9857916267434101,7.79688357126286,8.848243028623223,3.172517398752241,,,200,4.202790527671776,4.202790527671776,4.284968683139889,4.284968683139889,0.08217815546811291,0.08217815546811291
67,13400,rician,2.0932946688962124,8.334848490963227,11.462571288862568,2.8682992081037786,,,200,4.1406751168883265,4.1406751168883265,4.263824362616962,4.263824362616962,0.12314924572863539,0.12314924572863539
68,13600,rician,2.8969135012999976,8.122160138207636,7.7999021986041015,3.3303265231567134,,,200,4.06434172152654,4.06434172152654,4.250096453213135,4.250096453213135,0.18575473168659506,0.18575473168659506
69,13800,rician,2.678683512953211,8.425408522828945,9.67369129921554,3.0539985691190954,,,200,4.009916841728495,4.009916841728495,4.232761701269743,4.232761701269743,0.22284485954124733,0.22284485954124733
70,14000,rician,3.5250583460416123,8.927003859616363,8.786694769840175,3.9436877869647806,,,200,4.046620230019309,4.046620230019309,4.228632073922529,4.228632073922529,0.18201184390321945,0.18201184390321945
71,14200,rician,4.54429009310961,11.192087008406254,10.156111718050925,4.951319109408686,,,200,4.086563001586449,4.086563001586449,4.238810764563179,4.238810764563179,0.15224776297672982,0.15224776297672982
72,14400,rician,4.402761116563988,8.711747340819727,4.993314934955524,5.355680971607782,,,200,4.176180668418,4.176180668418,4.254322850772131,4.254322850772131,0.0781421823541315,0.0781421823541315
73,14600,rician,5.061694059030287,8.355748455499597,4.813856645484181,5.401872184154251,,,200,4.203896439862389,4.203896439862389,4.270042704654078,4.270042704654078,0.06614626479168972,0.06614626479168972
74,14800,rician,4.589339499585265,8.679552999108118,6.237354082721598,4.929716727871501,,,200,4.1851516999568545,4.1851516999568545,4.278957218481341,4.278957218481341,0.09380551852448615,0.09380551852448615
75,15000,rician,4.386669241859957,8.538408708421814,6.853665014864492,4.722225235243693,,,200,4.1039647625217714,4.1039647625217714,4.284867458704838,4.284867458704838,0.18090269618306642,0.18090269618306642
76,15200,rician,1.7442345515974194,9.042402091385295,11.460495408071566,2.694856514850976,,,200,4.044842525682895,4.044842525682895,4.263946262075183,4.263946262075183,0.21910373639228808,0.21910373639228808
77,15400,rician,2.500726116762243,8.93473818926915,9.303065467854767,3.0291316349269373,,,200,4.047248546351756,4.047248546351756,4.247909708475855,4.247909708475855,0.20066116212409923,0.20066116212409923
78,15600,rician,3.0803438097307634,9.541459298383106,11.816755923739622,3.4306392031775794,,,200,4.00626341438586,4.00626341438586,4.237431881484851,4.237431881484851,0.23116846709899086,0.23116846709899086
79,15800,rician,2.6155037961503833,8.307546257372481,10.901239573917605,2.950374299496267,,,200,3.9044792088322473,3.9044792088322473,4.221140013358413,4.221140013358413,0.31666080452616585,0.31666080452616585
80,16000,rician,1.994246825729343,8.376239144234539,11.24646510279605,2.5455215671266784,,,200,3.8301988774515365,3.8301988774515365,4.200194782780517,4.200194782780517,0.3699959053289801,0.3699959053289801
81,16200,rician,4.764759332406749,8.285095086159968,5.668159218582949,5.112260435915808,,,200,3.9102661391725064,3.9102661391725064,4.21145485257231,4.21145485257231,0.3011887133998039,0.3011887133998039
82,16400,rician,2.707539586496809,9.99917803257661,9.632582573436947,4.035660772333907,,,200,3.988908382782474,3.988908382782474,4.209311022325501,4.209311022325501,0.22040263954302697,0.22040263954302697
83,16600,rician,1.2709419603396794,7.759128262542752,11.694965508006366,2.2053814530458973,,,200,3.8995737579163787,3.8995737579163787,4.185167292575144,4.185167292575144,0.2855935346587657,0.2855935346587657
84,16800,rician,3.4334686273454422,8.667629854863934,8.40050091749104,4.013385002284989,,,200,3.8430817121354837,3.8430817121354837,4.183122265309785,4.183122265309785,0.34004055317430115,0.34004055317430115
85,17000,rician,4.186522210914987,9.809428189026333,8.577377199221843,4.5884292135334075,,,200,3.816764190553749,3.816764190553749,4.18789058234771,4.18789058234771,0.3711263917939611,0.3711263917939611
86,17200,rician,4.0579104248111175,8.603393817703106,7.532311316834686,4.4398772943510165,,,200,3.880132185333687,3.880132185333687,4.19082066039426,4.19082066039426,0.3106884750605725,0.3106884750605725
87,17400,rician,2.2564229807737144,9.20402753615491,11.163788571194514,2.718467756534278,,,200,3.8726406127552124,3.8726406127552124,4.173897063798168,4.173897063798168,0.3012564510429554,0.3012564510429554
88,17600,rician,3.2800298505367143,8.96491110335079,9.448812864986765,3.6455308493494476,,,200,3.8884008290648486,3.8884008290648486,4.167892902270342,4.167892902270342,0.2794920732054935,0.2794920732054935
89,17800,rician,3.945340352258132,8.97053938608263,7.481456725587739,4.60575258921048,,,200,3.9659885300694184,3.9659885300694184,4.172812674033715,4.172812674033715,0.20682414396429616,0.20682414396429616
90,18000,rician,4.337563899317335,9.449949184085298,8.40448855421462,4.748503157483995,,,200,4.006229298595378,4.006229298595378,4.17920923496094,4.17920923496094,0.17297993636556175,0.17297993636556175
91,18200,rician,3.380569195662376,8.346979895391447,6.500453615841901,4.330631210534516,,,200,3.9751949036516705,3.9751949036516705,4.180873212714496,4.180873212714496,0.20567830906282536,0.20567830906282536
92,18400,rician,2.8561118894914723,9.61930518113992,11.860717558287263,3.2138753442819454,,,200,3.8681046222853785,3.8681046222853785,4.17036236631849,4.17036236631849,0.30225774403311156,0.30225774403311156
93,18600,rician,1.8172138112978182,9.228576934441023,11.883839170114651,2.2030797558480475,,,200,3.7081650008700686,3.7081650008700686,4.149208789861818,4.149208789861818,0.4410437889917498,0.4410437889917498
94,18800,rician,1.7206368088772779,8.419812884923525,11.03479303667827,2.1603975178249493,,,200,3.569699040367741,3.569699040367741,4.128051223138022,4.128051223138022,0.5583521827702809,0.5583521827702809
95,19000,rician,5.141621112058922,9.201704483695991,5.982451120338402,5.527735327367631,,,200,3.609974544973938,3.609974544973938,4.142784740024649,4.142784740024649,0.5328101950507111,0.5328101950507111
96,19200,rician,3.184959197583274,9.761157327274704,10.642037858200402,3.9343090683199193,,,200,3.6719471726473842,3.6719471726473842,4.140613118444391,4.140613118444391,0.46866594579700704,0.46866594579700704
97,19400,rician,2.6612300808400806,8.109656998511081,8.589526370657765,3.0487869787551225,,,200,3.672929939838794,3.672929939838794,4.129357178859966,4.129357178859966,0.4564272390211719,0.4564272390211719
98,19600,rician,4.047422701441397,9.3704426520699,7.9605172138277425,4.42488466141346,,,200,3.722642212750588,3.722642212750588,4.132372765416634,4.132372765416634,0.4097305526660464,0.4097305526660464
99,19800,rician,1.0644984862019324,7.735410692549956,8.111874272042456,3.017059807243824,,,200,3.725976488137966,3.725976488137966,4.121106977960343,4.121106977960343,0.3951304898223773,0.3951304898223773
100,20000,rician,2.3406448677694045,8.604843469415727,11.466316114956854,2.9494765440834763,,,200,3.746174236985806,3.746174236985806,4.109390673621575,4.109390673621575,0.36321643663576886,0.36321643663576886
