Algorithm,Channel,IoT_Final_Rolling100,Vehicle_Final_Rolling100,IoT_Best_Secrecy,Vehicle_Best_Secrecy,Difference_Rolling100
D3QN,Rayleigh,3.8124,3.6073,7.5302,6.0811,-0.2051
D3QN,Rician,5.8336,5.6387,9.5194,7.9256,-0.1949
DDPG,Rayleigh,0.0000,3.6972,N/A,5.9746,3.6972
DDPG,Rician,0.0000,5.7404,N/A,8.2259,5.7404
DQN,Rayleigh,0.0000,2.6912,N/A,4.6448,2.6912
DQN,Rician,0.0000,4.1094,N/A,6.3460,4.1094
PPO,Rayleigh,4.1549,3.6218,7.7894,6.0214,-0.5331
PPO,Rician,6.0945,5.4519,9.5921,7.8745,-0.6425
SAC,Rayleigh,4.7183,3.7740,8.6644,7.2844,-0.9443
SAC,Rician,6.8231,5.9223,9.9705,8.6538,-0.9008
TD3PG,Rayleigh,4.2782,3.7500,7.9225,6.2900,-0.5282
TD3PG,Rician,6.5580,5.9658,9.8495,8.6550,-0.5922
