episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,1.1068369553606459,8.13867769949928,6.459302259418134,2.278618621022622,,,200,2.278618621022622,2.278618621022622,2.278618621022622,2.278618621022622,0.0,0.0
2,400,rayleigh,4.1146754969365915,9.718338232859839,5.463051575787741,4.421451788884039,,,200,3.350035204953331,3.350035204953331,3.350035204953331,3.350035204953331,0.0,0.0
3,600,rayleigh,3.2578809456863085,7.401300761470632,3.8834510429343467,3.680094779522632,,,200,3.460055063143098,3.460055063143098,3.460055063143098,3.460055063143098,0.0,0.0
4,800,rayleigh,2.6739759024249765,8.538310714387995,5.410104302482791,3.30930215833456,,,200,3.4223668369409634,3.4223668369409634,3.4223668369409634,3.4223668369409634,0.0,0.0
5,1000,rayleigh,4.167053937609309,8.56838118400003,4.1089095536548115,4.519551431741977,,,200,3.6418037559011665,3.6418037559011665,3.6418037559011665,3.6418037559011665,0.0,0.0
6,1200,rayleigh,0.980408016348622,8.653476745255432,7.800871186853401,1.7574477134960638,,,200,3.327744415500316,3.327744415500316,3.327744415500316,3.327744415500316,0.0,0.0
7,1400,rayleigh,1.3979115751548603,8.509772157469913,7.407196315230594,1.8568541679193413,,,200,3.1176172372744624,3.1176172372744624,3.1176172372744624,3.1176172372744624,0.0,0.0
8,1600,rayleigh,3.1090550691732677,8.492319283682797,5.302561120089019,3.405051550632877,,,200,3.153546526444264,3.153546526444264,3.153546526444264,3.153546526444264,0.0,0.0
9,1800,rayleigh,2.428189789680417,7.869666206454775,5.569972373212403,2.761650392403284,,,200,3.110002511550822,3.110002511550822,3.110002511550822,3.110002511550822,0.0,0.0
10,2000,rayleigh,5.13710215273623,8.520544327905908,3.026854813502008,5.531549532277597,,,200,3.3521572136234994,3.3521572136234994,3.3521572136234994,3.3521572136234994,0.0,0.0
11,2200,rayleigh,5.66475520693964,8.925732375284307,2.9394556949941264,6.021392503808945,,,200,3.594814967276722,3.594814967276722,3.594814967276722,3.594814967276722,0.0,0.0
12,2400,rayleigh,2.026815514945371,8.848940733229307,6.802478537929412,2.3590008045786357,,,200,3.491830453718548,3.491830453718548,3.491830453718548,3.491830453718548,0.0,0.0
13,2600,rayleigh,1.0208363720113303,7.670961372057715,7.295374945618813,1.4076343602019332,,,200,3.331507677294193,3.331507677294193,3.331507677294193,3.331507677294193,0.0,0.0
14,2800,rayleigh,4.928288894000667,9.425706059866982,4.194038631595926,5.266794865985165,,,200,3.4697424764864055,3.4697424764864055,3.4697424764864055,3.4697424764864055,0.0,0.0
15,3000,rayleigh,1.7768223424873122,8.6043110395294,6.91379656677497,2.121567146769062,,,200,3.3798641211719156,3.3798641211719156,3.3798641211719156,3.3798641211719156,0.0,0.0
16,3200,rayleigh,0.8279288740272983,8.013518595461802,8.186741946154758,1.2049428770260686,,,200,3.2439315434128,3.2439315434128,3.2439315434128,3.2439315434128,0.0,0.0
17,3400,rayleigh,1.9329862347673896,8.030323879238406,6.086348150173812,2.334706775518455,,,200,3.190447733536662,3.190447733536662,3.190447733536662,3.190447733536662,0.0,0.0
18,3600,rayleigh,4.417623470711845,8.67667332551777,3.9354105032197424,4.773037326356229,,,200,3.2783693775821936,3.2783693775821936,3.2783693775821936,3.2783693775821936,0.0,0.0
19,3800,rayleigh,2.0108961714116216,8.827624310500948,6.719522447639829,2.4244830167834936,,,200,3.2334279901717355,3.2334279901717355,3.2334279901717355,3.2334279901717355,0.0,0.0
20,4000,rayleigh,4.8190087222092775,10.652106418331854,5.5026848819225265,5.228394078132719,,,200,3.3331762945697845,3.3331762945697845,3.3331762945697845,3.3331762945697845,0.0,0.0
21,4200,rayleigh,4.846084496543728,9.048847755622875,3.8070219171410375,5.3150458183626,,,200,3.484997654436784,3.484997654436784,3.4275510337980144,3.4275510337980144,0.05744662063876982,0.05744662063876982
22,4400,rayleigh,2.6202430076277308,8.538575828450771,5.655010928555256,3.23323646435512,,,200,3.4255868882103377,3.4255868882103377,3.4187185533687914,3.4187185533687914,0.006868334841546364,0.006868334841546364
23,4600,rayleigh,4.470636336586187,8.665400374261905,3.846647424201742,4.905258592175525,,,200,3.4868450788429826,3.4868450788429826,3.4833507289690844,3.4833507289690844,0.0034943498738981837,0.0034943498738981837
24,4800,rayleigh,4.400450973388971,8.521880947179984,3.6224307297152087,4.9401776375042195,,,200,3.5683888528014656,3.5683888528014656,3.5440518501580485,3.5440518501580485,0.024337002643417094,0.024337002643417094
25,5000,rayleigh,4.66727018491216,8.868545006518296,3.814165168622831,5.061141546985783,,,200,3.595468358563656,3.595468358563656,3.604735438031158,3.604735438031158,0.009267079467501826,0.009267079467501826
26,5200,rayleigh,3.0773545641145494,8.238263325728582,4.878146150998631,3.4735988600145133,,,200,3.6812759158895787,3.6812759158895787,3.5996917234920565,3.5996917234920565,0.08158419239752224,0.08158419239752224
27,5400,rayleigh,3.9423369370016044,8.115959269913974,3.8281203178726244,4.40012557705991,,,200,3.8084394863466073,3.8084394863466073,3.6293374217723473,3.6293374217723473,0.17910206457426003,0.17910206457426003
28,5600,rayleigh,2.320098812189712,8.321187874414967,4.951562168642762,3.492082128581807,,,200,3.8127910152440543,3.8127910152440543,3.6244354470155424,3.6244354470155424,0.18835556822851185,0.18835556822851185
29,5800,rayleigh,3.4580340896877626,7.483321130756048,3.7122242867046698,3.905248431602165,,,200,3.8699709172039976,3.8699709172039976,3.634118653380598,3.634118653380598,0.23585226382339952,0.23585226382339952
30,6000,rayleigh,2.9326779430739958,8.688602259242368,5.057887074613476,3.776235481084396,,,200,3.7822052146443377,3.7822052146443377,3.6388558809707248,3.6388558809707248,0.1433493336736129,0.1433493336736129
31,6200,rayleigh,1.9258309043036348,8.43259925439711,4.720045988916472,3.8226882052458104,,,200,3.6722699997161805,3.6722699997161805,3.6447859559473406,3.6447859559473406,0.02748404376883995,0.02748404376883995
32,6400,rayleigh,2.43557559698136,7.533983799358712,5.0433892775011815,2.7813692567457604,,,200,3.6933884223245372,3.6933884223245372,3.617804184097291,3.617804184097291,0.07558423822724603,0.07558423822724603
33,6600,rayleigh,1.2131002438606584,8.506666883932349,7.693815019174253,1.6095370750643812,,,200,3.703483558067659,3.703483558067659,3.556947605035688,3.556947605035688,0.1465359530319712,0.1465359530319712
34,6800,rayleigh,4.004579581165952,8.4275891152374,4.039504394070408,4.433801040669765,,,200,3.6618338668018895,3.6618338668018895,3.582737411966102,3.582737411966102,0.07909645483578753,0.07909645483578753
35,7000,rayleigh,2.7545076420654273,8.809516143607777,5.573586450375272,3.4336069786968384,,,200,3.727435858398278,3.727435858398278,3.578476542444123,3.578476542444123,0.1489593159541549,0.1489593159541549
36,7200,rayleigh,3.228842044504574,9.320591989937615,5.756383486758003,3.6563971123252643,,,200,3.850008570163238,3.850008570163238,3.5806410027185986,3.5806410027185986,0.2693675674446392,0.2693675674446392
37,7400,rayleigh,2.476544492743358,8.229525977891122,5.478418553160935,2.981211700257705,,,200,3.882333816400201,3.882333816400201,3.5644402107601967,3.5644402107601967,0.31789360564000413,0.31789360564000413
38,7600,rayleigh,5.150034352985716,8.455723589512512,2.840981599487471,5.6212468995788765,,,200,3.9247442950613327,3.9247442950613327,3.618566702571214,3.618566702571214,0.30617759249011867,0.30617759249011867
39,7800,rayleigh,2.6602721885520206,7.793260190096582,3.8148868857384213,4.0930097374030066,,,200,4.008170631092308,4.008170631092308,3.630731908592542,3.630731908592542,0.37743872249976596,0.37743872249976596
40,8000,rayleigh,1.724214503556705,7.533704113187344,4.8342386675040565,2.9573365259592763,,,200,3.8946177534836366,3.8946177534836366,3.6138970240267105,3.6138970240267105,0.28072072945692605,0.28072072945692605
41,8200,rayleigh,1.4581641061912736,7.548933449964429,4.993520885927336,2.7374772913649696,,,200,3.7657393271337547,3.7657393271337547,3.5925209329861802,3.5925209329861802,0.17321839414757445,0.17321839414757445
42,8400,rayleigh,4.333903048783143,8.55052525799869,3.7928608956757426,4.781253632456531,,,200,3.843140185538825,3.843140185538825,3.620824092497379,3.620824092497379,0.22231609304144628,0.22231609304144628
43,8600,rayleigh,2.2084946975939523,7.970855737297422,5.499877528391418,2.780927811336454,,,200,3.7369236464968716,3.7369236464968716,3.6012916208424737,3.6012916208424737,0.13563202565439791,0.13563202565439791
44,8800,rayleigh,-0.5945904233561926,7.5081618927486,8.696869655199027,0.48662582546772487,,,200,3.514246055895047,3.514246055895047,3.530503761856684,3.530503761856684,0.016257705961637114,0.016257705961637114
45,9000,rayleigh,4.706779998436877,8.809007112266023,3.192442203550241,5.627239195219704,,,200,3.5425509383067437,3.5425509383067437,3.5770978825980846,3.5770978825980846,0.034546944291340864,0.034546944291340864
46,9200,rayleigh,1.5150831882311642,8.19031824353224,5.412186813167167,2.965014375113657,,,200,3.5171217140617004,3.5171217140617004,3.5637917193919013,3.5637917193919013,0.04667000533020094,0.04667000533020094
47,9400,rayleigh,3.2550808439598886,8.053539331164762,3.4533462929269825,4.647360287371283,,,200,3.529483449577269,3.529483449577269,3.5868463697744413,3.5868463697744413,0.05736292019717215,0.05736292019717215
48,9600,rayleigh,3.3156635148752263,8.677883095951293,4.936848235646317,3.8333601161438566,,,200,3.5465473489553707,3.5465473489553707,3.591982072823804,3.591982072823804,0.04543472386843339,0.04543472386843339
49,9800,rayleigh,3.630803837210544,7.756197600907729,3.631690839394878,4.16122916457136,,,200,3.559346385603831,3.559346385603831,3.603599360410489,3.603599360410489,0.0442529748066578,0.0442529748066578
50,10000,rayleigh,2.0461701558999987,7.577528485586977,5.2094550229802525,2.656223710026609,,,200,3.5033457970509416,3.5033457970509416,3.5846518474028115,3.5846518474028115,0.08130605035186989,0.08130605035186989
51,10200,rayleigh,1.8502944218846542,7.337753805855007,4.301407356712174,3.270189573708162,,,200,3.4757208654740595,3.4757208654740595,3.5784859204676223,3.5784859204676223,0.10276505499356281,0.10276505499356281
52,10400,rayleigh,1.2744467401965565,8.29414384827097,6.7318432515781135,1.9524440232332583,,,200,3.434274603798434,3.434274603798434,3.547215883982346,3.547215883982346,0.11294128018391181,0.11294128018391181
53,10600,rayleigh,3.64219626070946,8.240145642056085,3.9571157393672105,4.303952885363018,,,200,3.568995394313366,3.568995394313366,3.56149394061217,3.56149394061217,0.007501453701196148,0.007501453701196148
54,10800,rayleigh,4.196862341398474,8.258859728377162,3.5329934308948516,4.761462746434388,,,200,3.585378479601597,3.585378479601597,3.583715585164433,3.583715585164433,0.001662894437163942,0.001662894437163942
55,11000,rayleigh,4.797548147789097,8.473704702370577,3.1688781052949406,5.325026763456574,,,200,3.6799494688395837,3.6799494688395837,3.6153757884061086,3.6153757884061086,0.06457368043347511,0.06457368043347511
56,11200,rayleigh,2.304406438878254,8.245801879195424,5.648793613645569,2.803269319803478,,,200,3.6372930792134945,3.6372930792134945,3.6008738871810615,3.6008738871810615,0.036419192032433045,0.036419192032433045
57,11400,rayleigh,4.09304520824698,9.059608589697419,4.446888960063117,4.647413800929806,,,200,3.7206031842471,3.7206031842471,3.6192342365450743,3.6192342365450743,0.10136894770202565,0.10136894770202565
58,11600,rayleigh,2.532631166241082,8.00404119745727,4.252817251887532,3.802389193683252,,,200,3.629660298952319,3.629660298952319,3.6223920806336634,3.6223920806336634,0.007268218318655428,0.007268218318655428
59,11800,rayleigh,1.7430776835658839,8.61534134046828,5.579012521655373,3.1635056756526594,,,200,3.5831850958648013,3.5831850958648013,3.6146143449560193,3.6146143449560193,0.031429249091218026,0.031429249091218026
60,12000,rayleigh,3.3490402917535365,7.731122611481445,3.9489699299043584,3.8957336721310227,,,200,3.630104953173388,3.630104953173388,3.6192996670756026,3.6192996670756026,0.010805286097785416,0.010805286097785416
61,12200,rayleigh,2.7055352654844973,8.596689562607073,4.689908170002855,3.9878607228670404,,,200,3.692624124748492,3.692624124748492,3.625341651596774,3.625341651596774,0.06728247315171787,0.06728247315171787
62,12400,rayleigh,0.5386216338216775,7.675841523351103,6.880079547609104,1.4504703063805062,,,200,3.5260849584446907,3.5260849584446907,3.590263081512641,3.590263081512641,0.06417812306795012,0.06417812306795012
63,12600,rayleigh,2.8648681625434107,7.736063427485053,4.499150443124233,3.402780705589636,,,200,3.55717760315735,3.55717760315735,3.587287170783704,3.587287170783704,0.03010956762635386,0.03010956762635386
64,12800,rayleigh,3.9802066782654992,8.035242808097122,3.1235461631034287,4.934046048113526,,,200,3.77954861428964,3.77954861428964,3.608330278241983,3.608330278241983,0.17121833604765735,0.17121833604765735
65,13000,rayleigh,3.8922696825096224,7.647046264616532,2.701331484147761,5.002925051111521,,,200,3.748332907084231,3.748332907084231,3.629785582439976,3.629785582439976,0.11854732464425499,0.11854732464425499
66,13200,rayleigh,2.6652343267755523,7.517163535148267,3.485109731404729,4.155284264243091,,,200,3.807846401540702,3.807846401540702,3.6377476836794167,3.6377476836794167,0.1700987178612854,0.1700987178612854
67,13400,rayleigh,1.5248390518276784,7.911070877666209,4.326323951529525,3.6633282752277645,,,200,3.758644800933527,3.758644800933527,3.6381294835532727,3.6381294835532727,0.12051531738025423,0.12051531738025423
68,13600,rayleigh,1.2258467101291706,8.009397139983122,6.034332234833901,2.2539506410467687,,,200,3.6796743271786725,3.6796743271786725,3.617773912339942,3.617773912339942,0.061900414838730544,0.061900414838730544
69,13800,rayleigh,1.9421259111124638,8.042354927172926,5.402527213402348,2.9070321830070593,,,200,3.6169644781004573,3.6169644781004573,3.607473307567002,3.607473307567002,0.009491170533455495,0.009491170533455495
70,14000,rayleigh,3.0179877890469595,8.48416610663584,4.9532335277685515,3.6599552739398424,,,200,3.667151056296119,3.667151056296119,3.6082230499437564,3.6082230499437564,0.058928006352362505,0.058928006352362505
71,14200,rayleigh,3.981572221246239,9.86672577491519,5.516150687853519,4.443330434375146,,,200,3.7258080993294675,3.7258080993294675,3.619985125780818,3.619985125780818,0.10582297354864956,0.10582297354864956
72,14400,rayleigh,3.2541495827081808,8.57788044346662,4.300618971721291,4.376392448811904,,,200,3.8470055206083997,3.8470055206083997,3.630490783045139,3.630490783045139,0.21651473756326078,0.21651473756326078
73,14600,rayleigh,3.3868666003722017,7.794958087015051,4.030971511379284,3.8717306191078444,,,200,3.8253944072956414,3.8253944072956414,3.633795438333669,3.633795438333669,0.19159896896197237,0.19159896896197237
74,14800,rayleigh,3.519411618139969,8.399175621841046,4.4167997772565135,4.1456320081074525,,,200,3.7946028703792947,3.7946028703792947,3.6407121487360175,3.6407121487360175,0.15389072164327722,0.15389072164327722
75,15000,rayleigh,4.659149848074351,8.636077675164936,3.449995002523388,5.2115141346124405,,,200,3.788927238937088,3.788927238937088,3.66165617521437,3.66165617521437,0.12727106372271813,0.12727106372271813
76,15200,rayleigh,2.4154636855867624,8.317116858435966,5.653702202623303,2.9277149470420047,,,200,3.7951495202990144,3.7951495202990144,3.651999053791049,3.651999053791049,0.14315046650796548,0.14315046650796548
77,15400,rayleigh,0.9505616468220646,8.5694813887136,7.559499698723304,1.7702919398843873,,,200,3.651293427246744,3.651293427246744,3.6275612990649884,3.6275612990649884,0.02373212818175574,0.02373212818175574
78,15600,rayleigh,3.2007663446283754,8.798002737866055,5.099181490272918,3.8084377147695685,,,200,3.651595853301059,3.651595853301059,3.629880227471457,3.629880227471457,0.021715625829601848,0.021715625829601848
79,15800,rayleigh,2.376923373996104,8.07969770707375,5.394431670420865,2.9018738273110767,,,200,3.63851426088398,3.63851426088398,3.6206649565833513,3.6206649565833513,0.0178493043006287,0.0178493043006287
80,16000,rayleigh,2.6286160421682894,8.051922513664582,4.570397496608063,3.5883533883258694,,,200,3.623145246693723,3.623145246693723,3.620261061980133,3.620261061980133,0.0028841847135896437,0.0028841847135896437
81,16200,rayleigh,3.9239180764887123,7.870466439711991,3.1235094392569716,4.7782092070877376,,,200,3.6626626709047576,3.6626626709047576,3.634556718092573,3.634556718092573,0.028105952812184753,0.028105952812184753
82,16400,rayleigh,3.503692152501313,10.055083691925422,5.25770770278376,4.836188327090678,,,200,3.8319485719402664,3.8319485719402664,3.6492107621047447,3.6492107621047447,0.18273780983552168,0.18273780983552168
83,16600,rayleigh,2.6896487393553548,7.6095115044338115,3.688065725289726,3.9510560486029065,,,200,3.85936233909093,3.85936233909093,3.6528474523035177,3.6528474523035177,0.20651488678741226,0.20651488678741226
84,16800,rayleigh,1.5894265578871318,7.8336168789570975,4.962202650511188,3.065027524780582,,,200,3.7659114129242823,3.7659114129242823,3.6458495960234827,3.6458495960234827,0.12006181690079964,0.12006181690079964
85,17000,rayleigh,3.529833510434721,9.284050144683707,5.3551087825905235,4.055898143553209,,,200,3.718560067546367,3.718560067546367,3.6506736965826563,3.6506736965826563,0.06788637096371053,0.06788637096371053
86,17200,rayleigh,4.302083827481671,8.593175609776555,3.813283584359205,4.816256893492632,,,200,3.7516086990088433,3.7516086990088433,3.6642269895699813,3.6642269895699813,0.08738170943886203,0.08738170943886203
87,17400,rayleigh,3.137700099048088,8.936054280506434,5.440320577968744,3.662937045032092,,,200,3.751589137499061,3.751589137499061,3.66421216262127,3.66421216262127,0.08737697487779128,0.08737697487779128
88,17600,rayleigh,2.287392215175601,8.384917018458356,5.768757427128887,2.7966339442846895,,,200,3.778723302660957,3.778723302660957,3.6543533192310815,3.6543533192310815,0.12436998342987549,0.12436998342987549
89,17800,rayleigh,4.316637589625645,8.691081905703696,3.7699475231604365,4.942175012176866,,,200,3.8804804441194465,3.8804804441194465,3.6688232258933935,3.6688232258933935,0.211657218226053,0.211657218226053
90,18000,rayleigh,4.227814902408671,9.309008859742157,4.606022965181569,4.799562103816366,,,200,3.937460785613273,3.937460785613273,3.6813869912036483,3.6813869912036483,0.2560737944096245,0.2560737944096245
91,18200,rayleigh,2.0691572051267992,7.6423892960658035,4.474749833291581,3.3522950491482253,,,200,3.8829090163519266,3.8829090163519266,3.6777705962360066,3.6777705962360066,0.2051384201159201,0.2051384201159201
92,18400,rayleigh,2.744546195867979,9.279048639872967,6.053065707280873,3.3747274516884955,,,200,3.8328257664957563,3.8328257664957563,3.674476649012664,3.674476649012664,0.15834911748309244,0.15834911748309244
93,18600,rayleigh,0.4169587515744744,8.313298116644896,7.666776916577213,1.4818099224015318,,,200,3.7133297316604414,3.7133297316604414,3.6508995874362,3.6508995874362,0.062430144224241424,0.062430144224241424
94,18800,rayleigh,0.6410913114448838,8.054132747713153,7.644976820886945,1.2435463542973695,,,200,3.5682254489699368,3.5682254489699368,3.6252894466581274,3.6252894466581274,0.05706399768819059,0.05706399768819059
95,19000,rayleigh,4.925099172801269,8.786929511107754,3.222968483473193,5.593618366147198,,,200,3.587330660546674,3.587330660546674,3.646008698442223,3.646008698442223,0.05867803789554893,0.05867803789554893
96,19200,rayleigh,3.6630911338583445,9.391468371024475,4.68122815460174,4.782403871340831,,,200,3.680065106761616,3.680065106761616,3.657846148159918,3.657846148159918,0.02221895860169809,0.02221895860169809
97,19400,rayleigh,1.4760372032981133,7.935377035348689,6.084033195488462,2.303621894144293,,,200,3.7067316044746113,3.7067316044746113,3.6438850733762513,3.6438850733762513,0.06284653109835991,0.06284653109835991
98,19600,rayleigh,3.2128491878305083,9.436629253045396,5.779401793730604,3.822689611719427,,,200,3.7074441993221043,3.7074441993221043,3.6457096094817945,3.6457096094817945,0.061734589840309884,0.061734589840309884
99,19800,rayleigh,-0.09131058029847637,7.166946659866614,6.9129883327593395,1.462492564369884,,,200,3.6354751361750446,3.6354751361750446,3.6236569120564215,3.6236569120564215,0.0118182241186231,0.0118182241186231
100,20000,rayleigh,1.750172745851633,7.755205570262776,4.681379400797664,3.442926116269146,,,200,3.6282037725722085,3.6282037725722085,3.6218496040985486,3.6218496040985486,0.0063541684736598825,0.0063541684736598825
