episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,3.4095661572629274,8.6359138670488,4.136193250339596,4.546638542559583,,,200,4.546638542559583,4.546638542559583,4.546638542559583,4.546638542559583,0.0,0.0
2,400,rician,6.184880767601928,10.013227910200188,3.5261209593912417,6.491316671182764,,,200,5.518977606871173,5.518977606871173,5.518977606871173,5.518977606871173,0.0,0.0
3,600,rician,5.068377824637335,7.721024223955101,2.293479810869349,5.427544413085746,,,200,5.488499875609364,5.488499875609364,5.488499875609364,5.488499875609364,0.0,0.0
4,800,rician,4.548112468753219,8.942121230202515,3.2624597292462423,5.683361254505098,,,200,5.537215220333297,5.537215220333297,5.537215220333297,5.537215220333297,0.0,0.0
5,1000,rician,5.598057179134621,8.993486009662952,2.7920498446139934,6.203677003622246,,,200,5.670507576991087,5.670507576991087,5.670507576991087,5.670507576991087,0.0,0.0
6,1200,rician,3.413607434784128,9.150823517262063,5.379720206549142,3.8440576706300673,,,200,5.36609925926425,5.36609925926425,5.36609925926425,5.36609925926425,0.0,0.0
7,1400,rician,4.072898033729123,9.032306840260436,4.60314120787572,4.482926160163992,,,200,5.239931673678499,5.239931673678499,5.239931673678499,5.239931673678499,0.0,0.0
8,1600,rician,5.036583423223976,8.750770183197119,3.416351509505599,5.364648986091376,,,200,5.2555213377301095,5.2555213377301095,5.2555213377301095,5.2555213377301095,0.0,0.0
9,1800,rician,4.974576802814687,8.271965314979525,2.96229832711029,5.317108656710362,,,200,5.2623643731723595,5.2623643731723595,5.2623643731723595,5.2623643731723595,0.0,0.0
10,2000,rician,7.011241980309144,9.053479610217964,1.4902557205021283,7.563223889715829,,,200,5.492450324826707,5.492450324826707,5.492450324826707,5.492450324826707,0.0,0.0
11,2200,rician,7.177059155013211,9.50365263639655,1.629135131845571,7.87451750455098,,,200,5.709001886619823,5.709001886619823,5.709001886619823,5.709001886619823,0.0,0.0
12,2400,rician,4.1664823997466955,9.11700214673303,4.666195759447931,4.470508066569828,,,200,5.605794068282322,5.605794068282322,5.605794068282322,5.605794068282322,0.0,0.0
13,2600,rician,2.570718241200817,7.989109434766569,5.203689241736298,2.889615839223911,,,200,5.396857281431675,5.396857281431675,5.396857281431675,5.396857281431675,0.0,0.0
14,2800,rician,7.12111489890989,9.942565595438802,2.5100505656564915,7.4325150297823095,,,200,5.542261406313863,5.542261406313863,5.542261406313863,5.542261406313863,0.0,0.0
15,3000,rician,3.814518896714789,8.946481755700562,4.863899939817914,4.112011104567243,,,200,5.4469113861974225,5.4469113861974225,5.4469113861974225,5.4469113861974225,0.0,0.0
16,3200,rician,2.1342988536707104,8.342601233451004,6.271341061507472,2.4143159588020366,,,200,5.2573741719852105,5.2573741719852105,5.2573741719852105,5.2573741719852105,0.0,0.0
17,3400,rician,3.8151407098313364,8.457715662848058,4.328504145840286,4.168632565281674,,,200,5.193330548061473,5.193330548061473,5.193330548061473,5.193330548061473,0.0,0.0
18,3600,rician,6.101845293930299,8.901102664783272,2.5236695856391567,6.389697386203599,,,200,5.259795372402702,5.259795372402702,5.259795372402702,5.259795372402702,0.0,0.0
19,3800,rician,3.8722596359034323,9.162991121333894,4.959914767476419,4.222274741726212,,,200,5.205189023419728,5.205189023419728,5.205189023419728,5.205189023419728,0.0,0.0
20,4000,rician,7.033435926565091,11.177647568990723,3.8034913281155265,7.374156240875203,,,200,5.313637384292503,5.313637384292503,5.313637384292503,5.313637384292503,0.0,0.0
21,4200,rician,6.514748074877226,9.422344882203696,2.487044825736843,6.948298001119146,,,200,5.433720357220481,5.433720357220481,5.391478366046152,5.391478366046152,0.04224199117432903,0.04224199117432903
