episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,2.1000530455494952,8.193077045779086,5.712726435964593,2.788521083322084,,,200,2.788521083322084,2.788521083322084,2.788521083322084,2.788521083322084,0.0,0.0
2,400,rayleigh,2.475172348343159,8.588111100463461,6.134034987744882,2.7582262217772113,,,200,2.7733736525496475,2.7733736525496475,2.7733736525496475,2.7733736525496475,0.0,0.0
3,600,rayleigh,2.138017035840404,7.2831204931829445,5.2924307772659285,2.4419813870545983,,,200,2.6629095640512976,2.6629095640512976,2.6629095640512976,2.6629095640512976,0.0,0.0
4,800,rayleigh,0.6055208657843951,8.19521082599036,7.081478354702874,1.6679911488200512,,,200,2.4141799602434864,2.4141799602434864,2.4141799602434864,2.4141799602434864,0.0,0.0
5,1000,rayleigh,1.2392515492349214,7.549161221798903,5.567780037022693,2.396658418121986,,,200,2.410675651819186,2.410675651819186,2.410675651819186,2.410675651819186,0.0,0.0
6,1200,rayleigh,4.095606648056658,8.842366785171736,4.51651234035089,4.379331028588239,,,200,2.738784881280695,2.738784881280695,2.738784881280695,2.738784881280695,0.0,0.0
7,1400,rayleigh,4.828290847820812,7.380954445527536,1.8072334575160074,5.600447631330367,,,200,3.1475938455735055,3.1475938455735055,3.1475938455735055,3.1475938455735055,0.0,0.0
8,1600,rayleigh,-0.36377613958697447,8.57149296422613,8.110831757866952,1.0739586272699686,,,200,2.888389443285563,2.888389443285563,2.888389443285563,2.888389443285563,0.0,0.0
9,1800,rayleigh,3.3154995447198705,7.151566071544072,3.102129187961097,4.0936540994836,,,200,3.0223077384186783,3.0223077384186783,3.0223077384186783,3.0223077384186783,0.0,0.0
10,2000,rayleigh,2.033005506305381,8.21657836688332,4.991445597833848,3.3414989241816175,,,200,3.054226856994972,3.054226856994972,3.054226856994972,3.054226856994972,0.0,0.0
11,2200,rayleigh,1.5513901588520016,7.6564252849047625,6.170345916188342,1.882162293185604,,,200,2.9476755330123026,2.9476755330123026,2.9476755330123026,2.9476755330123026,0.0,0.0
12,2400,rayleigh,2.731409957343742,7.849054494213386,4.230855633509983,3.7338793088022815,,,200,3.013192514328134,3.013192514328134,3.013192514328134,3.013192514328134,0.0,0.0
13,2600,rayleigh,2.925967949762024,8.321632711591299,5.199701043385731,3.2419650828882327,,,200,3.0307904042173726,3.0307904042173726,3.0307904042173726,3.0307904042173726,0.0,0.0
14,2800,rayleigh,3.789789545446849,8.616888017575894,3.903010641233982,4.7464278272116545,,,200,3.15333593443125,3.15333593443125,3.15333593443125,3.15333593443125,0.0,0.0
15,3000,rayleigh,1.394401537180213,7.5956991493573325,6.052627839873025,1.8829816181401495,,,200,3.06864564667851,3.06864564667851,3.06864564667851,3.06864564667851,0.0,0.0
16,3200,rayleigh,3.4166982957169214,8.885969218384917,5.064675268260356,3.883858266410169,,,200,3.1195964354117383,3.1195964354117383,3.1195964354117383,3.1195964354117383,0.0,0.0
17,3400,rayleigh,4.910570437573434,8.868825758515927,3.558951261952027,5.353774516934083,,,200,3.251018675501288,3.251018675501288,3.251018675501288,3.251018675501288,0.0,0.0
18,3600,rayleigh,4.177643686579726,8.860229965677581,3.3423839662814254,5.554589435613208,,,200,3.378994828840839,3.378994828840839,3.378994828840839,3.378994828840839,0.0,0.0
19,3800,rayleigh,0.8767209972559878,7.741790487350507,6.87309289574851,1.6115085271182754,,,200,3.2859692340133355,3.2859692340133355,3.2859692340133355,3.2859692340133355,0.0,0.0
20,4000,rayleigh,3.1524285314975318,7.940415705683452,3.5867827803763768,4.3823136010992725,,,200,3.3407864523676323,3.3407864523676323,3.3407864523676323,3.3407864523676323,0.0,0.0
21,4200,rayleigh,4.515457083638352,8.238935779157435,3.243054464895681,5.0147160358431275,,,200,3.4520961999936843,3.4520961999936843,3.4204973849140843,3.4204973849140843,0.03159881507960005,0.03159881507960005
22,4400,rayleigh,3.846126072913049,8.035431883583463,2.5699387333706376,5.4654931502128274,,,200,3.5874595464154653,3.5874595464154653,3.5134517378822085,3.5134517378822085,0.07400780853325672,0.07400780853325672
23,4600,rayleigh,1.3874874163410191,7.393981383972291,4.678287045403488,2.8561698970598135,,,200,3.6081689719157266,3.6081689719157266,3.4848742665421044,3.4848742665421044,0.1232947053736222,0.1232947053736222
24,4800,rayleigh,2.4137570405307214,7.244264611982417,4.409170823239693,2.9582464641540684,,,200,3.672681737682427,3.672681737682427,3.462931441442604,3.462931441442604,0.209750296239823,0.209750296239823
25,5000,rayleigh,-0.7249699896348184,7.5080598491512776,8.065463017853862,0.6386977686083771,,,200,3.5847837052067475,3.5847837052067475,3.3499620945292348,3.3499620945292348,0.23482161067751273,0.23482161067751273
26,5200,rayleigh,5.010225364813289,8.824587953442018,3.3138428164378726,5.590175015723645,,,200,3.645325904563517,3.645325904563517,3.436124129959789,3.436124129959789,0.20920177460372802,0.20920177460372802
27,5400,rayleigh,4.657266067531341,7.834157388896223,2.1779712784067384,5.658164898134328,,,200,3.648211767903715,3.648211767903715,3.518421936188476,3.518421936188476,0.12978983171523906,0.12978983171523906
28,5600,rayleigh,4.910580099783461,8.591150610225501,3.144392945114713,5.447638637232278,,,200,3.86689576840183,3.86689576840183,3.587322532654326,3.587322532654326,0.27957323574750426,0.27957323574750426
29,5800,rayleigh,2.0830640651822945,8.461808255849041,5.369343435849603,3.2306119486446065,,,200,3.8237436608598805,3.8237436608598805,3.5750221676884735,3.5750221676884735,0.24872149317140702,0.24872149317140702
30,6000,rayleigh,3.6208937057557784,7.836931597492146,2.5860422830846352,5.250889314407509,,,200,3.919213180371176,3.919213180371176,3.6308844059124414,3.6308844059124414,0.2883287744587344,0.2883287744587344
31,6200,rayleigh,3.8654681486699394,8.953008110341694,4.410834664334467,4.590351553421117,,,200,4.054622643382951,4.054622643382951,3.6618349590578827,3.6618349590578827,0.39278768432506794,0.39278768432506794
32,6400,rayleigh,4.373248083536229,7.444254484291915,2.319326453002259,5.144937106839156,,,200,4.125175533284795,4.125175533284795,3.7081819011760473,3.7081819011760473,0.4169936321087473,0.4169936321087473
33,6600,rayleigh,2.6761086215548113,8.334950505012252,4.387877465766962,4.031884086566734,,,200,4.1646714834687195,4.1646714834687195,3.7179910583090985,3.7179910583090985,0.44668042515962103,0.44668042515962103
34,6800,rayleigh,4.655968968114661,9.156790962954979,3.9159820675704546,5.253080206452422,,,200,4.190004102430758,4.190004102430758,3.763140739136843,3.763140739136843,0.42686336329391494,0.42686336329391494
35,7000,rayleigh,1.9608157434665177,7.95754251336652,4.8347342102648785,3.228104949336889,,,200,4.257260268990596,4.257260268990596,3.7478540022854157,3.7478540022854157,0.50940626670518,0.50940626670518
36,7200,rayleigh,3.62283010818235,8.750446661235655,3.9454505340444936,4.850456466653927,,,200,4.305590179002783,4.305590179002783,3.7784818485178744,3.7784818485178744,0.5271083304849085,0.5271083304849085
37,7400,rayleigh,3.6919957652461095,8.231053446478995,3.822565462048806,4.4606042905017445,,,200,4.260931667681167,4.260931667681167,3.796917590193114,3.796917590193114,0.46401407748805257,0.46401407748805257
38,7600,rayleigh,3.1586649125441073,9.27447167440084,5.53473949017807,3.88454749003429,,,200,4.177429570402221,4.177429570402221,3.7992236401889348,3.7992236401889348,0.37820593021328586,0.37820593021328586
39,7800,rayleigh,3.311364358008451,7.9493197650555585,3.1829505494960477,4.818708832798979,,,200,4.337789585686256,4.337789585686256,3.8253642861532953,3.8253642861532953,0.5124252995329606,0.5124252995329606
40,8000,rayleigh,3.6344396292297176,8.005541091341023,3.217567330829476,4.798464300892457,,,200,4.358597120675915,4.358597120675915,3.849691786521774,3.849691786521774,0.5089053341541412,0.5089053341541412
41,8200,rayleigh,2.8034775796948037,8.187155305708515,3.691660149042106,4.548404122892079,,,200,4.335281525028362,4.335281525028362,3.866733550823488,3.866733550823488,0.46854797420487415,0.46854797420487415
42,8400,rayleigh,0.5281198874359385,7.30356789948956,5.843218780825463,1.7184936157534414,,,200,4.147931548305394,4.147931548305394,3.815584980940868,3.815584980940868,0.33234656736452584,0.33234656736452584
