episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,4.182366137356285,8.638689277497132,3.7782655154274623,4.870834175128872,,,200,4.870834175128872,4.870834175128872,4.870834175128872,4.870834175128872,0.0,0.0
2,400,rician,4.594419279235549,9.070649479191834,4.224200898369515,4.877473152669598,,,200,4.874153663899235,4.874153663899235,4.874153663899235,4.874153663899235,0.0,0.0
3,600,rician,4.302500860010365,7.61623578554227,3.073997902732964,4.60646521122456,,,200,4.784924179674343,4.784924179674343,4.784924179674343,4.784924179674343,0.0,0.0
4,800,rician,2.577455150423515,8.872755205734798,5.2951536691443595,3.6399254334591737,,,200,4.498674493120551,4.498674493120551,4.498674493120551,4.498674493120551,0.0,0.0
5,1000,rician,3.521484097945852,7.90910830896075,3.253130641645576,4.678890966832918,,,200,4.534717787863024,4.534717787863024,4.534717787863024,4.534717787863024,0.0,0.0
6,1200,rician,6.626528705629873,9.219956071107779,2.309829956859919,6.910126114247868,,,200,4.930619175593832,4.930619175593832,4.930619175593832,4.930619175593832,0.0,0.0
7,1400,rician,6.379387030377391,7.780351882402136,0.7209976023976914,7.059354280004435,,,200,5.234724190509632,5.234724190509632,5.234724190509632,5.234724190509632,0.0,0.0
8,1600,rician,1.488605585282034,9.277649127780204,6.575004139796946,2.725679882693876,,,200,4.921093652032663,4.921093652032663,4.921093652032663,4.921093652032663,0.0,0.0
9,1800,rician,4.912710519690454,7.430694567463662,1.391318886699935,6.039375680763719,,,200,5.045347210780559,5.045347210780559,5.045347210780559,5.045347210780559,0.0,0.0
10,2000,rician,4.648772414404604,8.718406022906018,3.028426026034593,5.690436562171578,,,200,5.10985614591966,5.10985614591966,5.10985614591966,5.10985614591966,0.0,0.0
11,2200,rician,3.593748773641796,8.17148714861904,4.283132404435793,3.9334457787760324,,,200,5.002909748906603,5.002909748906603,5.002909748906603,5.002909748906603,0.0,0.0
12,2400,rician,5.034286063589651,8.170250592726752,2.301261348339267,5.868989244387489,,,200,5.075083040196677,5.075083040196677,5.075083040196677,5.075083040196677,0.0,0.0
13,2600,rician,5.303396558702931,8.746805731584438,3.1285821964545693,5.6182235351298715,,,200,5.116863078268461,5.116863078268461,5.116863078268461,5.116863078268461,0.0,0.0
14,2800,rician,6.3717301303011595,9.26764145894829,1.8693702762244755,7.411617666738467,,,200,5.280774120302033,5.280774120302033,5.280774120302033,5.280774120302033,0.0,0.0
15,3000,rician,3.9199549697430847,8.255481283632955,4.022333196025212,4.261918279913134,,,200,5.21285039760944,5.21285039760944,5.21285039760944,5.21285039760944,0.0,0.0
16,3200,rician,5.562030136283994,9.208247789370672,3.2160797253506552,5.992677992852991,,,200,5.261589622312162,5.261589622312162,5.261589622312162,5.261589622312162,0.0,0.0
17,3400,rician,7.114674993463878,9.009779187183979,1.4547106824302274,7.555068504753747,,,200,5.3965001448087255,5.3965001448087255,5.3965001448087255,5.3965001448087255,0.0,0.0
18,3600,rician,6.200499130178795,9.075187490734995,1.4160956543120735,7.659091836422923,,,200,5.522199683231737,5.522199683231737,5.522199683231737,5.522199683231737,0.0,0.0
