episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,1.323697967462901,8.119978695996256,6.0027705183951765,2.4495191180034284,,,200,2.4495191180034284,2.4495191180034284,2.4495191180034284,2.4495191180034284,0.0,0.0
2,400,rayleigh,2.008656560846966,7.652410716469958,5.747024492992221,2.2938181895452905,,,200,2.3716686537743596,2.3716686537743596,2.3716686537743596,2.3716686537743596,0.0,0.0
3,600,rayleigh,3.7913839719653386,9.582707890270658,5.681047051339954,4.062342995462141,,,200,2.9352267676702866,2.9352267676702866,2.9352267676702866,2.9352267676702866,0.0,0.0
4,800,rayleigh,2.634804878861581,8.674910678291617,5.998995400147387,2.948207107022675,,,200,2.9384718525083837,2.9384718525083837,2.9384718525083837,2.9384718525083837,0.0,0.0
5,1000,rayleigh,0.7999081897465953,8.060520715770824,7.9625348225210955,1.0886302235281347,,,200,2.568503526712334,2.568503526712334,2.568503526712334,2.568503526712334,0.0,0.0
6,1200,rayleigh,2.0081218008315243,7.266354439970186,4.050817480613928,3.3189905844622345,,,200,2.693584703003984,2.693584703003984,2.693584703003984,2.693584703003984,0.0,0.0
7,1400,rayleigh,3.244335650679606,8.594934459226367,4.666879831282017,4.024602445396172,,,200,2.8837300947742968,2.8837300947742968,2.8837300947742968,2.8837300947742968,0.0,0.0
8,1600,rayleigh,1.4182736544410666,8.80893858703201,6.078746468743103,2.981833648248036,,,200,2.895993038958514,2.895993038958514,2.895993038958514,2.895993038958514,0.0,0.0
9,1800,rayleigh,2.5909149966580207,7.738298103381228,3.730119096694999,4.052997716889862,,,200,3.0245491142842194,3.0245491142842194,3.0245491142842194,3.0245491142842194,0.0,0.0
10,2000,rayleigh,1.2473836864275538,8.023549099119904,4.600472444964262,3.5076200786541323,,,200,3.0728562107212105,3.0728562107212105,3.0728562107212105,3.0728562107212105,0.0,0.0
11,2200,rayleigh,4.30751746830197,7.616960200234575,2.518209092777496,5.11830237732167,,,200,3.2588058622303433,3.2588058622303433,3.2588058622303433,3.2588058622303433,0.0,0.0
12,2400,rayleigh,1.6100584407823353,8.055702784630643,5.292744196309099,2.9037194745559565,,,200,3.2292153299241444,3.2292153299241444,3.2292153299241444,3.2292153299241444,0.0,0.0
13,2600,rayleigh,3.491289678377857,8.11088926894956,3.8491963330070402,4.2886329467699085,,,200,3.3107089927584337,3.3107089927584337,3.3107089927584337,3.3107089927584337,0.0,0.0
14,2800,rayleigh,1.076915808390489,7.9412317312536365,4.811008273172515,3.2941972302480185,,,200,3.3095295811505467,3.3095295811505467,3.3095295811505467,3.3095295811505467,0.0,0.0
15,3000,rayleigh,4.004575928985663,7.687210422552285,2.5340823383248225,5.153128084227463,,,200,3.432436148022341,3.432436148022341,3.432436148022341,3.432436148022341,0.0,0.0
16,3200,rayleigh,2.6327018771992363,8.307803908501977,5.398573286798314,3.4735585530579622,,,200,3.435006298337068,3.435006298337068,3.435006298337068,3.435006298337068,0.0,0.0
