episode,global_step,fading_model,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,3.561323716853889,8.576165452699618,4.052784058456747,4.582150898777551,,,200,4.582150898777551,4.582150898777551,4.582150898777551,4.582150898777551,0.0,0.0
2,400,rician,4.269273570962969,7.932923930568203,3.443941655551669,4.551100150483225,,,200,4.566625524630388,4.566625524630388,4.566625524630388,4.566625524630388,0.0,0.0
3,600,rician,6.521463953715336,9.97177406837553,3.2585114229325374,6.792796056813696,,,200,5.308682368691491,5.308682368691491,5.308682368691491,5.308682368691491,0.0,0.0
4,800,rician,4.76535633557947,9.136722499060832,4.131084674254243,5.069261551562655,,,200,5.248827164409282,5.248827164409282,5.248827164409282,5.248827164409282,0.0,0.0
5,1000,rician,1.590435478481141,8.335808134794432,6.778809776325133,1.8727899085590851,,,200,4.573619713239243,4.573619713239243,4.573619713239243,4.573619713239243,0.0,0.0
6,1200,rician,3.397975231650682,7.627955126763862,3.633436449524523,4.6854174102606985,,,200,4.592252662742818,4.592252662742818,4.592252662742818,4.592252662742818,0.0,0.0
7,1400,rician,3.5936015693913905,8.808750712578911,3.8783029334128116,4.930447779166096,,,200,4.640566250803287,4.640566250803287,4.640566250803287,4.640566250803287,0.0,0.0
8,1600,rician,1.236483379683537,8.50173945022691,5.211510875403779,3.402580967795946,,,200,4.485818090427369,4.485818090427369,4.485818090427369,4.485818090427369,0.0,0.0
9,1800,rician,5.405808887597419,8.32780267242297,1.6194474814818383,6.7083551909411305,,,200,4.732766657151121,4.732766657151121,4.732766657151121,4.732766657151121,0.0,0.0
10,2000,rician,4.208842708936317,8.903672873362655,2.5053358334591294,6.4023983503802775,,,200,4.8997298264740365,4.8997298264740365,4.8997298264740365,4.8997298264740365,0.0,0.0
11,2200,rician,6.1200412427227615,7.9843418957442855,1.0524329948250888,6.955958899277844,,,200,5.086659742183474,5.086659742183474,5.086659742183474,5.086659742183474,0.0,0.0
12,2400,rician,3.7504218698957676,8.536855584583426,3.4777044620762174,5.0591511225072106,,,200,5.084367357210452,5.084367357210452,5.084367357210452,5.084367357210452,0.0,0.0
