episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1138.7325473434162,5.693662736717081,9.545190980728334,3.6348001940484265,5.975609465290511,,,119.51218930581021,2.5862365825548874,0.2603216956090182,200,70.56732925583509,57.121185028403815,52.56255148973795,21.739261988811755,142.06843505530733,283.62694006945,251.21680689000831,646.8633765207917,5.975609465290511,5.975609465290511,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1079.7893836628195,5.398946918314098,7.906163429158479,1.7909398937451453,6.161265708594758,,,123.22531417189518,2.5609411665677446,0.2474311885652878,200,64.71305884280035,56.165565293116934,17.19569162942215,13.308343881692815,583.4340397964303,483.6205428153515,586.1871159124004,631.9827936543678,6.068437586942634,6.068437586942634,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1519.56195252913,7.59780976264565,8.865175600590641,0.7630762606652698,8.104507011676723,,,162.09014023353444,2.5781948859830432,0.25659737935959126,200,62.60312928325293,60.145503941018816,38.07403367163467,29.198551861696014,196.4882365780999,546.6074358257127,477.095481508296,244.11389327790735,6.747127395187331,6.747127395187331,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1438.6043008148245,7.193021504074122,9.77591723769861,2.1136952777440725,7.662221959954536,,,153.24443919909072,2.5491039300304528,0.2502095073659439,200,56.63244828852802,60.43036656518841,12.084367164493644,45.36922639583512,114.2062250797686,264.40059381975,245.54467106386406,258.92230529150646,6.975901036379132,6.975901036379132,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1220.6807540554257,6.103403770277128,8.510583482977713,2.168785252164732,6.381996576544558,,,127.63993153089116,2.558446662466109,0.26137439876154533,200,48.50130996152578,64.31444737043822,16.16200776599188,22.457099407587787,435.99077174636085,142.07215722829184,180.94501042829145,239.6480099542305,6.8571201444122165,6.8571201444122165,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.18964257836341858,-5.0,True,velocity,False,True,full,True,1120.2121771486434,5.601060885743217,9.247345086240859,3.394410074960411,5.887066064243216,,,117.74132128486434,2.6200131103659965,0.2782747207477587,200,70.36867647149002,72.57815662390686,52.546864552043026,40.61758608420124,230.92725917772552,329.675448950575,233.40182909864845,650.9490069496436,6.69544446438405,6.69544446438405,0.0,11.689241409301758,-10.022695541381836,-13.591816902160645,3.1764187812805176,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17937442660331726,-5.0,True,velocity,False,True,full,True,1626.3551812953162,8.131775906476582,8.97873862623716,0.47170205698432877,8.507036569252817,,,170.14073138505634,2.8909797785971887,0.40012208541389555,200,114.59518448434683,115.42038888921223,106.55798467461446,110.50908366391526,254.44537697281507,430.7076785209428,607.7270283147514,312.5592854401492,6.954243336508159,6.954243336508159,0.0,8.175712585449219,-15.255844116210938,-12.17983341217041,2.0895023345947266,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1701045036315918,-5.0,True,velocity,False,True,full,True,1419.6572620473107,7.098286310236554,8.697208811608629,1.062221982571461,7.634986829037168,,,152.69973658074338,3.17167360113618,0.46169311574660243,200,184.01125506932357,85.9281938020577,178.34680878611283,70.09175179511483,261.2454853109213,537.7087877666247,383.4849619061826,390.16826623074843,7.039336273074285,7.039336273074285,0.0,11.52656364440918,-21.149032592773438,-11.0400390625,1.2334840297698975,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16132527589797974,-5.0,True,velocity,False,True,full,True,1469.0929315473225,7.3454646577366125,8.08119988231743,0.3815239118795166,7.6996759704379185,,,153.99351940875837,3.187667602620769,0.46329085489735006,200,196.26091523715246,73.50329057633157,189.9738883556933,47.18272178108706,624.0522686674049,371.048292838611,254.40771281620698,132.99166055020666,7.112707350559134,7.112707350559134,0.0,6.561328887939453,-27.675724029541016,-11.616904258728027,1.3686851263046265,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.15286412835121155,-5.0,True,velocity,False,True,full,True,1505.6621782554746,7.528310891277373,8.445984789231307,0.5510128360419511,7.894971953189356,,,157.89943906378713,3.291068610646642,0.4710445344634354,200,130.59502635499368,180.627196860308,126.08500339805528,177.6508458535805,454.96139204749494,374.4929186799757,934.7353092470252,434.5562950545424,7.190933810822156,7.190933810822156,0.0,26.461580276489258,-34.97674560546875,-12.018519401550293,1.3998775482177734,2000
11,2200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1445665806531906,-5.0,True,velocity,False,True,full,True,1339.7387512625994,6.698693756312997,7.781044652900946,0.7593943809369732,7.021650271963975,,,140.43300543927953,2.855872916259104,0.47426204754039647,200,103.64146223657919,113.9683777466949,90.23433485664191,107.09515515173929,674.3712033447706,251.40659449621174,617.5822319786515,593.6600403484141,7.175544398198685,7.175544398198685,0.0,3.6661548614501953,-40.113372802734375,-11.9548921585083,1.1822818517684937,2200
12,2400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.13662578165531158,-5.0,True,velocity,False,True,full,True,1571.802306007416,7.859011530037081,8.459320034201008,0.28016550810911167,8.179154526091898,,,163.58309052183796,2.902196447679598,0.47309047256130726,200,137.81099583094266,87.07890220150459,111.44820766188167,66.39564441910639,433.9873960187869,369.0697978865182,764.0802922931773,351.06136653765526,7.259178575523119,7.259178575523119,0.0,57.91417694091797,-47.25687026977539,-12.944215774536133,1.5039005279541016,2400
13,2600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.12907743453979492,-5.0,True,velocity,False,True,full,True,1347.6982283736495,6.738491141868248,7.464057531926786,0.3696392006767048,7.097532541750483,,,141.95065083500967,3.030025893875459,0.4743201786186546,200,111.99904874601116,142.08201553630622,98.80340770732633,126.07052612385478,945.2868419346041,456.03909385727667,785.1112494148889,335.1568198326505,7.246744265232916,7.246744265232916,0.0,77.43307495117188,-52.990577697753906,-12.652061462402344,1.1805888414382935,2600
14,2800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.12199819087982178,-5.0,True,velocity,False,True,full,True,1267.3553692631317,6.336776846315659,7.548099573040683,0.021965415120881345,7.5261341579198,,,150.522683158396,3.2130871511262784,0.46845259009860457,200,159.43247007814588,134.30043459355858,150.78412956751177,126.82284117643773,911.1665885741553,503.92064592748295,800.1842847222701,85.34067397898542,7.266700686139123,7.266700686139123,0.0,172.54705810546875,-58.51270294189453,-11.999801635742188,0.704760730266571,2800
15,3000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.11521144211292267,-5.0,True,velocity,False,True,full,True,1478.411188921212,7.39205594460606,8.768971855223569,0.17235728151389995,8.596614573709662,,,171.93229147419322,3.054879839248701,0.475192748606205,200,89.33625021949369,157.68878012787968,81.35928503782613,150.6557134490875,104.79083345615581,629.1541868422935,1172.7229668488467,311.7903112483517,7.355361611977158,7.355361611977158,0.0,6.921879291534424,-66.10966491699219,-13.672195434570312,1.3276783227920532,3000
