episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1322.7741659756282,6.613870829878141,9.968002657375129,3.073421820415253,6.895817558451579,,,137.9163511690316,2.5862365825548874,0.2603216956090182,200,70.56732925583509,57.121185028403815,52.56255148973795,21.739261988811755,142.06843505530733,283.62694006945,251.21680689000831,646.8633765207917,6.895817558451579,6.895817558451579,0.0,,,,,200
2,400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1241.018530396965,6.205092651984825,8.388601925005176,1.4211904827396924,6.967411442265485,,,139.3482288453097,2.5609411665677446,0.2474311885652878,200,64.71305884280035,56.165565293116934,17.19569162942215,13.308343881692815,583.4340397964303,483.6205428153515,586.1871159124004,631.9827936543678,6.931614500358532,6.931614500358532,0.0,,,,,400
3,600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1606.160657353767,8.030803286768835,9.151593697072753,0.6140931612728416,8.537500535799916,,,170.75001071599834,2.5781948859830432,0.25659737935959126,200,62.60312928325293,60.145503941018816,38.07403367163467,29.198551861696014,196.4882365780999,546.6074358257127,477.095481508296,244.11389327790735,7.46690984550566,7.46690984550566,0.0,,,,,600
4,800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1649.2117026240182,8.246058513120092,10.275743642995224,1.569642637419661,8.715258969000503,,,174.30517938001006,2.5491039300304528,0.2502095073659439,200,56.63244828852802,60.43036656518841,12.084367164493644,45.36922639583512,114.2062250797686,264.40059381975,245.54467106386406,258.92230529150646,7.778997126379371,7.778997126379371,0.0,,,,,800
5,1000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1298.101853427558,6.4905092671377895,8.790423461534779,2.0215223964047007,6.769102073405227,,,135.38204146810455,2.558446662466109,0.26137439876154533,200,48.50130996152578,64.31444737043822,16.16200776599188,22.457099407587787,435.99077174636085,142.07215722829184,180.94501042829145,239.6480099542305,7.577018115784543,7.577018115784543,0.0,,,,,1000
6,1200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.18964239954948425,-5.0,True,velocity,False,True,full,True,1232.0670400013212,6.160335200006606,9.667288208571883,3.222724343152067,6.444563865419819,,,128.8912773083964,2.6055024622713345,0.2795458844154928,200,66.87024298788972,69.70904291161378,45.451702939438384,35.319898771831056,225.4064506026462,325.2138174580898,233.40182909864845,645.7849750121615,7.388275740723755,7.388275740723755,0.0,5.566688060760498,-10.676469802856445,-13.589059829711914,3.174755811691284,1200
7,1400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17932385206222534,-5.0,True,velocity,False,True,full,True,1769.9597671566326,8.849798835783163,9.49807758099043,0.25553873285282824,9.242538848137603,,,184.85077696275204,2.9315889755147237,0.39852196721651123,200,83.50548624561947,147.42277531000818,46.44800577212744,143.07645087218677,110.685269416889,459.70498844188137,607.7270283147514,263.6303762975811,7.653170470354305,7.653170470354305,0.0,3.3929977416992188,-16.48231315612793,-11.859491348266602,1.901902198791504,1400
8,1600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17000111937522888,-5.0,True,velocity,False,True,full,True,1676.4143513160982,8.38207175658049,9.497696939040347,0.7995498206265107,8.698147118413841,,,173.96294236827683,2.870437679226429,0.4616739288752433,200,88.60607643495885,133.81091951839002,69.36471753926888,125.94313474864472,220.36459947082813,341.31995517442766,383.4849619061826,359.76604400949435,7.7837925513617465,7.7837925513617465,0.0,8.400222778320312,-22.943012237548828,-11.166399002075195,1.3026864528656006,1600
9,1800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.1612069308757782,-5.0,True,velocity,False,True,full,True,1550.4859247368381,7.752429623684191,8.347112261773946,0.2852402398154762,8.061872021958473,,,161.2374404391695,2.8172022740134794,0.46498219458386303,200,102.52097089754892,103.45489268766669,85.35786972374976,89.7088835022172,673.6159596585059,193.8061557702793,254.40771281620698,195.93970852443854,7.814690270316938,7.814690270316938,0.0,2.8056089878082275,-30.167987823486328,-11.36307144165039,1.2270102500915527,1800
10,2000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.15284466743469238,-5.0,True,velocity,False,True,full,True,1642.430339792136,8.21215169896068,8.835325349853784,0.24624834017710145,8.589077009676682,,,171.78154019353366,3.3758173969372116,0.4732598781958222,200,120.51445939800081,203.90988695954545,115.45342296500785,200.87947253875285,445.9724431282778,153.51760276511408,934.7353092470252,426.0419332543122,7.892128944252913,7.892128944252913,0.0,23.500423431396484,-37.2974853515625,-11.959540367126465,1.368038535118103,2000
