episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,1119.5746357950948,5.597873178975473,9.516693309874453,3.608797787351304,5.963184738112447,,,119.26369476224895,3.2764411607811934,0.22153829967351643,200,110.11918619604994,203.9336061717758,107.77053873869959,202.22416937901812,243.63402526376862,203.43947864735472,221.45147784555985,628.0356962625722,5.963184738112447,5.963184738112447,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,1129.2794697056381,5.646397348528191,8.867801852652157,1.6294200331660218,7.260954846683878,,,145.21909693367755,3.2277468105903164,0.22576937973889788,200,81.5942514469454,124.77809364673134,73.0489703867868,111.13394155605172,184.79887437692778,514.8061650398269,876.7825486213293,955.0539508772574,6.612069792398162,6.612069792398162,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,1425.0213609634525,7.125106804817262,8.026896456257647,0.290566904130378,7.736329552127268,,,154.72659104254538,2.9941387279358747,0.24736876050074713,200,77.32309463591,171.1389030094842,71.08062791535998,167.4383588408276,532.6203391522523,647.4323769821295,285.85968339022054,152.09951531071923,6.986823045641198,6.986823045641198,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,720.2613609818447,3.601306804909224,8.364884268254658,4.462649961261263,3.9856541916084884,,,79.71308383216977,3.3939301676454585,0.23290293534157036,200,94.30661834023597,231.18360589770003,89.43829353298098,229.47109210083093,485.5598248638907,313.9839795014411,168.01599921494162,861.4812302778198,6.23653083213302,6.23653083213302,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,1565.6052940103036,7.828026470051518,9.222801602849751,1.0505474390931346,8.179935233015657,,,163.59870466031316,3.1647391478099896,0.22500362464884102,200,98.71795879528251,191.35796410543742,95.01651875357324,189.2780836650514,162.57605935466708,301.2204215908682,614.7002481629668,346.20508242963757,6.6252117123095475,6.6252117123095475,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1288.1608848895212,6.440804424447606,8.092095155896638,0.9199145112015952,7.1721806446950405,,,143.44361289390085,5.882724801449499,0.42744786951522573,200,302.5312145423392,320.6294289866521,286.63990202600166,317.75343086021127,627.2194679189113,495.67239410719526,418.2388334161173,529.9808903485344,6.716373201040462,6.716373201040462,0.0,9.291662216186523,-7.510347366333008,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,897.8348813908771,4.489174406954385,7.876745333077746,1.5810665497786827,6.300723059615213,,,126.01446119230425,6.740108046627261,0.4673342608889407,200,251.9897459330017,369.3489812660189,169.54995964448793,214.9529881962765,512.0770452444436,618.9832254546353,248.59024700966086,339.66487501418965,6.656994609408285,6.656994609408285,0.0,10.647150993347168,-10.195261001586914,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,943.5875149669805,4.717937574834902,7.646038618045851,0.7639812152634502,6.884855299245719,,,137.6971059849144,6.760956360369671,0.46668437002170704,200,266.66113154432685,316.82257560689663,79.78784672551409,143.3972218805694,759.5976071865056,509.868331914015,603.5984018977387,555.8488220434751,6.685477195637964,6.685477195637964,0.0,9.356940269470215,-12.175214767456055,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,1553.6089732120295,7.768044866060148,9.635835709943319,1.065330431702061,8.570505278241258,,,171.4101055648252,6.905277186396507,0.4728667041476231,200,379.80153512681073,379.0512817580941,379.40248439713986,378.5939196008761,314.1328398846329,281.8720411681175,601.6630086435417,845.9890967200167,6.894924760371663,6.894924760371663,0.0,6.897362232208252,-14.702627182006836,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,1031.0078956443454,5.155039478221727,7.389145170683404,0.6375788002230905,6.761114391600525,,,135.2222878320105,6.905581793766194,0.46306966197678034,200,298.59213014487324,379.72830090881075,279.02383744921116,379.25764518495475,1077.0991916247694,705.4365887579619,422.9905917096487,322.1919747123479,6.881543723494549,6.881543723494549,0.0,8.819360733032227,-17.30417823791504,2000
11,2200,TD3PG,rayleigh,64,0.001,0.001,64,0.29931281249999997,0.2,0.5,2,velocity,False,True,full,True,1186.7699296619437,5.933849648309718,7.898947143519356,0.4562739760119155,7.442673167507439,,,148.85346335014876,6.89655134713468,0.4745524801255038,200,308.16695908682755,379.5408096107594,286.702548830816,378.9789409638804,488.27513263256577,519.8634350092067,693.6286102386468,274.5892459318549,6.932555491132084,6.932555491132084,0.0,6.925610542297363,-21.017614364624023,2200
12,2400,TD3PG,rayleigh,64,0.001,0.001,64,0.2992503125,0.2,0.5,2,velocity,False,True,full,True,40.925920759275556,0.2046296037963778,8.514427442891543,8.649901085902034,0.997581361585256,,,19.95162723170512,6.896679424059056,0.4750556535973154,200,379.1238378334514,378.7674459794475,378.6789862210477,378.41961877060675,497.48160825519227,338.9354117174897,25.87017014499912,742.9882983799589,6.437974313669849,6.437974313669849,0.0,15.25536823272705,-22.896547317504883,2400
13,2600,TD3PG,rayleigh,64,0.001,0.001,64,0.2991878125,0.2,0.5,2,velocity,False,True,full,True,1460.3161566902772,7.301580783451386,8.911826479507974,0.8158914165703154,8.095935062937661,,,161.91870125875323,6.907647274532598,0.4657699502836357,200,380.1164108784253,378.8840890968771,379.73549417949846,378.56221411392505,535.3293934714154,270.76766170821827,361.8511821854232,146.46296869759576,6.5655097559212185,6.5655097559212185,0.0,16.487136840820312,-25.098953247070312,2600
14,2800,TD3PG,rayleigh,64,0.001,0.001,64,0.29912531249999996,0.2,0.5,2,velocity,False,True,full,True,1451.6287283043048,7.258143641521524,8.49371510812157,0.43621093175586145,8.057504176365715,,,161.1500835273143,6.897137063126208,0.46835182591235663,200,379.148488102117,379.0364089582545,378.7539802864953,378.41582044216,409.2043662747011,517.6069571931425,721.8299835659542,484.20048468511567,6.672080785952969,6.672080785952969,0.0,48.073768615722656,-28.651857376098633,2800
15,3000,TD3PG,rayleigh,64,0.001,0.001,64,0.2990628125,0.2,0.5,2,velocity,False,True,full,True,1370.7586478773007,6.853793239386504,9.528591965128857,1.8803003588160363,7.6482916063128235,,,152.96583212625646,6.907905978389354,0.4712854456811238,200,379.33798569441666,379.77054167298473,378.8926377940055,379.2849408887857,218.82979585408168,373.25848754353177,173.44374643878388,243.3483714371174,6.737161507310292,6.737161507310292,0.0,9.044187545776367,-30.135801315307617,3000
16,3200,TD3PG,rayleigh,64,0.001,0.001,64,0.2990003125,0.2,0.5,2,velocity,False,True,full,True,903.2817231443343,4.516408615721671,8.498199514700891,2.212596332081841,6.286023754506921,,,125.72047509013844,6.909026848527362,0.4688560814509394,200,380.0484556753225,275.87890315377405,379.52308049001283,271.0864029912822,283.55454001265167,309.61744243898545,283.21173230616375,618.6939034270292,6.708965397760082,6.708965397760082,0.0,34.65739059448242,-33.752708435058594,3200
17,3400,TD3PG,rayleigh,64,0.001,0.001,64,0.2989378125,0.2,0.5,2,velocity,False,True,full,True,1068.6792897519806,5.343396448759903,7.86347870587128,0.7724707939992255,7.091007911872047,,,141.82015823744095,6.899526153641493,0.4709259260183498,200,271.4470272118533,378.9529237821488,263.52538181923944,378.68399602556184,714.5821366289072,535.4591449698967,713.0660881924722,436.4006216793054,6.731438486825491,6.731438486825491,0.0,10.509801864624023,-34.54819107055664,3400
18,3600,TD3PG,rayleigh,64,0.001,0.001,64,0.2988753125,0.2,0.5,2,velocity,False,True,full,True,1009.2868228273944,5.046434114136972,7.4528993511732,0.5813316423625466,6.871567708810658,,,137.43135417621318,6.9048070345774795,0.4692453151097771,200,276.1649037334504,379.5964773572249,272.3517321143968,379.24144647182715,961.6538203697146,549.8766846008566,667.9583089515027,645.3779142844528,6.7392234436024445,6.7392234436024445,0.0,13.240761756896973,-37.55857849121094,3600
19,3800,TD3PG,rayleigh,64,0.001,0.001,64,0.29881281249999997,0.2,0.5,2,velocity,False,True,full,True,1080.7000300457923,5.403500150228962,8.331904106261367,1.688894255874039,6.648910266712605,,,132.9782053342521,6.894684131688473,0.4677378007978926,200,379.1192764849463,337.7200216227393,378.4798072253098,315.9428612700311,342.6367687912356,139.23357366103127,328.0894712909911,673.3473843221706,6.73447011850298,6.73447011850298,0.0,10.14609146118164,-41.15032958984375,3800
20,4000,TD3PG,rayleigh,64,0.001,0.001,64,0.2987503125,0.2,0.5,2,velocity,False,True,full,True,929.7672642568816,4.648836321284408,7.8977700006238365,1.565805458616893,6.33743837498383,,,126.74876749967662,6.83069615229339,0.46934659766057313,200,304.7892606637854,373.31044009829094,282.3898043230323,286.56615139844024,657.2149582644622,535.3861396265672,460.19533441172825,608.5175608294242,6.714618531327022,6.714618531327022,0.0,42.26546096801758,-41.49205780029297,4000
21,4200,TD3PG,rayleigh,64,0.001,0.001,64,0.2986878125,0.2,0.5,2,velocity,False,True,full,True,991.3881984307761,4.95694099215388,8.012726503811948,1.482082689308921,6.530643814503028,,,130.61287629006057,6.912653690866051,0.46694290424515744,200,278.14861575012907,379.5481621718419,256.4073435199315,379.2411649468861,547.8022386478998,708.8723439378913,197.39750412264468,393.53847820350273,6.742991485146551,6.70585783052588,0.03713365462067131,69.47925567626953,-45.19864273071289,4200
22,4400,TD3PG,rayleigh,64,0.001,0.001,64,0.29862531249999996,0.2,0.5,2,velocity,False,True,full,True,709.9726051829491,3.5498630259147457,8.311524854995122,2.8216615621769066,5.526610128934383,,,110.53220257868767,6.88628328121205,0.46976327524610545,200,306.02986528528646,333.4712459622657,281.31022545886975,310.80089247768774,509.80765867277233,668.0703923875196,222.87060786660132,838.351541120337,6.656274249259075,6.652255662271721,0.0040185869873541336,7.600497245788574,-46.72201156616211,4400
23,4600,TD3PG,rayleigh,64,0.001,0.001,64,0.2985628125,0.2,0.5,2,velocity,False,True,full,True,1171.893521541337,5.8594676077066845,7.72304695636408,0.7930269231594941,6.93002003320458,,,138.6004006640916,6.804211951814028,0.46795140969639126,200,375.11912008218997,374.0765972266335,278.8216748239094,339.09694299912115,644.6473176058665,387.70923372276803,948.368985108562,978.1972351770078,6.615958773312942,6.664332374051411,0.04837360073846941,8.091712951660156,-50.43091583251953,4600
24,4800,TD3PG,rayleigh,64,0.001,0.001,64,0.2985003125,0.2,0.5,2,velocity,False,True,full,True,1387.3372656336167,6.936686328168083,8.747101951218959,0.38016018247568933,8.366941768743267,,,167.33883537486534,6.836472012438589,0.4674451467244293,200,313.23948607378657,373.2923339057552,290.4498133745138,311.75818461855454,268.17354619848595,617.510528694046,699.0664234158298,489.36883780643444,6.83502315216968,6.735274432163571,0.0997487200061089,6.057016372680664,-52.991424560546875,4800
25,5000,TD3PG,rayleigh,64,0.001,0.001,64,0.2984378125,0.2,0.5,2,velocity,False,True,full,True,1288.3547276349652,6.441773638174826,9.284638856943758,1.2040759350873063,8.080562921856448,,,161.61125843712895,6.744341381314743,0.4754201334834676,200,372.5846130449766,295.8397433186212,279.1703269994592,282.39405385084973,168.8954956929922,431.6246052712777,844.0263548480515,1013.9787120714,6.830054536611721,6.789085971751287,0.04096856486043432,67.0888442993164,-52.371761322021484,5000
