episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rician,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,1264.0595143015278,6.320297571507639,9.891785526232995,3.202806476273313,6.688979049959693,,,133.77958099919385,3.30406356131373,0.21940477498089905,200,111.50327969778994,207.66761268249525,109.0236041278836,205.74636374519437,242.62204086015103,200.27402372981092,221.45147784555985,622.9552537975554,6.688979049959693,6.688979049959693,0.0,,,200
2,400,TD3PG,rician,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,1280.0774227359352,6.400387113679676,9.351189801195275,1.371953382671598,8.014247858764634,,,160.2849571752927,3.267641545474614,0.2227934524784846,200,81.22963969473554,124.19114889817348,73.12611907533035,111.13394155605172,184.89322634702899,514.7284698970809,876.7825486213293,955.0539508772574,7.351613454362163,7.351613454362163,0.0,,,400
3,600,TD3PG,rician,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,1533.0178671356482,7.665089335678241,8.484947047491774,0.2013767307799492,8.283570316711822,,,165.67140633423648,3.0050986711504692,0.24635577768690198,200,74.2045407108402,174.46242265023554,67.41117653724118,170.71314311353635,530.2232575205256,646.0506117618427,285.85968339022054,155.13051811046358,7.66226574181205,7.66226574181205,0.0,,,600
4,800,TD3PG,rician,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,811.2023792957087,4.056011896478544,8.82385367213539,4.382079568074247,4.448830353311748,,,88.97660706623496,3.460237882299652,0.2287415918578504,200,91.27667684832917,241.5023654647688,85.87511013827994,239.90506849330362,482.33784420254494,310.89561414141303,168.01599921494162,865.2396143466356,6.8589068946869745,6.8589068946869745,0.0,,,800
5,1000,TD3PG,rician,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,1734.4033167374835,8.672016583687418,9.754473477504957,0.7301862277201644,9.024287249784795,,,180.4857449956959,3.1686452590660275,0.22254814691567595,200,97.75661008772599,192.6584299925711,93.87473575228549,190.8671983913996,163.87456353021432,302.05399610271394,614.7002481629668,343.8062086925398,7.291982965706538,7.291982965706538,0.0,,,1000
6,1200,TD3PG,rician,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1412.9031185751412,7.064515592875706,8.40913607861852,0.6110098551006824,7.798126223517835,,,155.9625244703567,5.881804638570349,0.4286099289289087,200,305.55222249161517,317.1107174436404,291.4356522806133,313.2279391377813,626.2519155937871,497.5427769557976,418.2388334161173,527.9219697775027,7.3763401753417535,7.3763401753417535,0.0,3.2899105548858643,-8.696041107177734,1200
7,1400,TD3PG,rician,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,1180.1940225191233,5.900970112595616,8.654336612329114,1.4323965302062833,7.221940082122824,,,144.4388016424565,6.667935563006993,0.46733641023243133,200,358.5302572689668,370.14222928300586,211.51253818758187,177.91410462282278,374.81392094003286,458.4931032227813,248.59024700966086,534.3506362242962,7.35428301916762,7.35428301916762,0.0,2.76143741607666,-11.31103801727295,1400
8,1600,TD3PG,rician,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,1056.9251539145944,5.284625769572972,8.045574283298011,0.5828463978305006,7.462727885467512,,,149.25455770935022,6.855404946320956,0.46668444229233885,200,291.4309029446655,317.2013920892451,275.4435479738224,142.43603337883425,887.3302737453502,517.1746142040658,603.5984018977387,559.7326240569528,7.367838627455108,7.367838627455108,0.0,5.274226188659668,-13.045835494995117,1600
9,1800,TD3PG,rician,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,1675.3805424715383,8.376902712357692,9.879898456927672,0.7204455607875249,9.15945289614015,,,183.18905792280304,6.8022239290692985,0.4728667050416928,200,375.77516362643274,373.88552564009603,304.9305240306962,277.55358420431236,397.3184003394793,178.98023802019136,601.6630086435417,579.6511322862648,7.566906879531223,7.566906879531223,0.0,2.234434127807617,-16.703134536743164,1800
10,2000,TD3PG,rician,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,1266.8678801356527,6.334339400678264,7.8788369486524505,0.6758974310101897,7.202939517642265,,,144.0587903528453,6.863229183267461,0.4630696624238152,200,379.015406030809,376.1618464902615,378.4723488476483,306.91468999230204,850.7661084498839,524.4656492707384,422.9905917096487,597.1257175884938,7.530510143342328,7.530510143342328,0.0,9.120616912841797,-19.256725311279297,2000
